https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume APE,Volume USD
1651622400000,2022-05-04 00:00:00,APE/USD,14.156,14.38,14.077,14.264,604.050524,8616.176674336
1651618800000,2022-05-03 23:00:00,APE/USD,14.104,14.178,13.979,14.156,4170.430255,59036.610689780005
1651615200000,2022-05-03 22:00:00,APE/USD,14.046,14.236,13.979,14.104,15684.563631,221215.085451624
1651611600000,2022-05-03 21:00:00,APE/USD,14.145,14.19,13.88,14.046,8940.347153,125576.116111038
1651608000000,2022-05-03 20:00:00,APE/USD,14.681,14.775,13.946,14.145,11567.654519,163624.473171255
1651604400000,2022-05-03 19:00:00,APE/USD,15.086,15.101,14.502,14.681,4579.393935,67230.082359735
1651600800000,2022-05-03 18:00:00,APE/USD,14.585,15.095,14.402,15.086,8729.649974,131695.499507764
1651597200000,2022-05-03 17:00:00,APE/USD,14.538,14.667,14.376,14.585,6601.985542,96289.95913007001
1651593600000,2022-05-03 16:00:00,APE/USD,14.753,14.767,14.464,14.538,5607.307946,81519.042918948
1651590000000,2022-05-03 15:00:00,APE/USD,14.747,14.841,14.591,14.753,2280.265962,33640.763737386
1651586400000,2022-05-03 14:00:00,APE/USD,14.885,15.021,14.574,14.747,3432.242843,50615.285205721
1651582800000,2022-05-03 13:00:00,APE/USD,15.183,15.229,14.679,14.885,5467.524102,81384.09625827
1651579200000,2022-05-03 12:00:00,APE/USD,15.462,15.488,15.183,15.183,2894.77289,43951.33678887
1651575600000,2022-05-03 11:00:00,APE/USD,15.204,15.486,15.196,15.462,1800.560764,27840.270532968
1651572000000,2022-05-03 10:00:00,APE/USD,15.354,15.369,15.119,15.204,1623.017431,24676.357020924002
1651568400000,2022-05-03 09:00:00,APE/USD,15.482,15.56,15.27,15.354,7816.889382,120020.519571228
1651564800000,2022-05-03 08:00:00,APE/USD,15.233,15.778,15.225,15.482,8498.610607,131575.489417574
1651561200000,2022-05-03 07:00:00,APE/USD,15.164,15.376,14.82,15.233,9209.843975,140293.553271175
1651557600000,2022-05-03 06:00:00,APE/USD,15.299,15.34,15.134,15.164,1560.14809,23658.08563676
1651554000000,2022-05-03 05:00:00,APE/USD,15.272,15.445,15.13,15.299,11556.567418,176803.924927982
1651550400000,2022-05-03 04:00:00,APE/USD,14.685,15.272,14.685,15.272,2522.792118,38528.081226096
1651546800000,2022-05-03 03:00:00,APE/USD,15.125,15.242,14.623,14.685,3945.652973,57941.913908505005
1651543200000,2022-05-03 02:00:00,APE/USD,15.422,15.551,15.066,15.125,2916.797073,44116.555729125
1651539600000,2022-05-03 01:00:00,APE/USD,15.164,15.502,15.065,15.422,2526.801824,38968.337729728
1651536000000,2022-05-03 00:00:00,APE/USD,15.07,15.446,14.915,15.164,15083.933904,228732.773720256
1651532400000,2022-05-02 23:00:00,APE/USD,15.068,15.294,14.985,15.07,17641.622612,265859.25276284
1651528800000,2022-05-02 22:00:00,APE/USD,14.902,15.155,14.703,15.068,6578.561529,99125.76511897199
1651525200000,2022-05-02 21:00:00,APE/USD,14.522,15.125,14.43,14.902,11975.343858,178456.574171916
1651521600000,2022-05-02 20:00:00,APE/USD,14.743,14.811,14.384,14.522,5844.603035,84875.32527427
1651518000000,2022-05-02 19:00:00,APE/USD,14.489,14.76,14.375,14.743,9191.729047,135513.661339921
1651514400000,2022-05-02 18:00:00,APE/USD,14.437,14.577,14.217,14.489,12211.21706,176928.32398234002
1651510800000,2022-05-02 17:00:00,APE/USD,14.737,14.75,14.319,14.437,24641.7383,355752.7758371
1651507200000,2022-05-02 16:00:00,APE/USD,15.01,15.253,14.637,14.737,11109.289645,163717.60149836502
1651503600000,2022-05-02 15:00:00,APE/USD,15.372,15.372,14.897,15.01,7581.742804,113801.95948804001
1651500000000,2022-05-02 14:00:00,APE/USD,15.423,15.56,15.164,15.372,7735.818534,118915.002504648
1651496400000,2022-05-02 13:00:00,APE/USD,15.035,15.454,14.795,15.423,8321.715347,128345.815796781
1651492800000,2022-05-02 12:00:00,APE/USD,15.422,15.645,14.953,15.035,10886.742188,163682.16879658
1651489200000,2022-05-02 11:00:00,APE/USD,15.399,15.48,15.125,15.422,3839.673351,59215.442419122
1651485600000,2022-05-02 10:00:00,APE/USD,15.728,15.832,15.241,15.399,19481.180967,299990.70571083296
1651482000000,2022-05-02 09:00:00,APE/USD,16.198,16.327,15.728,15.728,11069.687548,174104.045754944
1651478400000,2022-05-02 08:00:00,APE/USD,16.193,16.475,15.996,16.198,6162.564961,99821.227238278
1651474800000,2022-05-02 07:00:00,APE/USD,16.474,16.59,16.154,16.193,4763.548089,77136.134205177
1651471200000,2022-05-02 06:00:00,APE/USD,16.983,17.18,16.35,16.474,12969.275758,213655.848837292
1651467600000,2022-05-02 05:00:00,APE/USD,17.072,17.218,16.849,16.983,10160.906193,172562.66987571903
1651464000000,2022-05-02 04:00:00,APE/USD,16.604,17.377,16.368,17.072,17157.308145,292909.56465143996
1651460400000,2022-05-02 03:00:00,APE/USD,16.383,16.609,16.228,16.604,11317.587447,187917.221969988
1651456800000,2022-05-02 02:00:00,APE/USD,16.298,16.426,16.145,16.383,6028.610608,98766.727590864
1651453200000,2022-05-02 01:00:00,APE/USD,16.586,16.804,16.134,16.298,23006.828295,374965.28755191
1651449600000,2022-05-02 00:00:00,APE/USD,15.873,16.586,15.869,16.586,32943.162366,546395.2910024759
1651446000000,2022-05-01 23:00:00,APE/USD,15.863,16.178,15.549,15.873,32226.84056,511536.64020888
1651442400000,2022-05-01 22:00:00,APE/USD,16.265,16.443,15.532,15.863,56706.570529,899536.328301527
1651438800000,2022-05-01 21:00:00,APE/USD,16.838,16.92,16.147,16.265,32342.388201,526048.9440892651
1651435200000,2022-05-01 20:00:00,APE/USD,16.65,16.916,16.224,16.838,11634.26064,195897.68065632
1651431600000,2022-05-01 19:00:00,APE/USD,16.577,16.841,16.396,16.65,7997.658818,133161.0193197
1651428000000,2022-05-01 18:00:00,APE/USD,17.116,17.311,16.52,16.577,15539.353722,257595.866649594
1651424400000,2022-05-01 17:00:00,APE/USD,17.318,17.632,17.037,17.116,36002.062165,616211.29601614
1651420800000,2022-05-01 16:00:00,APE/USD,16.485,17.518,16.39,17.318,47174.407001,816966.380443318
1651417200000,2022-05-01 15:00:00,APE/USD,16.18,16.655,16.148,16.485,17984.563402,296475.52768197
1651413600000,2022-05-01 14:00:00,APE/USD,17.069,17.165,16.026,16.18,38160.638222,617439.12643196
1651410000000,2022-05-01 13:00:00,APE/USD,17.185,17.336,16.982,17.069,37365.422146,637790.3906100739
1651406400000,2022-05-01 12:00:00,APE/USD,17.09,17.266,16.824,17.185,8571.341077,147298.49640824497
1651402800000,2022-05-01 11:00:00,APE/USD,17.429,17.477,16.693,17.09,15192.560654,259640.86157686
1651399200000,2022-05-01 10:00:00,APE/USD,17.646,17.902,17.261,17.429,7231.347899,126035.162531671
1651395600000,2022-05-01 09:00:00,APE/USD,17.784,17.865,17.244,17.646,3568.995442,62978.493569532
1651392000000,2022-05-01 08:00:00,APE/USD,17.493,18.11,17.394,17.784,8185.370012,145568.620293408
1651388400000,2022-05-01 07:00:00,APE/USD,17.351,17.519,16.971,17.493,12231.58261,213967.07459672997
1651384800000,2022-05-01 06:00:00,APE/USD,17.373,17.677,17.169,17.351,8089.733367,140364.963650817
1651381200000,2022-05-01 05:00:00,APE/USD,16.871,17.697,16.815,17.373,44345.39889,770412.61491597
