https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AXS,Volume USD
1651622400000,2022-05-04 00:00:00,AXS/USD,29.15,29.36,29.05,29.27,77.554861,2270.03078147
1651618800000,2022-05-03 23:00:00,AXS/USD,29.18,29.18,28.92,29.15,33.107417,965.0812055499999
1651615200000,2022-05-03 22:00:00,AXS/USD,29.13,29.38,29.02,29.18,27.047139,789.23551602
1651611600000,2022-05-03 21:00:00,AXS/USD,29.07,29.44,29.07,29.13,37.968645,1106.02662885
1651608000000,2022-05-03 20:00:00,AXS/USD,29.24,29.24,28.87,29.07,51.79738,1505.7498366
1651604400000,2022-05-03 19:00:00,AXS/USD,29.21,29.35,28.83,29.24,58.109563,1699.12362212
1651600800000,2022-05-03 18:00:00,AXS/USD,29.63,29.63,28.79,29.21,285.035253,8325.87974013
1651597200000,2022-05-03 17:00:00,AXS/USD,29.5,29.77,29.38,29.63,334.39776,9908.2056288
1651593600000,2022-05-03 16:00:00,AXS/USD,30.24,30.32,29.46,29.5,77.923779,2298.7514805
1651590000000,2022-05-03 15:00:00,AXS/USD,30.05,30.34,30.05,30.24,35.202865,1064.5346376
1651586400000,2022-05-03 14:00:00,AXS/USD,30.26,30.41,30.02,30.05,18.594047,558.75111235
1651582800000,2022-05-03 13:00:00,AXS/USD,30.34,30.54,30.05,30.26,58.643476,1774.55158376
1651579200000,2022-05-03 12:00:00,AXS/USD,30.45,30.86,30.34,30.34,62.935582,1909.4655578799998
1651575600000,2022-05-03 11:00:00,AXS/USD,29.99,30.51,29.5,30.45,623.842048,18995.990361599997
1651572000000,2022-05-03 10:00:00,AXS/USD,30.26,30.3,29.85,29.99,18.98259,569.2878741
1651568400000,2022-05-03 09:00:00,AXS/USD,30.36,30.85,30.12,30.26,10.445163,316.07063238000006
1651564800000,2022-05-03 08:00:00,AXS/USD,30.07,30.61,30.07,30.36,31.701458,962.4562648799999
1651561200000,2022-05-03 07:00:00,AXS/USD,30.32,30.44,30.07,30.07,15.557848,467.82448936000003
1651557600000,2022-05-03 06:00:00,AXS/USD,30.57,30.64,30.31,30.32,17.635855,534.7191236
1651554000000,2022-05-03 05:00:00,AXS/USD,30.3,30.6,30.0,30.57,237.543083,7261.69204731
1651550400000,2022-05-03 04:00:00,AXS/USD,30.16,31.33,30.01,30.3,49.098151,1487.6739753000002
1651546800000,2022-05-03 03:00:00,AXS/USD,30.11,31.63,30.03,30.16,89.868644,2710.43830304
1651543200000,2022-05-03 02:00:00,AXS/USD,30.35,30.51,30.02,30.11,2276.909414,68557.74245554
1651539600000,2022-05-03 01:00:00,AXS/USD,30.04,30.38,29.93,30.35,2725.824299,82728.76747465
1651536000000,2022-05-03 00:00:00,AXS/USD,30.31,30.31,29.94,30.04,945.086975,28390.412729
1651532400000,2022-05-02 23:00:00,AXS/USD,30.2,30.5,30.13,30.31,1327.154188,40226.043438279994
1651528800000,2022-05-02 22:00:00,AXS/USD,30.42,30.58,30.12,30.2,282.905453,8543.7446806
1651525200000,2022-05-02 21:00:00,AXS/USD,29.9,30.45,29.85,30.42,364.918036,11100.806655119999
1651521600000,2022-05-02 20:00:00,AXS/USD,30.12,30.18,29.89,29.9,62.277318,1862.0918081999998
1651518000000,2022-05-02 19:00:00,AXS/USD,30.05,30.16,29.98,30.12,62.566745,1884.5103594
1651514400000,2022-05-02 18:00:00,AXS/USD,29.9,30.08,29.86,30.05,2361.863558,70973.9999179
1651510800000,2022-05-02 17:00:00,AXS/USD,30.0,30.06,29.88,29.9,129.440988,3870.2855412
1651507200000,2022-05-02 16:00:00,AXS/USD,30.34,30.34,29.96,30.0,355.244058,10657.32174
1651503600000,2022-05-02 15:00:00,AXS/USD,30.86,31.01,30.28,30.34,10.500148,318.57449032
1651500000000,2022-05-02 14:00:00,AXS/USD,30.84,31.05,30.43,30.86,31.818854,981.92983444
1651496400000,2022-05-02 13:00:00,AXS/USD,30.15,30.93,30.06,30.84,44.444609,1370.67174156
1651492800000,2022-05-02 12:00:00,AXS/USD,30.04,30.3,30.0,30.15,16.012023,482.76249344999997
1651489200000,2022-05-02 11:00:00,AXS/USD,30.14,30.16,29.95,30.04,50.796553,1525.92845212
1651485600000,2022-05-02 10:00:00,AXS/USD,30.32,30.49,30.01,30.14,3.989085,120.2310219
1651482000000,2022-05-02 09:00:00,AXS/USD,30.76,30.94,30.3,30.32,9.989325,302.876334
1651478400000,2022-05-02 08:00:00,AXS/USD,31.19,31.26,30.76,30.76,33.526125,1031.263605
1651474800000,2022-05-02 07:00:00,AXS/USD,31.26,31.45,31.19,31.19,2.941806,91.75492914
1651471200000,2022-05-02 06:00:00,AXS/USD,31.63,31.73,31.26,31.26,12.651727,395.49298602
1651467600000,2022-05-02 05:00:00,AXS/USD,31.47,31.69,31.39,31.63,83.708176,2647.6896068799997
1651464000000,2022-05-02 04:00:00,AXS/USD,31.29,31.5,31.08,31.47,41.649778,1310.7185136599999
1651460400000,2022-05-02 03:00:00,AXS/USD,31.31,31.5,31.22,31.29,26.580241,831.69574089
1651456800000,2022-05-02 02:00:00,AXS/USD,31.45,31.45,31.07,31.31,59.975981,1877.84796511
1651453200000,2022-05-02 01:00:00,AXS/USD,31.61,31.98,31.41,31.45,166.340673,5231.41416585
1651449600000,2022-05-02 00:00:00,AXS/USD,31.68,32.13,31.51,31.61,111.539292,3525.75702012
1651446000000,2022-05-01 23:00:00,AXS/USD,31.63,32.2,31.46,31.68,135.452242,4291.127026560001
1651442400000,2022-05-01 22:00:00,AXS/USD,30.85,31.63,30.85,31.63,35.14536,1111.6477367999998
1651438800000,2022-05-01 21:00:00,AXS/USD,31.11,31.27,30.68,30.85,250.763663,7736.059003550001
1651435200000,2022-05-01 20:00:00,AXS/USD,30.73,31.11,30.62,31.11,26.480546,823.80978606
1651431600000,2022-05-01 19:00:00,AXS/USD,30.6,30.95,30.39,30.73,46.626106,1432.82023738
1651428000000,2022-05-01 18:00:00,AXS/USD,31.57,31.57,30.52,30.6,126.87949,3882.5123940000003
1651424400000,2022-05-01 17:00:00,AXS/USD,31.99,32.35,31.57,31.57,49.193177,1553.02859789
1651420800000,2022-05-01 16:00:00,AXS/USD,31.91,32.68,31.82,31.99,187.369484,5993.94979316
1651417200000,2022-05-01 15:00:00,AXS/USD,30.46,32.02,30.46,31.91,75.260466,2401.56147006
1651413600000,2022-05-01 14:00:00,AXS/USD,30.7,30.76,30.39,30.46,41.431934,1262.01670964
1651410000000,2022-05-01 13:00:00,AXS/USD,30.8,31.01,30.7,30.7,33.463215,1027.3207005
1651406400000,2022-05-01 12:00:00,AXS/USD,30.67,31.2,30.46,30.8,221.464989,6821.1216612
1651402800000,2022-05-01 11:00:00,AXS/USD,31.33,31.36,30.67,30.67,40.915347,1254.87369249
1651399200000,2022-05-01 10:00:00,AXS/USD,31.24,31.62,31.2,31.33,17.165772,537.80363676
1651395600000,2022-05-01 09:00:00,AXS/USD,31.72,31.72,31.03,31.24,7.343379,229.40715995999997
1651392000000,2022-05-01 08:00:00,AXS/USD,30.91,31.83,30.91,31.72,42.643936,1352.6656499199999
1651388400000,2022-05-01 07:00:00,AXS/USD,31.0,31.11,30.79,30.91,30.986783,957.80146253
1651384800000,2022-05-01 06:00:00,AXS/USD,31.44,31.78,30.9,31.0,16.859753,522.6523430000001
1651381200000,2022-05-01 05:00:00,AXS/USD,30.08,32.31,30.08,31.44,89.875805,2825.6953092
1651377600000,2022-05-01 04:00:00,AXS/USD,30.17,30.26,29.91,30.08,226.527298,6813.94112384
1651374000000,2022-05-01 03:00:00,AXS/USD,29.92,30.48,29.92,30.17,185.826739,5606.392715630001
1651370400000,2022-05-01 02:00:00,AXS/USD,29.04,30.11,29.0,29.92,198.606132,5942.2954694400005
1651366800000,2022-05-01 01:00:00,AXS/USD,28.67,29.31,27.94,29.04,271.032891,7870.79515464
1651363200000,2022-05-01 00:00:00,AXS/USD,29.07,29.45,28.4,28.67,113.872377,3264.72104859
1651359600000,2022-04-30 23:00:00,AXS/USD,30.28,30.38,26.5,29.07,719.636061,20919.82029327
1651356000000,2022-04-30 22:00:00,AXS/USD,31.07,31.07,30.21,30.28,157.107601,4757.218158279999
1651352400000,2022-04-30 21:00:00,AXS/USD,31.33,31.33,30.79,31.07,64.228897,1995.59182979
1651348800000,2022-04-30 20:00:00,AXS/USD,31.62,31.62,31.24,31.33,206.673481,6475.08015973
1651345200000,2022-04-30 19:00:00,AXS/USD,31.39,31.68,31.19,31.62,313.615016,9916.50680592
1651341600000,2022-04-30 18:00:00,AXS/USD,31.25,31.57,31.15,31.39,106.705369,3349.48153291
1651338000000,2022-04-30 17:00:00,AXS/USD,32.0,32.0,31.16,31.25,974.21512,30444.2225
1651334400000,2022-04-30 16:00:00,AXS/USD,32.64,32.88,32.0,32.0,369.085423,11810.733536
1651330800000,2022-04-30 15:00:00,AXS/USD,32.75,33.0,32.36,32.64,74.630258,2435.93162112
1651327200000,2022-04-30 14:00:00,AXS/USD,33.81,33.94,32.75,32.75,657.703497,21539.78952675
1651323600000,2022-04-30 13:00:00,AXS/USD,33.99,34.21,33.81,33.81,257.142229,8693.97876249
1651320000000,2022-04-30 12:00:00,AXS/USD,34.29,34.49,33.99,33.99,17.302639,588.11669961
1651316400000,2022-04-30 11:00:00,AXS/USD,34.08,34.42,34.08,34.29,28.353721,972.24909309
1651312800000,2022-04-30 10:00:00,AXS/USD,33.8,34.3,33.71,34.08,60.854171,2073.91014768
1651309200000,2022-04-30 09:00:00,AXS/USD,33.9,33.94,33.69,33.8,137.440977,4645.505022599999
1651305600000,2022-04-30 08:00:00,AXS/USD,34.29,34.29,33.61,33.9,10.768438,365.0500482
1651302000000,2022-04-30 07:00:00,AXS/USD,34.79,34.86,34.25,34.29,42.758091,1466.17494039
