https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTCG,Volume USD
1651622400000,2022-05-04 00:00:00,BTCG/USD,37745.52,37777.75,37745.52,37763.38,0.15570577,5879.976160702599
1651618800000,2022-05-03 23:00:00,BTCG/USD,38607.57,38607.57,37700.0,37745.52,0.14375281,5426.0245649112
1651615200000,2022-05-03 22:00:00,BTCG/USD,38607.57,38607.57,38607.57,38607.57,0.00592387,228.7062256959
1651611600000,2022-05-03 21:00:00,BTCG/USD,37697.59,38607.57,37637.91,38607.57,0.14260065,5505.4645769205
1651608000000,2022-05-03 20:00:00,BTCG/USD,37510.39,37697.59,37510.39,37697.59,0.60154103,22676.6471171177
1651604400000,2022-05-03 19:00:00,BTCG/USD,37658.46,37664.67,37510.39,37510.39,0.01613734,605.3179169626
1651600800000,2022-05-03 18:00:00,BTCG/USD,38063.0,38063.0,37594.77,37658.46,0.36442145,13723.550597967
1651597200000,2022-05-03 17:00:00,BTCG/USD,38221.99,38221.99,38063.0,38063.0,0.20208628,7692.010075640001
1651593600000,2022-05-03 16:00:00,BTCG/USD,38292.09,38292.09,38086.22,38221.99,0.85422016,32649.9944133184
1651590000000,2022-05-03 15:00:00,BTCG/USD,38289.6,38386.71,38278.26,38292.09,0.16047574,6144.9514788966
1651586400000,2022-05-03 14:00:00,BTCG/USD,38365.69,38365.69,38214.63,38289.6,0.26389495,10104.43207752
1651582800000,2022-05-03 13:00:00,BTCG/USD,38530.17,38530.17,38201.67,38365.69,1.08350384,41569.37243924961
1651579200000,2022-05-03 12:00:00,BTCG/USD,38489.58,38530.18,38462.29,38530.17,0.1274188,4909.468025196
1651575600000,2022-05-03 11:00:00,BTCG/USD,38373.47,38489.58,38263.99,38489.58,0.39127154,15059.8772405532
1651572000000,2022-05-03 10:00:00,BTCG/USD,38453.11,38453.11,38373.47,38373.47,0.01995136,765.6029144192
1651568400000,2022-05-03 09:00:00,BTCG/USD,38599.16,38599.16,38453.11,38453.11,0.14929609,5740.8989713399
1651564800000,2022-05-03 08:00:00,BTCG/USD,38496.29,38599.16,38496.29,38599.16,0.02918597,1126.5539257852001
1651561200000,2022-05-03 07:00:00,BTCG/USD,38496.29,38496.29,38496.29,38496.29,0.0,0.0
1651557600000,2022-05-03 06:00:00,BTCG/USD,38524.55,38524.55,38471.57,38496.29,0.00245881,94.6550628149
1651554000000,2022-05-03 05:00:00,BTCG/USD,38467.14,38524.55,38443.08,38524.55,0.00178245,68.66808414750001
1651550400000,2022-05-03 04:00:00,BTCG/USD,38239.43,38508.52,38239.43,38467.14,0.00807522,310.63061827079997
1651546800000,2022-05-03 03:00:00,BTCG/USD,38425.73,39000.66,38239.43,38239.43,0.01888002,721.9612031886
1651543200000,2022-05-03 02:00:00,BTCG/USD,38470.7,38531.37,38420.17,38425.73,0.07054233,2710.6405261509003
1651539600000,2022-05-03 01:00:00,BTCG/USD,38438.24,38485.86,38403.58,38470.7,0.00306051,117.73996205699999
1651536000000,2022-05-03 00:00:00,BTCG/USD,38657.25,38657.25,38400.94,38438.24,1.71036745,65743.51453128799
1651532400000,2022-05-02 23:00:00,BTCG/USD,38674.51,38683.45,38628.45,38657.25,0.0685273,2649.076967925
1651528800000,2022-05-02 22:00:00,BTCG/USD,38676.48,38694.97,38674.51,38674.51,0.00266125,102.9225397375
1651525200000,2022-05-02 21:00:00,BTCG/USD,38417.95,38814.04,38284.64,38676.48,0.10137511,3920.8324144128005
1651521600000,2022-05-02 20:00:00,BTCG/USD,38511.15,38513.87,38417.95,38417.95,0.03384133,1300.1145238735
1651518000000,2022-05-02 19:00:00,BTCG/USD,38227.44,38566.45,38227.44,38511.15,0.03658836,1409.059820214
1651514400000,2022-05-02 18:00:00,BTCG/USD,38316.81,38334.69,38108.94,38227.44,0.88220768,33724.54115473921
1651510800000,2022-05-02 17:00:00,BTCG/USD,38685.13,38685.13,38316.81,38316.81,0.47095878,18045.6380910918
1651507200000,2022-05-02 16:00:00,BTCG/USD,38594.69,38835.67,38594.69,38685.13,0.01159079,448.39121795269995
1651503600000,2022-05-02 15:00:00,BTCG/USD,38864.74,38864.74,38594.69,38594.69,0.21928586,8463.2697880834
1651500000000,2022-05-02 14:00:00,BTCG/USD,38920.68,39000.66,38761.34,38864.74,0.32457436,12614.4981120664
1651496400000,2022-05-02 13:00:00,BTCG/USD,38694.43,38920.68,38490.73,38920.68,0.18077199,7035.768775753199
1651492800000,2022-05-02 12:00:00,BTCG/USD,38481.88,38694.43,38481.88,38694.43,0.00253524,98.0996667132
1651489200000,2022-05-02 11:00:00,BTCG/USD,38720.03,38720.03,38481.88,38481.88,0.00953497,366.9235713436
1651485600000,2022-05-02 10:00:00,BTCG/USD,38875.55,38875.55,38720.03,38720.03,0.00278008,107.6447810024
1651482000000,2022-05-02 09:00:00,BTCG/USD,38902.0,38978.43,38824.41,38875.55,0.02357094,916.333256517
1651478400000,2022-05-02 08:00:00,BTCG/USD,38823.68,38902.0,38823.68,38902.0,0.02117747,823.84593794
1651474800000,2022-05-02 07:00:00,BTCG/USD,38978.66,39012.12,38823.68,38823.68,0.00565392,219.5059808256
1651471200000,2022-05-02 06:00:00,BTCG/USD,39000.0,39000.0,38978.66,38978.66,0.00020447,7.969966610200001
1651467600000,2022-05-02 05:00:00,BTCG/USD,39000.0,39000.0,39000.0,39000.0,0.0,0.0
1651464000000,2022-05-02 04:00:00,BTCG/USD,38498.09,39000.0,38498.09,39000.0,0.000194,7.566
1651460400000,2022-05-02 03:00:00,BTCG/USD,38498.09,38498.09,38498.09,38498.09,0.0,0.0
1651456800000,2022-05-02 02:00:00,BTCG/USD,38634.47,38634.47,38472.16,38498.09,0.0118847,457.538250223
1651453200000,2022-05-02 01:00:00,BTCG/USD,38639.0,38713.19,38599.49,38634.47,0.02154249,832.2826836303001
1651449600000,2022-05-02 00:00:00,BTCG/USD,38264.88,38743.16,38264.88,38639.0,0.28112535,10862.40239865
1651446000000,2022-05-01 23:00:00,BTCG/USD,38264.88,38264.88,38264.88,38264.88,0.0,0.0
1651442400000,2022-05-01 22:00:00,BTCG/USD,38389.46,38438.13,38264.88,38264.88,0.01309153,500.9458244664
1651438800000,2022-05-01 21:00:00,BTCG/USD,38282.01,38455.0,38282.01,38389.46,0.05378843,2064.9087819478
1651435200000,2022-05-01 20:00:00,BTCG/USD,37697.76,38282.01,37697.76,38282.01,0.00026029,9.9644243829
1651431600000,2022-05-01 19:00:00,BTCG/USD,38722.8,38722.8,37697.76,37697.76,0.13560224,5111.900698982401
1651428000000,2022-05-01 18:00:00,BTCG/USD,38339.26,38722.8,38123.54,38722.8,0.5273528,20420.57700384
1651424400000,2022-05-01 17:00:00,BTCG/USD,38722.8,38722.8,38339.26,38339.26,0.0348702,1336.897664052
1651420800000,2022-05-01 16:00:00,BTCG/USD,38663.18,38722.8,38469.17,38722.8,0.00254855,98.68699194000001
1651417200000,2022-05-01 15:00:00,BTCG/USD,38139.87,38755.76,38139.87,38663.18,1.07351083,41505.3424522394
1651413600000,2022-05-01 14:00:00,BTCG/USD,37765.86,38139.87,37765.86,38139.87,0.03289358,1254.5568650346
1651410000000,2022-05-01 13:00:00,BTCG/USD,37765.86,38139.87,37765.86,37765.86,0.0130168,491.59064644800003
1651406400000,2022-05-01 12:00:00,BTCG/USD,37787.2,38139.87,37765.86,37765.86,0.01338523,505.5047222478
1651402800000,2022-05-01 11:00:00,BTCG/USD,38121.75,38139.87,37787.2,37787.2,0.0135291,511.22680751999997
1651399200000,2022-05-01 10:00:00,BTCG/USD,37787.2,38121.75,37787.2,38121.75,0.00192865,73.5235131375
1651395600000,2022-05-01 09:00:00,BTCG/USD,37933.32,37933.32,37787.2,37787.2,0.00145541,54.995868752
1651392000000,2022-05-01 08:00:00,BTCG/USD,37933.32,37933.32,37933.32,37933.32,0.0,0.0
1651388400000,2022-05-01 07:00:00,BTCG/USD,38081.83,38081.83,37933.32,37933.32,0.00753852,285.9610914864
1651384800000,2022-05-01 06:00:00,BTCG/USD,38081.83,38081.83,38081.83,38081.83,0.0,0.0
