https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CUBE,Volume USD
1651622400000,2022-05-04 00:00:00,CUBE/USD,3.6805,3.6914,3.6679,3.6823,416.565339,1533.9185477997
1651618800000,2022-05-03 23:00:00,CUBE/USD,3.698,3.7042,3.6547,3.6805,2455.579345,9037.759779272501
1651615200000,2022-05-03 22:00:00,CUBE/USD,3.7445,3.7486,3.6448,3.698,6927.441436,25617.678430328
1651611600000,2022-05-03 21:00:00,CUBE/USD,3.7445,3.7445,3.7368,3.7445,13.480181,50.4765377545
1651608000000,2022-05-03 20:00:00,CUBE/USD,3.7549,3.7658,3.725,3.7445,1603.020319,6002.509584495499
1651604400000,2022-05-03 19:00:00,CUBE/USD,3.7766,3.782,3.75,3.7549,733.544631,2754.3867349419
1651600800000,2022-05-03 18:00:00,CUBE/USD,3.84,3.84,3.7754,3.7766,1247.063489,4709.6599725574
1651597200000,2022-05-03 17:00:00,CUBE/USD,3.8353,3.8482,3.8208,3.84,1577.194824,6056.428124159999
1651593600000,2022-05-03 16:00:00,CUBE/USD,3.8504,3.8588,3.8208,3.8353,1767.94266,6780.5904838980005
1651590000000,2022-05-03 15:00:00,CUBE/USD,3.8436,3.8562,3.8303,3.8504,301.034153,1159.1019027112
1651586400000,2022-05-03 14:00:00,CUBE/USD,3.8299,3.8763,3.8168,3.8436,3299.710369,12682.766774288399
1651582800000,2022-05-03 13:00:00,CUBE/USD,3.8115,3.8816,3.7152,3.8299,13838.766236,53001.0908072564
1651579200000,2022-05-03 12:00:00,CUBE/USD,3.7933,3.8285,3.7765,3.8115,1848.621958,7046.022592917
1651575600000,2022-05-03 11:00:00,CUBE/USD,3.7366,3.7933,3.7105,3.7933,2951.718286,11196.7529742838
1651572000000,2022-05-03 10:00:00,CUBE/USD,4.79,4.79,3.6762,3.7366,6252.268547,23362.2266527202
1651568400000,2022-05-03 09:00:00,CUBE/USD,3.6559,5.5018,3.6517,4.79,5630.145232,26968.39566128
1651564800000,2022-05-03 08:00:00,CUBE/USD,3.6294,3.8284,3.6294,3.6559,33.902594,123.9444934046
1651561200000,2022-05-03 07:00:00,CUBE/USD,3.7961,3.7961,3.6294,3.6294,13.721437,49.8005834478
1651557600000,2022-05-03 06:00:00,CUBE/USD,3.6583,3.8036,3.6348,3.7961,999.277152,3793.3559967072
1651554000000,2022-05-03 05:00:00,CUBE/USD,3.6351,3.6594,3.6294,3.6583,6384.443667,23356.210266986098
1651550400000,2022-05-03 04:00:00,CUBE/USD,3.6295,3.6429,3.6295,3.6351,46.546608,169.2015747408
1651546800000,2022-05-03 03:00:00,CUBE/USD,3.6174,3.6391,3.6174,3.6295,156.416842,567.714928039
1651543200000,2022-05-03 02:00:00,CUBE/USD,3.6199,3.625,3.6129,3.6174,233.707773,845.4144980502
1651539600000,2022-05-03 01:00:00,CUBE/USD,3.6211,3.6361,3.6037,3.6199,963.933323,3489.3422359276997
1651536000000,2022-05-03 00:00:00,CUBE/USD,3.6221,3.6309,3.618,3.6211,115.259898,417.36761664780005
1651532400000,2022-05-02 23:00:00,CUBE/USD,3.6165,3.6307,3.6135,3.6221,104.601811,378.8782196231
1651528800000,2022-05-02 22:00:00,CUBE/USD,3.6078,3.6208,3.6066,3.6165,157.614747,570.0137325254999
1651525200000,2022-05-02 21:00:00,CUBE/USD,3.5674,3.6078,3.5637,3.6078,499.417052,1801.7968402056001
1651521600000,2022-05-02 20:00:00,CUBE/USD,3.5778,3.5779,3.5554,3.5674,385.084508,1373.7504738392001
1651518000000,2022-05-02 19:00:00,CUBE/USD,3.5428,3.5779,3.5428,3.5778,383.098765,1370.650761417
1651514400000,2022-05-02 18:00:00,CUBE/USD,3.5384,3.5444,3.5324,3.5428,399.789746,1416.3751121288
1651510800000,2022-05-02 17:00:00,CUBE/USD,3.5779,3.5779,3.5226,3.5384,2900.903195,10264.555865188
1651507200000,2022-05-02 16:00:00,CUBE/USD,3.5783,3.5856,3.5779,3.5779,86.067993,307.9426721547
1651503600000,2022-05-02 15:00:00,CUBE/USD,3.5761,3.5838,3.5761,3.5783,60.627725,216.9441883675
1651500000000,2022-05-02 14:00:00,CUBE/USD,3.5796,3.5848,3.5756,3.5761,114.373975,409.0127719975
1651496400000,2022-05-02 13:00:00,CUBE/USD,3.567,3.5818,3.5668,3.5796,521.987728,1868.5072711487999
1651492800000,2022-05-02 12:00:00,CUBE/USD,3.5894,3.5923,3.5604,3.567,1396.742039,4982.1788531130005
1651489200000,2022-05-02 11:00:00,CUBE/USD,3.5933,3.5933,3.5886,3.5894,47.754987,171.4117503378
1651485600000,2022-05-02 10:00:00,CUBE/USD,3.5941,3.5953,3.5933,3.5933,15.553241,55.8874608853
1651482000000,2022-05-02 09:00:00,CUBE/USD,3.5924,3.6018,3.5885,3.5941,73.770114,265.13716672740003
1651478400000,2022-05-02 08:00:00,CUBE/USD,3.6089,3.6184,3.5885,3.5924,2981.895985,10712.163136514
1651474800000,2022-05-02 07:00:00,CUBE/USD,3.4332,3.6289,3.4332,3.6089,2353.518944,8493.6145170016
1651471200000,2022-05-02 06:00:00,CUBE/USD,3.4279,3.4376,3.4279,3.4332,71.115129,244.15246088279997
1651467600000,2022-05-02 05:00:00,CUBE/USD,3.4264,3.4391,3.4199,3.4279,2888.302743,9900.812972729702
1651464000000,2022-05-02 04:00:00,CUBE/USD,3.4273,3.4273,3.4219,3.4264,90.991246,311.7724052944
1651460400000,2022-05-02 03:00:00,CUBE/USD,3.4402,3.4402,3.4219,3.4273,32.298992,110.69833528159998
1651456800000,2022-05-02 02:00:00,CUBE/USD,3.4621,3.4621,3.4172,3.4402,1259.025494,4331.2995044588
1651453200000,2022-05-02 01:00:00,CUBE/USD,3.5001,3.5421,3.4456,3.4621,4156.702284,14390.9189774364
1651449600000,2022-05-02 00:00:00,CUBE/USD,3.4523,3.5764,3.4523,3.5001,707.466563,2476.2037171563
1651446000000,2022-05-01 23:00:00,CUBE/USD,3.4527,3.4607,3.4493,3.4523,651.566925,2249.4044951775
1651442400000,2022-05-01 22:00:00,CUBE/USD,3.4388,3.4605,3.4382,3.4527,294.970378,1018.4442241206
1651438800000,2022-05-01 21:00:00,CUBE/USD,3.3717,3.4388,3.3715,3.4388,2508.980344,8627.8816069472
1651435200000,2022-05-01 20:00:00,CUBE/USD,3.5405,3.5405,3.3574,3.3717,6864.077306,23143.6094526402
1651431600000,2022-05-01 19:00:00,CUBE/USD,3.6237,3.6237,3.5383,3.5405,2810.668037,9951.1701849985
1651428000000,2022-05-01 18:00:00,CUBE/USD,3.6215,3.6308,3.6093,3.6237,144.519431,523.6950621147
1651424400000,2022-05-01 17:00:00,CUBE/USD,3.6308,3.6308,3.6168,3.6215,164.965723,597.4233658445
1651420800000,2022-05-01 16:00:00,CUBE/USD,3.58,3.6336,3.58,3.6308,557.455075,2024.0078863099998
1651417200000,2022-05-01 15:00:00,CUBE/USD,3.5356,3.58,3.5247,3.58,3416.315672,12230.41010576
1651413600000,2022-05-01 14:00:00,CUBE/USD,3.5656,3.5691,3.5247,3.5356,2774.199591,9808.460073939601
1651410000000,2022-05-01 13:00:00,CUBE/USD,3.5447,3.5656,3.542,3.5656,1515.962463,5405.3157580728
1651406400000,2022-05-01 12:00:00,CUBE/USD,3.5221,3.6753,3.5219,3.5447,1882.477135,6672.8167004345005
1651402800000,2022-05-01 11:00:00,CUBE/USD,3.54,3.5466,3.5,3.5221,866.179934,3050.7723455414002
1651399200000,2022-05-01 10:00:00,CUBE/USD,3.54,3.5417,3.54,3.54,60.812748,215.27712792
1651395600000,2022-05-01 09:00:00,CUBE/USD,3.5373,3.5549,3.5277,3.54,152.17536,538.7007744
1651392000000,2022-05-01 08:00:00,CUBE/USD,3.5294,3.5373,3.5293,3.5373,17.803426,62.97605878980001
1651388400000,2022-05-01 07:00:00,CUBE/USD,3.5277,3.5532,3.5277,3.5294,148.115897,522.7602468718
1651384800000,2022-05-01 06:00:00,CUBE/USD,3.5297,3.5359,3.5277,3.5277,62.96631,222.126251787
1651381200000,2022-05-01 05:00:00,CUBE/USD,3.5064,3.5298,3.5051,3.5297,283.840334,1001.8712269197999
1651377600000,2022-05-01 04:00:00,CUBE/USD,3.4735,3.509,3.4713,3.5064,2440.537394,8557.5003183216
1651374000000,2022-05-01 03:00:00,CUBE/USD,3.4351,3.4772,3.4319,3.4735,589.336028,2047.0586932580002
1651370400000,2022-05-01 02:00:00,CUBE/USD,3.4201,3.4353,3.4173,3.4351,1021.078923,3507.5082083972998
1651366800000,2022-05-01 01:00:00,CUBE/USD,3.4132,3.4299,3.4,3.4201,2707.875667,9261.2055687067
1651363200000,2022-05-01 00:00:00,CUBE/USD,3.4299,3.4337,3.4009,3.4132,1658.1839,5659.71328748
1651359600000,2022-04-30 23:00:00,CUBE/USD,3.5472,3.5472,3.4299,3.4299,2593.632965,8895.9017066535
1651356000000,2022-04-30 22:00:00,CUBE/USD,3.6185,3.6185,3.5384,3.5472,1530.137733,5427.7045664976
1651352400000,2022-04-30 21:00:00,CUBE/USD,3.5826,3.624,3.5826,3.6185,1513.628637,5477.0652229845
1651348800000,2022-04-30 20:00:00,CUBE/USD,3.5878,3.6013,3.5645,3.5826,1909.28662,6840.2102448119995
1651345200000,2022-04-30 19:00:00,CUBE/USD,3.5762,3.588,3.561,3.5878,1022.51279,3668.5713879620002
1651341600000,2022-04-30 18:00:00,CUBE/USD,3.591,3.607,3.5762,3.5762,1885.855148,6744.1951802776
1651338000000,2022-04-30 17:00:00,CUBE/USD,3.63,3.63,3.5906,3.591,460.005118,1651.878378738
1651334400000,2022-04-30 16:00:00,CUBE/USD,3.7136,3.7181,3.63,3.63,3131.424109,11367.06951567
1651330800000,2022-04-30 15:00:00,CUBE/USD,3.705,3.7136,3.6796,3.7136,1527.012812,5670.7147786432
1651327200000,2022-04-30 14:00:00,CUBE/USD,3.663,3.7159,3.663,3.705,725.329255,2687.344889775
1651323600000,2022-04-30 13:00:00,CUBE/USD,3.6495,3.6656,3.6287,3.663,1794.699127,6573.982902201
1651320000000,2022-04-30 12:00:00,CUBE/USD,3.6687,3.6687,3.6495,3.6495,653.762629,2385.9067145354998
1651316400000,2022-04-30 11:00:00,CUBE/USD,3.6685,3.6798,3.6655,3.6687,189.134595,693.8780886764999
1651312800000,2022-04-30 10:00:00,CUBE/USD,3.6546,3.673,3.651,3.6685,283.154625,1038.7527418125
1651309200000,2022-04-30 09:00:00,CUBE/USD,3.6559,3.6575,3.6491,3.6546,185.82339,679.110161094
1651305600000,2022-04-30 08:00:00,CUBE/USD,3.6748,3.6748,3.6547,3.6559,156.679508,572.8046132972
1651302000000,2022-04-30 07:00:00,CUBE/USD,3.6869,3.728,3.6748,3.6748,757.579768,2783.9541314463995
1651298400000,2022-04-30 06:00:00,CUBE/USD,3.6947,3.6981,3.6745,3.6869,352.473106,1299.5330945114
1651294800000,2022-04-30 05:00:00,CUBE/USD,3.7155,3.7216,3.6878,3.6947,350.425161,1294.7158423467001
1651291200000,2022-04-30 04:00:00,CUBE/USD,3.6945,3.7327,3.677,3.7155,879.593421,3268.1293557255003
1651287600000,2022-04-30 03:00:00,CUBE/USD,3.7094,3.7094,3.6845,3.6945,761.533268,2813.484658626
1651284000000,2022-04-30 02:00:00,CUBE/USD,3.7149,3.7507,3.7094,3.7094,841.091431,3119.9445541513996
