https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1651622400000,2022-05-04 00:00:00,DOGE/USD,0.12938,0.13055,0.12937,0.12975,254654.95407,33041.480290582505
1651618800000,2022-05-03 23:00:00,DOGE/USD,0.12901,0.1295,0.12859,0.12938,69071.970704,8936.53156968352
1651615200000,2022-05-03 22:00:00,DOGE/USD,0.12945,0.12998,0.12896,0.12901,165150.3898,21306.051788098004
1651611600000,2022-05-03 21:00:00,DOGE/USD,0.12844,0.12957,0.12783,0.12945,428191.703458,55429.4160126381
1651608000000,2022-05-03 20:00:00,DOGE/USD,0.1276,0.12844,0.12714,0.12844,303692.694143,39006.28963572692
1651604400000,2022-05-03 19:00:00,DOGE/USD,0.12811,0.12827,0.12643,0.1276,75431.014078,9624.9973963528
1651600800000,2022-05-03 18:00:00,DOGE/USD,0.12944,0.12944,0.12741,0.12811,2129469.911143,272806.3903165297
1651597200000,2022-05-03 17:00:00,DOGE/USD,0.12911,0.12999,0.12907,0.12944,197072.887681,25509.11458142864
1651593600000,2022-05-03 16:00:00,DOGE/USD,0.13027,0.13028,0.12867,0.12911,138640.365001,17899.85752527911
1651590000000,2022-05-03 15:00:00,DOGE/USD,0.12973,0.13089,0.12958,0.13027,296269.692979,38595.05290437433
1651586400000,2022-05-03 14:00:00,DOGE/USD,0.13009,0.13047,0.12956,0.12973,64766.943474,8402.215576882021
1651582800000,2022-05-03 13:00:00,DOGE/USD,0.13069,0.13087,0.12932,0.13009,74960.022653,9751.549346928772
1651579200000,2022-05-03 12:00:00,DOGE/USD,0.13107,0.13125,0.13069,0.13069,152237.72432,19895.9481913808
1651575600000,2022-05-03 11:00:00,DOGE/USD,0.13007,0.13113,0.12992,0.13107,199158.882673,26103.754751950106
1651572000000,2022-05-03 10:00:00,DOGE/USD,0.13052,0.13052,0.13001,0.13007,750.653278,97.63747186945999
1651568400000,2022-05-03 09:00:00,DOGE/USD,0.13127,0.13131,0.13052,0.13052,57888.37363,7555.5905261876005
1651564800000,2022-05-03 08:00:00,DOGE/USD,0.13122,0.13143,0.13121,0.13127,30535.10527,4008.3432687929
1651561200000,2022-05-03 07:00:00,DOGE/USD,0.13094,0.13127,0.13083,0.13122,8696.563396,1141.1630488231199
1651557600000,2022-05-03 06:00:00,DOGE/USD,0.13097,0.13127,0.1308,0.13094,69522.106138,9103.22457770972
1651554000000,2022-05-03 05:00:00,DOGE/USD,0.13184,0.13184,0.13075,0.13097,206034.736253,26984.369407055412
1651550400000,2022-05-03 04:00:00,DOGE/USD,0.13123,0.1319,0.13123,0.13184,54272.704549,7155.313367740161
1651546800000,2022-05-03 03:00:00,DOGE/USD,0.13136,0.13181,0.13123,0.13123,359739.571523,47208.6239709633
1651543200000,2022-05-03 02:00:00,DOGE/USD,0.13127,0.13187,0.13065,0.13136,122494.834856,16090.92150668416
1651539600000,2022-05-03 01:00:00,DOGE/USD,0.1304,0.13129,0.1303,0.13127,68861.505631,9039.44984418137
1651536000000,2022-05-03 00:00:00,DOGE/USD,0.13072,0.13099,0.13031,0.1304,182248.35189,23765.185086455996
1651532400000,2022-05-02 23:00:00,DOGE/USD,0.13106,0.1314,0.13058,0.13072,256593.499342,33541.90223398624
1651528800000,2022-05-02 22:00:00,DOGE/USD,0.13112,0.13227,0.13093,0.13106,130416.470935,17092.382680741102
1651525200000,2022-05-02 21:00:00,DOGE/USD,0.13035,0.13126,0.13023,0.13112,476437.249925,62470.452210166
1651521600000,2022-05-02 20:00:00,DOGE/USD,0.1308,0.13093,0.1303,0.13035,250075.838208,32597.385510412798
1651518000000,2022-05-02 19:00:00,DOGE/USD,0.12899,0.13102,0.12899,0.1308,451290.41577,59028.786382716
1651514400000,2022-05-02 18:00:00,DOGE/USD,0.1283,0.12913,0.12758,0.12899,285421.215673,36816.48260966027
1651510800000,2022-05-02 17:00:00,DOGE/USD,0.12994,0.12994,0.12771,0.1283,176386.569728,22630.3968961024
1651507200000,2022-05-02 16:00:00,DOGE/USD,0.13014,0.13107,0.12994,0.12994,253267.144799,32909.53279518206
1651503600000,2022-05-02 15:00:00,DOGE/USD,0.13047,0.13081,0.13002,0.13014,175935.601854,22896.259225279562
1651500000000,2022-05-02 14:00:00,DOGE/USD,0.13093,0.13152,0.12968,0.13047,141913.825922,18515.496868043338
1651496400000,2022-05-02 13:00:00,DOGE/USD,0.12974,0.13197,0.12877,0.13093,769793.091471,100789.00946629803
1651492800000,2022-05-02 12:00:00,DOGE/USD,0.12994,0.13063,0.12973,0.12974,102367.725348,13281.18868664952
1651489200000,2022-05-02 11:00:00,DOGE/USD,0.1312,0.13123,0.12973,0.12994,123363.525134,16029.856455911959
1651485600000,2022-05-02 10:00:00,DOGE/USD,0.13072,0.13166,0.13061,0.1312,39391.202265,5168.125737168
1651482000000,2022-05-02 09:00:00,DOGE/USD,0.13137,0.13163,0.13063,0.13072,94538.347746,12358.05281735712
1651478400000,2022-05-02 08:00:00,DOGE/USD,0.13178,0.13205,0.13091,0.13137,133142.469922,17490.92627365314
1651474800000,2022-05-02 07:00:00,DOGE/USD,0.13242,0.1326,0.13178,0.13178,22920.443201,3020.45600502778
1651471200000,2022-05-02 06:00:00,DOGE/USD,0.13362,0.13362,0.13235,0.13242,125461.035822,16613.550363549242
