https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DPI,Volume USD
1651622400000,2022-05-04 00:00:00,DPI/USD,140.07,141.27,140.07,141.27,0.165586,23.392334220000002
1651618800000,2022-05-03 23:00:00,DPI/USD,141.25,141.25,140.07,140.07,0.341028,47.76779196
1651615200000,2022-05-03 22:00:00,DPI/USD,140.72,141.25,140.72,141.25,0.562729,79.48547125
1651611600000,2022-05-03 21:00:00,DPI/USD,139.3,140.72,139.3,140.72,2.53963,357.37673359999997
1651608000000,2022-05-03 20:00:00,DPI/USD,139.3,139.3,139.3,139.3,0.0,0.0
1651604400000,2022-05-03 19:00:00,DPI/USD,143.48,143.48,139.3,139.3,0.072717,10.129478100000002
1651600800000,2022-05-03 18:00:00,DPI/USD,143.48,143.48,143.48,143.48,0.0,0.0
1651597200000,2022-05-03 17:00:00,DPI/USD,144.65,144.65,143.48,143.48,0.007004,1.0049339199999998
1651593600000,2022-05-03 16:00:00,DPI/USD,144.65,144.65,144.65,144.65,0.0,0.0
1651590000000,2022-05-03 15:00:00,DPI/USD,144.95,144.95,144.65,144.65,1.011211,146.27167115000003
1651586400000,2022-05-03 14:00:00,DPI/USD,144.0,144.95,144.0,144.95,0.002846,0.41252769999999994
1651582800000,2022-05-03 13:00:00,DPI/USD,145.77,145.77,144.0,144.0,0.277554,39.967776
1651579200000,2022-05-03 12:00:00,DPI/USD,145.77,145.77,145.77,145.77,0.0,0.0
1651575600000,2022-05-03 11:00:00,DPI/USD,145.77,145.77,145.77,145.77,0.0,0.0
1651572000000,2022-05-03 10:00:00,DPI/USD,145.77,145.77,145.77,145.77,0.0,0.0
1651568400000,2022-05-03 09:00:00,DPI/USD,143.77,145.77,143.77,145.77,0.066,9.620820000000002
1651564800000,2022-05-03 08:00:00,DPI/USD,143.77,143.77,143.77,143.77,0.0,0.0
1651561200000,2022-05-03 07:00:00,DPI/USD,143.77,143.77,143.77,143.77,0.0,0.0
1651557600000,2022-05-03 06:00:00,DPI/USD,143.77,143.77,143.77,143.77,0.0,0.0
1651554000000,2022-05-03 05:00:00,DPI/USD,143.77,143.77,143.77,143.77,0.0,0.0
1651550400000,2022-05-03 04:00:00,DPI/USD,143.62,143.77,143.62,143.77,0.548347,78.83584819000001
1651546800000,2022-05-03 03:00:00,DPI/USD,143.62,143.62,143.62,143.62,0.0,0.0
1651543200000,2022-05-03 02:00:00,DPI/USD,142.97,143.62,142.97,143.62,1.017863,146.18548406
1651539600000,2022-05-03 01:00:00,DPI/USD,143.08,143.08,142.97,142.97,1.681731,240.43708107
1651536000000,2022-05-03 00:00:00,DPI/USD,144.07,144.07,143.08,143.08,0.674617,96.52420036000001
1651532400000,2022-05-02 23:00:00,DPI/USD,144.07,144.07,144.07,144.07,0.0,0.0
1651528800000,2022-05-02 22:00:00,DPI/USD,144.07,144.07,144.07,144.07,0.0,0.0
1651525200000,2022-05-02 21:00:00,DPI/USD,141.92,144.07,141.92,144.07,0.06906,9.9494742
1651521600000,2022-05-02 20:00:00,DPI/USD,141.92,141.92,141.92,141.92,0.0,0.0
1651518000000,2022-05-02 19:00:00,DPI/USD,139.49,141.92,139.49,141.92,0.81053,115.03041759999999
1651514400000,2022-05-02 18:00:00,DPI/USD,138.99,139.49,138.55,139.49,0.300626,41.934320740000004
1651510800000,2022-05-02 17:00:00,DPI/USD,143.07,143.07,138.97,138.99,1.149676,159.79346724
1651507200000,2022-05-02 16:00:00,DPI/USD,143.19,143.19,142.54,143.07,1.049721,150.18358346999997
1651503600000,2022-05-02 15:00:00,DPI/USD,143.62,143.86,143.19,143.19,0.273394,39.14728686
1651500000000,2022-05-02 14:00:00,DPI/USD,146.18,146.18,143.62,143.62,0.00286,0.41075320000000004
1651496400000,2022-05-02 13:00:00,DPI/USD,146.18,146.18,146.18,146.18,0.0,0.0
1651492800000,2022-05-02 12:00:00,DPI/USD,146.18,146.18,146.18,146.18,0.0,0.0
1651489200000,2022-05-02 11:00:00,DPI/USD,146.18,146.18,146.18,146.18,0.0,0.0
1651485600000,2022-05-02 10:00:00,DPI/USD,146.18,146.18,146.18,146.18,0.0,0.0
1651482000000,2022-05-02 09:00:00,DPI/USD,146.18,146.18,146.18,146.18,0.0,0.0
1651478400000,2022-05-02 08:00:00,DPI/USD,146.18,146.18,146.18,146.18,0.0,0.0
1651474800000,2022-05-02 07:00:00,DPI/USD,146.18,146.18,146.18,146.18,0.0,0.0
1651471200000,2022-05-02 06:00:00,DPI/USD,146.18,146.18,146.18,146.18,0.0,0.0
1651467600000,2022-05-02 05:00:00,DPI/USD,145.64,146.18,145.64,146.18,0.660291,96.52133838
1651464000000,2022-05-02 04:00:00,DPI/USD,145.64,145.64,145.64,145.64,0.0,0.0
1651460400000,2022-05-02 03:00:00,DPI/USD,144.88,145.64,144.88,145.64,3.028557,441.07904148
1651456800000,2022-05-02 02:00:00,DPI/USD,146.5,146.5,144.88,144.88,0.059473,8.616448239999999
1651453200000,2022-05-02 01:00:00,DPI/USD,147.51,147.51,146.5,146.5,1.060824,155.410716
1651449600000,2022-05-02 00:00:00,DPI/USD,146.15,147.51,146.15,147.51,0.27267,40.2215517
1651446000000,2022-05-01 23:00:00,DPI/USD,142.34,146.15,142.34,146.15,1.341207,196.01740305
1651442400000,2022-05-01 22:00:00,DPI/USD,142.34,142.34,142.34,142.34,0.0,0.0
1651438800000,2022-05-01 21:00:00,DPI/USD,142.75,142.75,142.34,142.34,0.36954,52.600323599999996
1651435200000,2022-05-01 20:00:00,DPI/USD,142.8,142.8,142.75,142.75,0.04182,5.969805
1651431600000,2022-05-01 19:00:00,DPI/USD,143.65,143.65,142.8,142.8,1.059155,151.24733400000002
1651428000000,2022-05-01 18:00:00,DPI/USD,147.28,147.28,143.65,143.65,1.36061,195.45162650000003
