https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ENS,Volume USD
1651622400000,2022-05-04 00:00:00,ENS/USD,21.984,21.999,21.475,21.475,196.454031,4218.850315725
1651618800000,2022-05-03 23:00:00,ENS/USD,22.13,22.194,21.846,21.984,1599.369055,35160.52930512
1651615200000,2022-05-03 22:00:00,ENS/USD,22.655,22.723,22.028,22.13,1349.966181,29874.751585529997
1651611600000,2022-05-03 21:00:00,ENS/USD,22.964,23.008,22.655,22.655,159.658823,3617.0706350650003
1651608000000,2022-05-03 20:00:00,ENS/USD,23.2,23.209,22.655,22.964,250.809649,5759.592779636
1651604400000,2022-05-03 19:00:00,ENS/USD,23.197,23.342,23.133,23.2,249.306203,5783.9039096
1651600800000,2022-05-03 18:00:00,ENS/USD,23.196,23.335,22.776,23.197,1216.493748,28219.005472356002
1651597200000,2022-05-03 17:00:00,ENS/USD,22.852,23.321,22.852,23.196,621.851664,14424.471198144001
1651593600000,2022-05-03 16:00:00,ENS/USD,23.513,23.999,22.772,22.852,1229.196687,28089.602691324002
1651590000000,2022-05-03 15:00:00,ENS/USD,25.13,25.13,23.512,23.513,462.081865,10864.930891745
1651586400000,2022-05-03 14:00:00,ENS/USD,26.049,26.214,24.956,25.13,616.203653,15485.19779989
1651582800000,2022-05-03 13:00:00,ENS/USD,25.82,26.288,25.541,26.049,292.591668,7621.720359732
1651579200000,2022-05-03 12:00:00,ENS/USD,25.511,26.074,25.149,25.82,559.984645,14458.8035339
1651575600000,2022-05-03 11:00:00,ENS/USD,25.13,25.511,25.13,25.511,55.519417,1416.3558470869998
1651572000000,2022-05-03 10:00:00,ENS/USD,25.13,25.256,24.956,25.13,29.921997,751.93978461
1651568400000,2022-05-03 09:00:00,ENS/USD,25.431,25.431,24.778,25.13,110.573748,2778.71828724
1651564800000,2022-05-03 08:00:00,ENS/USD,25.556,25.648,25.221,25.431,23.843567,606.365752377
1651561200000,2022-05-03 07:00:00,ENS/USD,25.109,25.95,24.795,25.556,354.383247,9056.618260332
1651557600000,2022-05-03 06:00:00,ENS/USD,24.784,25.13,24.597,25.109,221.974552,5573.559026168
1651554000000,2022-05-03 05:00:00,ENS/USD,24.79,25.004,24.632,24.784,179.533155,4449.549713519999
1651550400000,2022-05-03 04:00:00,ENS/USD,25.081,25.081,24.549,24.79,332.824054,8250.70829866
1651546800000,2022-05-03 03:00:00,ENS/USD,25.281,25.686,25.081,25.081,575.818411,14442.101566291
1651543200000,2022-05-03 02:00:00,ENS/USD,25.33,25.497,24.783,25.281,425.547399,10758.263794118999
1651539600000,2022-05-03 01:00:00,ENS/USD,26.078,27.416,25.075,25.33,5531.809612,140120.73747196
1651536000000,2022-05-03 00:00:00,ENS/USD,26.045,26.214,25.589,26.078,71.343973,1860.5081278940002
1651532400000,2022-05-02 23:00:00,ENS/USD,26.316,26.391,25.631,26.045,180.903544,4711.632803480001
1651528800000,2022-05-02 22:00:00,ENS/USD,26.288,26.71,25.976,26.316,199.670384,5254.525825344
1651525200000,2022-05-02 21:00:00,ENS/USD,25.798,26.602,25.56,26.288,1488.31158,39124.73481504
1651521600000,2022-05-02 20:00:00,ENS/USD,24.682,26.891,24.682,25.798,552.61065,14256.249548699998
1651518000000,2022-05-02 19:00:00,ENS/USD,23.102,25.119,23.102,24.682,422.968022,10439.696719004
1651514400000,2022-05-02 18:00:00,ENS/USD,23.171,23.225,22.92,23.102,160.352684,3704.467705768
1651510800000,2022-05-02 17:00:00,ENS/USD,22.964,23.523,22.964,23.171,273.109264,6328.214756144
1651507200000,2022-05-02 16:00:00,ENS/USD,22.785,23.271,22.578,22.964,215.55438,4949.99078232
1651503600000,2022-05-02 15:00:00,ENS/USD,23.542,23.589,22.751,22.785,197.149787,4492.0578967950005
1651500000000,2022-05-02 14:00:00,ENS/USD,24.067,24.139,23.542,23.542,513.458463,12087.839135946002
1651496400000,2022-05-02 13:00:00,ENS/USD,23.322,24.386,23.322,24.067,5970.687755,143696.542199585
1651492800000,2022-05-02 12:00:00,ENS/USD,23.099,23.852,22.99,23.322,5230.379742,121982.916342924
1651489200000,2022-05-02 11:00:00,ENS/USD,24.817,24.817,23.099,23.099,410.517909,9482.553179990999
1651485600000,2022-05-02 10:00:00,ENS/USD,24.143,25.061,24.143,24.817,158.576078,3935.382527726
1651482000000,2022-05-02 09:00:00,ENS/USD,24.034,24.509,23.976,24.143,33.262472,803.055861496
1651478400000,2022-05-02 08:00:00,ENS/USD,23.976,24.233,23.714,24.034,54.736473,1315.5363920819998
1651474800000,2022-05-02 07:00:00,ENS/USD,24.217,25.256,23.976,23.976,186.565012,4473.082727712
1651471200000,2022-05-02 06:00:00,ENS/USD,23.976,24.509,23.698,24.217,498.429598,12070.469574765999
1651467600000,2022-05-02 05:00:00,ENS/USD,24.067,24.143,23.5,23.976,458.0329,10981.7968104
1651464000000,2022-05-02 04:00:00,ENS/USD,23.919,24.067,23.5,24.067,97.359671,2343.1552019570004
