https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FRAX,Volume USD
1651622400000,2022-05-04 00:00:00,FRAX/USD,0,0,0,0,0,0
1651618800000,2022-05-03 23:00:00,FRAX/USD,0,0,0,0,0,0
1651615200000,2022-05-03 22:00:00,FRAX/USD,0,0,0,0,0,0
1651611600000,2022-05-03 21:00:00,FRAX/USD,0,0,0,0,0,0
1651608000000,2022-05-03 20:00:00,FRAX/USD,0,0,0,0,0,0
1651604400000,2022-05-03 19:00:00,FRAX/USD,0,0,0,0,0,0
1651600800000,2022-05-03 18:00:00,FRAX/USD,0,0,0,0,0,0
1651597200000,2022-05-03 17:00:00,FRAX/USD,0,0,0,0,0,0
1651593600000,2022-05-03 16:00:00,FRAX/USD,0,0,0,0,0,0
1651590000000,2022-05-03 15:00:00,FRAX/USD,0,0,0,0,0,0
1651586400000,2022-05-03 14:00:00,FRAX/USD,0,0,0,0,0,0
1651582800000,2022-05-03 13:00:00,FRAX/USD,0,0,0,0,0,0
1651579200000,2022-05-03 12:00:00,FRAX/USD,0,0,0,0,0,0
1651575600000,2022-05-03 11:00:00,FRAX/USD,0,0,0,0,0,0
1651572000000,2022-05-03 10:00:00,FRAX/USD,0,0,0,0,0,0
1651568400000,2022-05-03 09:00:00,FRAX/USD,0,0,0,0,0,0
1651564800000,2022-05-03 08:00:00,FRAX/USD,0,0,0,0,0,0
1651561200000,2022-05-03 07:00:00,FRAX/USD,0,0,0,0,0,0
1651557600000,2022-05-03 06:00:00,FRAX/USD,0,0,0,0,0,0
1651554000000,2022-05-03 05:00:00,FRAX/USD,0,0,0,0,0,0
1651550400000,2022-05-03 04:00:00,FRAX/USD,0,0,0,0,0,0
1651546800000,2022-05-03 03:00:00,FRAX/USD,0,0,0,0,0,0
1651543200000,2022-05-03 02:00:00,FRAX/USD,0,0,0,0,0,0
1651539600000,2022-05-03 01:00:00,FRAX/USD,0,0,0,0,0,0
1651536000000,2022-05-03 00:00:00,FRAX/USD,0,0,0,0,0,0
1651532400000,2022-05-02 23:00:00,FRAX/USD,0,0,0,0,0,0
1651528800000,2022-05-02 22:00:00,FRAX/USD,0,0,0,0,0,0
1651525200000,2022-05-02 21:00:00,FRAX/USD,0,0,0,0,0,0
1651521600000,2022-05-02 20:00:00,FRAX/USD,0,0,0,0,0,0
1651518000000,2022-05-02 19:00:00,FRAX/USD,0,0,0,0,0,0
1651514400000,2022-05-02 18:00:00,FRAX/USD,0,0,0,0,0,0
1651510800000,2022-05-02 17:00:00,FRAX/USD,0,0,0,0,0,0
1651507200000,2022-05-02 16:00:00,FRAX/USD,0,0,0,0,0,0
1651503600000,2022-05-02 15:00:00,FRAX/USD,0,0,0,0,0,0
1651500000000,2022-05-02 14:00:00,FRAX/USD,0,0,0,0,0,0
1651496400000,2022-05-02 13:00:00,FRAX/USD,0,0,0,0,0,0
1651492800000,2022-05-02 12:00:00,FRAX/USD,0,0,0,0,0,0
1651489200000,2022-05-02 11:00:00,FRAX/USD,0,0,0,0,0,0
1651485600000,2022-05-02 10:00:00,FRAX/USD,0,0,0,0,0,0
1651482000000,2022-05-02 09:00:00,FRAX/USD,0,0,0,0,0,0
1651478400000,2022-05-02 08:00:00,FRAX/USD,0,0,0,0,0,0
1651474800000,2022-05-02 07:00:00,FRAX/USD,0,0,0,0,0,0
1651471200000,2022-05-02 06:00:00,FRAX/USD,0,0,0,0,0,0
1651467600000,2022-05-02 05:00:00,FRAX/USD,0,0,0,0,0,0
1651464000000,2022-05-02 04:00:00,FRAX/USD,0,0,0,0,0,0
1651460400000,2022-05-02 03:00:00,FRAX/USD,0,0,0,0,0,0
1651456800000,2022-05-02 02:00:00,FRAX/USD,0,0,0,0,0,0
1651453200000,2022-05-02 01:00:00,FRAX/USD,0,0,0,0,0,0
1651449600000,2022-05-02 00:00:00,FRAX/USD,0,0,0,0,0,0
1651446000000,2022-05-01 23:00:00,FRAX/USD,0,0,0,0,0,0
1651442400000,2022-05-01 22:00:00,FRAX/USD,0,0,0,0,0,0
1651438800000,2022-05-01 21:00:00,FRAX/USD,0,0,0,0,0,0
1651435200000,2022-05-01 20:00:00,FRAX/USD,0,0,0,0,0,0
1651431600000,2022-05-01 19:00:00,FRAX/USD,0,0,0,0,0,0
1651428000000,2022-05-01 18:00:00,FRAX/USD,0,0,0,0,0,0
1651424400000,2022-05-01 17:00:00,FRAX/USD,0,0,0,0,0,0
1651420800000,2022-05-01 16:00:00,FRAX/USD,0,0,0,0,0,0
1651417200000,2022-05-01 15:00:00,FRAX/USD,0,0,0,0,0,0
1651413600000,2022-05-01 14:00:00,FRAX/USD,0,0,0,0,0,0
1651410000000,2022-05-01 13:00:00,FRAX/USD,0,0,0,0,0,0
1651406400000,2022-05-01 12:00:00,FRAX/USD,0,0,0,0,0,0
1651402800000,2022-05-01 11:00:00,FRAX/USD,0,0,0,0,0,0
1651399200000,2022-05-01 10:00:00,FRAX/USD,0,0,0,0,0,0
1651395600000,2022-05-01 09:00:00,FRAX/USD,0,0,0,0,0,0
1651392000000,2022-05-01 08:00:00,FRAX/USD,0,0,0,0,0,0
1651388400000,2022-05-01 07:00:00,FRAX/USD,0,0,0,0,0,0
1651384800000,2022-05-01 06:00:00,FRAX/USD,0,0,0,0,0,0
1651381200000,2022-05-01 05:00:00,FRAX/USD,0,0,0,0,0,0
1651377600000,2022-05-01 04:00:00,FRAX/USD,0,0,0,0,0,0
1651374000000,2022-05-01 03:00:00,FRAX/USD,0,0,0,0,0,0
1651370400000,2022-05-01 02:00:00,FRAX/USD,0,0,0,0,0,0
1651366800000,2022-05-01 01:00:00,FRAX/USD,0,0,0,0,0,0
1651363200000,2022-05-01 00:00:00,FRAX/USD,0,0,0,0,0,0
1651359600000,2022-04-30 23:00:00,FRAX/USD,0,0,0,0,0,0
1651356000000,2022-04-30 22:00:00,FRAX/USD,0,0,0,0,0,0
1651352400000,2022-04-30 21:00:00,FRAX/USD,0,0,0,0,0,0
1651348800000,2022-04-30 20:00:00,FRAX/USD,0,0,0,0,0,0
1651345200000,2022-04-30 19:00:00,FRAX/USD,0,0,0,0,0,0
