https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MPL,Volume USD
1651622400000,2022-05-04 00:00:00,MPL/USD,47.545,47.545,47.426,47.515,7.158777,340.14928915499996
1651618800000,2022-05-03 23:00:00,MPL/USD,48.393,48.393,47.545,47.545,9.533618,453.27586781
1651615200000,2022-05-03 22:00:00,MPL/USD,48.393,48.393,48.393,48.393,0.0,0.0
1651611600000,2022-05-03 21:00:00,MPL/USD,48.406,48.406,48.044,48.393,14.730134,712.8353746619999
1651608000000,2022-05-03 20:00:00,MPL/USD,49.315,49.315,48.406,48.406,57.998741,2807.487056846
1651604400000,2022-05-03 19:00:00,MPL/USD,49.741,49.741,48.919,49.315,68.948454,3400.19300901
1651600800000,2022-05-03 18:00:00,MPL/USD,49.492,49.741,49.492,49.741,10.004176,497.61771841599995
1651597200000,2022-05-03 17:00:00,MPL/USD,49.7,49.788,49.465,49.492,129.929054,6430.448740568
1651593600000,2022-05-03 16:00:00,MPL/USD,50.058,50.058,49.634,49.7,90.153605,4480.6341685
1651590000000,2022-05-03 15:00:00,MPL/USD,50.058,50.058,50.058,50.058,0.0,0.0
1651586400000,2022-05-03 14:00:00,MPL/USD,49.889,50.335,49.758,50.058,98.742572,4942.8556691759995
1651582800000,2022-05-03 13:00:00,MPL/USD,49.815,49.889,49.815,49.889,2.855893,142.47764587700001
1651579200000,2022-05-03 12:00:00,MPL/USD,49.815,49.815,49.815,49.815,0.0,0.0
1651575600000,2022-05-03 11:00:00,MPL/USD,50.531,50.531,49.815,49.815,2.005596,99.90876474000001
1651572000000,2022-05-03 10:00:00,MPL/USD,49.929,50.531,49.929,50.531,0.177418,8.965108958
1651568400000,2022-05-03 09:00:00,MPL/USD,49.929,49.929,49.929,49.929,0.0,0.0
1651564800000,2022-05-03 08:00:00,MPL/USD,49.929,49.929,49.929,49.929,0.0,0.0
1651561200000,2022-05-03 07:00:00,MPL/USD,49.426,49.929,49.426,49.929,0.079913,3.989976177
1651557600000,2022-05-03 06:00:00,MPL/USD,49.426,49.426,49.426,49.426,0.0,0.0
1651554000000,2022-05-03 05:00:00,MPL/USD,49.2,49.426,49.2,49.426,0.09,4.44834
1651550400000,2022-05-03 04:00:00,MPL/USD,49.2,49.2,49.2,49.2,0.0,0.0
1651546800000,2022-05-03 03:00:00,MPL/USD,49.2,49.2,49.2,49.2,0.0,0.0
