unix,date,symbol,open,high,low,close,Volume AXS,Volume USD,just_date
1651273200000,2022-04-29 23:00:00,AXS/USD,34.17,34.55,34.15,34.39,33.418022,1149.24577658,2022-04-29
1651269600000,2022-04-29 22:00:00,AXS/USD,34.09,34.2,33.74,34.17,57.314991,1958.45324247,2022-04-29
1651266000000,2022-04-29 21:00:00,AXS/USD,33.9,34.24,33.83,34.09,245.29219,8362.0107571,2022-04-29
1651262400000,2022-04-29 20:00:00,AXS/USD,33.66,33.95,33.66,33.9,501.133028,16988.4096492,2022-04-29
1651258800000,2022-04-29 19:00:00,AXS/USD,34.25,34.3,33.45,33.66,125.989092,4240.792836719999,2022-04-29
1651255200000,2022-04-29 18:00:00,AXS/USD,34.55,34.61,33.96,34.25,127.534457,4368.05515225,2022-04-29
1651251600000,2022-04-29 17:00:00,AXS/USD,34.22,34.67,34.2,34.55,129.792981,4484.34749355,2022-04-29
1651248000000,2022-04-29 16:00:00,AXS/USD,35.08,35.19,34.14,34.22,1078.153103,36894.39918466,2022-04-29
1651244400000,2022-04-29 15:00:00,AXS/USD,35.01,35.26,34.73,35.08,109.210378,3831.10006024,2022-04-29
1651240800000,2022-04-29 14:00:00,AXS/USD,35.61,35.61,34.89,35.01,1578.002872,55245.88054872,2022-04-29
1651237200000,2022-04-29 13:00:00,AXS/USD,35.58,35.69,35.28,35.61,3224.609199,114828.33357639,2022-04-29
1651233600000,2022-04-29 12:00:00,AXS/USD,35.55,35.81,35.34,35.58,23.995851,853.7723785799999,2022-04-29
1651230000000,2022-04-29 11:00:00,AXS/USD,35.66,35.77,35.28,35.55,43.871049,1559.61579195,2022-04-29
1651226400000,2022-04-29 10:00:00,AXS/USD,36.35,36.4,35.35,35.66,47.547817,1695.5551542199998,2022-04-29
1651222800000,2022-04-29 09:00:00,AXS/USD,36.68,36.68,36.3,36.35,271.904845,9883.74111575,2022-04-29
1651219200000,2022-04-29 08:00:00,AXS/USD,37.19,37.26,36.68,36.68,42.275514,1550.66585352,2022-04-29
1651215600000,2022-04-29 07:00:00,AXS/USD,36.98,37.22,36.95,37.19,15.915557,591.8995648299999,2022-04-29
1651212000000,2022-04-29 06:00:00,AXS/USD,36.92,37.1,36.78,36.98,53.012316,1960.39544568,2022-04-29
1651208400000,2022-04-29 05:00:00,AXS/USD,37.14,37.24,36.83,36.92,84.667204,3125.91317168,2022-04-29
1651204800000,2022-04-29 04:00:00,AXS/USD,37.21,37.21,36.78,37.14,52.516326,1950.45634764,2022-04-29
1651201200000,2022-04-29 03:00:00,AXS/USD,37.11,37.35,36.97,37.21,177.804509,6616.10577989,2022-04-29
1651197600000,2022-04-29 02:00:00,AXS/USD,38.34,38.38,37.11,37.11,78.202681,2902.10149191,2022-04-29
1651194000000,2022-04-29 01:00:00,AXS/USD,38.15,38.65,38.06,38.34,34.928606,1339.1627540400002,2022-04-29
1651190400000,2022-04-29 00:00:00,AXS/USD,38.11,38.26,38.0,38.15,61.558697,2348.46429055,2022-04-29
