unix,date,symbol,open,high,low,close,Volume ETH,Volume USD,just_date
1651273200000,2022-04-29 23:00:00,ETH/USD,2819.9,2823.28,2809.98,2816.69,90.042742,253622.49096398,2022-04-29
1651269600000,2022-04-29 22:00:00,ETH/USD,2808.06,2821.99,2795.99,2819.9,231.795371,653639.7666829,2022-04-29
1651266000000,2022-04-29 21:00:00,ETH/USD,2807.04,2820.0,2800.69,2808.06,508.395668,1427605.53948408,2022-04-29
1651262400000,2022-04-29 20:00:00,ETH/USD,2792.71,2813.74,2789.33,2807.04,490.321647,1376352.4759948798,2022-04-29
1651258800000,2022-04-29 19:00:00,ETH/USD,2814.09,2820.17,2775.24,2792.71,2124.833261,5934043.09632731,2022-04-29
1651255200000,2022-04-29 18:00:00,ETH/USD,2823.63,2828.86,2800.13,2814.09,271.916043,765196.21744587,2022-04-29
1651251600000,2022-04-29 17:00:00,ETH/USD,2814.23,2837.0,2805.0,2823.63,564.981448,1595298.56601624,2022-04-29
1651248000000,2022-04-29 16:00:00,ETH/USD,2856.27,2857.3,2808.24,2814.23,922.603462,2596418.34086426,2022-04-29
1651244400000,2022-04-29 15:00:00,ETH/USD,2858.44,2866.25,2842.0,2856.27,655.713584,1872895.03857168,2022-04-29
1651240800000,2022-04-29 14:00:00,ETH/USD,2878.51,2884.67,2843.05,2858.44,1392.134162,3979331.97402728,2022-04-29
1651237200000,2022-04-29 13:00:00,ETH/USD,2858.85,2884.61,2844.04,2878.51,586.833049,1689204.79987699,2022-04-29
1651233600000,2022-04-29 12:00:00,ETH/USD,2841.93,2873.93,2832.49,2858.85,402.983552,1152069.5276352,2022-04-29
1651230000000,2022-04-29 11:00:00,ETH/USD,2861.61,2867.22,2834.16,2841.93,263.165051,747896.65338843,2022-04-29
1651226400000,2022-04-29 10:00:00,ETH/USD,2879.24,2889.17,2852.52,2861.61,88.497375,253244.97327375,2022-04-29
1651222800000,2022-04-29 09:00:00,ETH/USD,2905.24,2905.24,2873.63,2879.24,1011.99446,2913774.9290104,2022-04-29
1651219200000,2022-04-29 08:00:00,ETH/USD,2924.95,2926.65,2902.44,2905.24,751.378456,2182934.74550944,2022-04-29
1651215600000,2022-04-29 07:00:00,ETH/USD,2920.05,2929.03,2915.0,2924.95,229.153802,670263.4131599,2022-04-29
1651212000000,2022-04-29 06:00:00,ETH/USD,2920.17,2927.12,2907.2,2920.05,118.433126,345830.6495763,2022-04-29
1651208400000,2022-04-29 05:00:00,ETH/USD,2917.97,2935.0,2917.93,2920.17,156.869648,458086.0400001601,2022-04-29
1651204800000,2022-04-29 04:00:00,ETH/USD,2924.27,2926.03,2908.15,2917.97,129.650052,378314.9622344399,2022-04-29
1651201200000,2022-04-29 03:00:00,ETH/USD,2910.75,2926.92,2903.57,2924.27,171.56678,501707.5877506,2022-04-29
1651197600000,2022-04-29 02:00:00,ETH/USD,2930.72,2935.43,2905.37,2910.75,531.664307,1547541.88160025,2022-04-29
1651194000000,2022-04-29 01:00:00,ETH/USD,2942.95,2943.59,2926.41,2930.72,138.751188,406640.88169536,2022-04-29
1651190400000,2022-04-29 00:00:00,ETH/USD,2936.38,2945.87,2925.32,2942.95,233.051433,685858.71474735,2022-04-29
