unix,date,symbol,open,high,low,close,Volume FXS,Volume USD,just_date
1651273200000,2022-04-29 23:00:00,FXS/USD,27.378,27.378,27.378,27.378,0.0,0.0,2022-04-29
1651269600000,2022-04-29 22:00:00,FXS/USD,27.378,27.378,27.378,27.378,0.0,0.0,2022-04-29
1651266000000,2022-04-29 21:00:00,FXS/USD,27.378,27.378,27.378,27.378,0.0,0.0,2022-04-29
1651262400000,2022-04-29 20:00:00,FXS/USD,27.378,27.378,27.378,27.378,0.0,0.0,2022-04-29
1651258800000,2022-04-29 19:00:00,FXS/USD,27.378,27.378,27.378,27.378,0.0,0.0,2022-04-29
1651255200000,2022-04-29 18:00:00,FXS/USD,27.378,27.378,27.378,27.378,0.0,0.0,2022-04-29
1651251600000,2022-04-29 17:00:00,FXS/USD,27.378,27.378,27.378,27.378,0.0,0.0,2022-04-29
1651248000000,2022-04-29 16:00:00,FXS/USD,27.378,27.378,27.378,27.378,0.0,0.0,2022-04-29
1651244400000,2022-04-29 15:00:00,FXS/USD,27.378,27.378,27.378,27.378,0.0,0.0,2022-04-29
1651240800000,2022-04-29 14:00:00,FXS/USD,27.0,27.378,27.0,27.378,0.015033,0.411573474,2022-04-29
1651237200000,2022-04-29 13:00:00,FXS/USD,27.0,27.0,27.0,27.0,0.0,0.0,2022-04-29
1651233600000,2022-04-29 12:00:00,FXS/USD,27.0,27.0,27.0,27.0,0.0,0.0,2022-04-29
1651230000000,2022-04-29 11:00:00,FXS/USD,27.0,27.0,27.0,27.0,0.0,0.0,2022-04-29
1651226400000,2022-04-29 10:00:00,FXS/USD,27.0,27.0,27.0,27.0,0.0,0.0,2022-04-29
1651222800000,2022-04-29 09:00:00,FXS/USD,27.0,27.0,27.0,27.0,0.0,0.0,2022-04-29
1651219200000,2022-04-29 08:00:00,FXS/USD,27.0,27.0,27.0,27.0,0.0,0.0,2022-04-29
1651215600000,2022-04-29 07:00:00,FXS/USD,27.0,27.0,27.0,27.0,0.0,0.0,2022-04-29
1651212000000,2022-04-29 06:00:00,FXS/USD,27.0,27.0,27.0,27.0,0.0,0.0,2022-04-29
1651208400000,2022-04-29 05:00:00,FXS/USD,27.0,27.0,27.0,27.0,0.0,0.0,2022-04-29
1651204800000,2022-04-29 04:00:00,FXS/USD,27.0,27.0,27.0,27.0,0.0,0.0,2022-04-29
1651201200000,2022-04-29 03:00:00,FXS/USD,27.0,27.0,27.0,27.0,0.0,0.0,2022-04-29
1651197600000,2022-04-29 02:00:00,FXS/USD,27.0,27.0,27.0,27.0,0.0,0.0,2022-04-29
1651194000000,2022-04-29 01:00:00,FXS/USD,27.0,27.0,27.0,27.0,0.0,0.0,2022-04-29
1651190400000,2022-04-29 00:00:00,FXS/USD,27.0,27.0,27.0,27.0,0.0,0.0,2022-04-29
