unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD,just_date
1651532400000,2022-05-02 23:00:00,AAVE/USD,144.1403,145.6519,143.478,143.9022,144.431383,20783.9937627426,2022-05-02
1651528800000,2022-05-02 22:00:00,AAVE/USD,146.0405,146.6893,143.838,144.1403,14.219957,2049.6688679671,2022-05-02
1651525200000,2022-05-02 21:00:00,AAVE/USD,143.5381,146.4377,143.521,146.0405,250.714365,36614.4512217825,2022-05-02
1651521600000,2022-05-02 20:00:00,AAVE/USD,144.3977,145.759,143.3188,143.5381,40.328335,5788.6525820635,2022-05-02
1651518000000,2022-05-02 19:00:00,AAVE/USD,141.8939,144.6051,141.8939,144.3977,19.032786,2748.2905229922,2022-05-02
1651514400000,2022-05-02 18:00:00,AAVE/USD,139.4008,142.2754,139.2733,141.8939,53.778336,7630.817830550401,2022-05-02
1651510800000,2022-05-02 17:00:00,AAVE/USD,142.2754,142.2754,139.083,139.4008,285.341463,39776.8282153704,2022-05-02
1651507200000,2022-05-02 16:00:00,AAVE/USD,144.5009,144.918,142.2754,142.2754,322.598816,45897.8755859264,2022-05-02
1651503600000,2022-05-02 15:00:00,AAVE/USD,145.023,146.1101,143.8355,144.5009,12.841437,1855.5992037933,2022-05-02
1651500000000,2022-05-02 14:00:00,AAVE/USD,145.0634,146.2612,143.1167,145.023,52.842308,7663.350033084001,2022-05-02
1651496400000,2022-05-02 13:00:00,AAVE/USD,142.0162,145.486,140.9819,145.0634,79.313893,11505.5429858162,2022-05-02
1651492800000,2022-05-02 12:00:00,AAVE/USD,140.9342,143.1543,140.7096,142.0162,6.183833,878.2044640946,2022-05-02
1651489200000,2022-05-02 11:00:00,AAVE/USD,143.0858,143.1433,140.7624,140.9342,36.642337,5164.158451225399,2022-05-02
1651485600000,2022-05-02 10:00:00,AAVE/USD,143.664,144.7644,142.5604,143.0858,3.172925,454.000511965,2022-05-02
1651482000000,2022-05-02 09:00:00,AAVE/USD,144.041,145.6597,143.4765,143.664,15.246071,2190.311544144,2022-05-02
1651478400000,2022-05-02 08:00:00,AAVE/USD,146.0136,146.0136,143.7362,144.041,29.578621,4260.534147461,2022-05-02
1651474800000,2022-05-02 07:00:00,AAVE/USD,148.2478,148.3262,146.0136,146.0136,62.765546,9164.6233274256,2022-05-02
1651471200000,2022-05-02 06:00:00,AAVE/USD,147.6889,148.74,147.3022,148.2478,8.890018,1317.9256104604,2022-05-02
1651467600000,2022-05-02 05:00:00,AAVE/USD,147.5166,147.7741,146.3026,147.6889,15.993291,2362.0315551698995,2022-05-02
1651464000000,2022-05-02 04:00:00,AAVE/USD,146.4848,147.7154,145.4128,147.5166,236.792491,34930.8231778506,2022-05-02
1651460400000,2022-05-02 03:00:00,AAVE/USD,145.8195,146.663,145.8195,146.4848,3.750019,549.3207832112,2022-05-02
1651456800000,2022-05-02 02:00:00,AAVE/USD,145.6059,145.85,144.9406,145.8195,3.678871,536.4511297845,2022-05-02
1651453200000,2022-05-02 01:00:00,AAVE/USD,147.5694,147.6922,145.6059,145.6059,5.941439,865.1085728900999,2022-05-02
1651449600000,2022-05-02 00:00:00,AAVE/USD,146.5178,148.5087,146.4199,147.5694,20.898998,3084.0525954612,2022-05-02
