unix,date,symbol,open,high,low,close,Volume ALCX,Volume USD,just_date
1651532400000,2022-05-02 23:00:00,ALCX/USD,64.36,64.36,63.49,63.72,14.74711,939.6858492,2022-05-02
1651528800000,2022-05-02 22:00:00,ALCX/USD,64.21,64.36,64.04,64.36,5.606899,360.86001964,2022-05-02
1651525200000,2022-05-02 21:00:00,ALCX/USD,63.6,64.21,63.39,64.21,25.791521,1656.07356341,2022-05-02
1651521600000,2022-05-02 20:00:00,ALCX/USD,63.81,63.87,63.33,63.6,26.019966,1654.8698376,2022-05-02
1651518000000,2022-05-02 19:00:00,ALCX/USD,63.26,63.87,63.22,63.81,86.407823,5513.68318563,2022-05-02
1651514400000,2022-05-02 18:00:00,ALCX/USD,63.17,63.82,62.93,63.26,104.15677,6588.9572702,2022-05-02
1651510800000,2022-05-02 17:00:00,ALCX/USD,63.82,63.82,63.12,63.17,45.745049,2889.7147453300004,2022-05-02
1651507200000,2022-05-02 16:00:00,ALCX/USD,64.0,64.33,63.82,63.82,46.727957,2982.1782157400003,2022-05-02
1651503600000,2022-05-02 15:00:00,ALCX/USD,63.94,64.33,63.74,64.0,16.087347,1029.590208,2022-05-02
1651500000000,2022-05-02 14:00:00,ALCX/USD,64.02,64.23,63.31,63.94,31.985957,2045.18209058,2022-05-02
1651496400000,2022-05-02 13:00:00,ALCX/USD,64.32,64.32,63.21,64.02,161.711841,10352.792060819998,2022-05-02
1651492800000,2022-05-02 12:00:00,ALCX/USD,64.11,64.65,64.0,64.32,45.637491,2935.40342112,2022-05-02
1651489200000,2022-05-02 11:00:00,ALCX/USD,64.49,64.57,63.98,64.11,85.210298,5462.832204779999,2022-05-02
1651485600000,2022-05-02 10:00:00,ALCX/USD,64.72,64.72,64.47,64.49,23.347358,1505.67111742,2022-05-02
1651482000000,2022-05-02 09:00:00,ALCX/USD,64.56,65.02,64.56,64.72,22.293718,1442.8494289599998,2022-05-02
1651478400000,2022-05-02 08:00:00,ALCX/USD,64.64,64.95,64.53,64.56,5.568629,359.51068824,2022-05-02
1651474800000,2022-05-02 07:00:00,ALCX/USD,64.71,64.81,64.61,64.64,0.045024,2.91035136,2022-05-02
1651471200000,2022-05-02 06:00:00,ALCX/USD,64.81,65.04,64.66,64.71,2.134421,138.11838291,2022-05-02
1651467600000,2022-05-02 05:00:00,ALCX/USD,65.13,65.17,64.68,64.81,21.322859,1381.93449179,2022-05-02
1651464000000,2022-05-02 04:00:00,ALCX/USD,64.59,65.13,64.54,65.13,13.296154,865.9785100199999,2022-05-02
1651460400000,2022-05-02 03:00:00,ALCX/USD,64.61,64.81,64.47,64.59,46.165484,2981.82861156,2022-05-02
1651456800000,2022-05-02 02:00:00,ALCX/USD,64.6,64.8,64.39,64.61,11.499334,742.97196974,2022-05-02
1651453200000,2022-05-02 01:00:00,ALCX/USD,65.15,65.71,64.6,64.6,48.74319,3148.8100739999995,2022-05-02
1651449600000,2022-05-02 00:00:00,ALCX/USD,64.56,65.44,64.39,65.15,40.209268,2619.6338102000004,2022-05-02
