unix,date,symbol,open,high,low,close,Volume ASH,Volume USD,just_date
1651532400000,2022-05-02 23:00:00,ASH/USD,5.09,5.09,5.09,5.09,0.0,0.0,2022-05-02
1651528800000,2022-05-02 22:00:00,ASH/USD,5.09,5.09,5.09,5.09,0.0,0.0,2022-05-02
1651525200000,2022-05-02 21:00:00,ASH/USD,5.09,5.09,5.09,5.09,0.0,0.0,2022-05-02
1651521600000,2022-05-02 20:00:00,ASH/USD,5.09,5.09,5.09,5.09,0.0,0.0,2022-05-02
1651518000000,2022-05-02 19:00:00,ASH/USD,5.09,5.09,5.09,5.09,0.011249,0.05725741,2022-05-02
1651514400000,2022-05-02 18:00:00,ASH/USD,5.09,5.09,5.09,5.09,0.030171,0.15357039,2022-05-02
1651510800000,2022-05-02 17:00:00,ASH/USD,5.1,5.1,5.09,5.09,0.040825,0.20779925,2022-05-02
1651507200000,2022-05-02 16:00:00,ASH/USD,5.62,5.62,5.1,5.1,2.795668,14.2579068,2022-05-02
1651503600000,2022-05-02 15:00:00,ASH/USD,5.62,5.648,5.62,5.62,0.073268,0.41176616,2022-05-02
1651500000000,2022-05-02 14:00:00,ASH/USD,5.554,5.62,5.554,5.62,0.073268,0.41176616,2022-05-02
1651496400000,2022-05-02 13:00:00,ASH/USD,5.666,5.666,5.554,5.554,0.242699,1.347950246,2022-05-02
1651492800000,2022-05-02 12:00:00,ASH/USD,5.666,5.666,5.666,5.666,0.0,0.0,2022-05-02
1651489200000,2022-05-02 11:00:00,ASH/USD,5.666,5.666,5.666,5.666,0.0,0.0,2022-05-02
1651485600000,2022-05-02 10:00:00,ASH/USD,5.666,5.666,5.666,5.666,0.0,0.0,2022-05-02
1651482000000,2022-05-02 09:00:00,ASH/USD,5.666,5.666,5.666,5.666,0.0,0.0,2022-05-02
1651478400000,2022-05-02 08:00:00,ASH/USD,5.839,5.839,5.61,5.666,0.999036,5.6605379760000005,2022-05-02
1651474800000,2022-05-02 07:00:00,ASH/USD,5.839,5.839,5.839,5.839,0.0,0.0,2022-05-02
1651471200000,2022-05-02 06:00:00,ASH/USD,5.839,5.839,5.839,5.839,0.0,0.0,2022-05-02
1651467600000,2022-05-02 05:00:00,ASH/USD,5.839,5.839,5.839,5.839,0.0,0.0,2022-05-02
1651464000000,2022-05-02 04:00:00,ASH/USD,5.839,5.839,5.839,5.839,0.0,0.0,2022-05-02
1651460400000,2022-05-02 03:00:00,ASH/USD,5.839,5.839,5.839,5.839,0.0,0.0,2022-05-02
1651456800000,2022-05-02 02:00:00,ASH/USD,5.839,5.839,5.839,5.839,0.0,0.0,2022-05-02
1651453200000,2022-05-02 01:00:00,ASH/USD,5.839,5.839,5.839,5.839,0.0,0.0,2022-05-02
1651449600000,2022-05-02 00:00:00,ASH/USD,5.839,5.839,5.839,5.839,7.033148,41.066551172,2022-05-02
