unix,date,symbol,open,high,low,close,Volume API3,Volume USD,just_date
1651618800000,2022-05-03 23:00:00,API3/USD,3.366,3.399,3.345,3.399,767.537473,2608.859870727,2022-05-03
1651615200000,2022-05-03 22:00:00,API3/USD,3.381,3.392,3.364,3.366,78.052649,262.725216534,2022-05-03
1651611600000,2022-05-03 21:00:00,API3/USD,3.337,3.399,3.329,3.381,190.272909,643.312705329,2022-05-03
1651608000000,2022-05-03 20:00:00,API3/USD,3.327,3.337,3.289,3.337,725.752014,2421.8344707180004,2022-05-03
1651604400000,2022-05-03 19:00:00,API3/USD,3.404,3.425,3.311,3.327,4022.438353,13382.652400431,2022-05-03
1651600800000,2022-05-03 18:00:00,API3/USD,3.458,3.458,3.383,3.404,124.079713,422.367343052,2022-05-03
1651597200000,2022-05-03 17:00:00,API3/USD,3.462,3.51,3.45,3.458,597.596665,2066.4892675700003,2022-05-03
1651593600000,2022-05-03 16:00:00,API3/USD,3.403,3.511,3.371,3.462,498.869698,1727.0868944760002,2022-05-03
1651590000000,2022-05-03 15:00:00,API3/USD,3.414,3.436,3.381,3.403,255.029737,867.8661950110001,2022-05-03
1651586400000,2022-05-03 14:00:00,API3/USD,3.428,3.44,3.407,3.414,3389.8036,11572.7894904,2022-05-03
1651582800000,2022-05-03 13:00:00,API3/USD,3.55,3.55,3.393,3.428,728.255013,2496.458184564,2022-05-03
1651579200000,2022-05-03 12:00:00,API3/USD,3.576,3.587,3.535,3.55,86.950147,308.67302185,2022-05-03
1651575600000,2022-05-03 11:00:00,API3/USD,3.481,3.577,3.478,3.576,1590.236769,5686.686685944001,2022-05-03
1651572000000,2022-05-03 10:00:00,API3/USD,3.504,3.524,3.481,3.481,1423.70134,4955.90436454,2022-05-03
1651568400000,2022-05-03 09:00:00,API3/USD,3.613,3.621,3.504,3.504,428.386575,1501.0665588,2022-05-03
1651564800000,2022-05-03 08:00:00,API3/USD,3.6,3.664,3.595,3.613,1156.531559,4178.548522667,2022-05-03
1651561200000,2022-05-03 07:00:00,API3/USD,3.596,3.672,3.538,3.6,3332.29935,11996.27766,2022-05-03
1651557600000,2022-05-03 06:00:00,API3/USD,3.328,3.622,3.327,3.596,1991.419232,7161.143558272,2022-05-03
1651554000000,2022-05-03 05:00:00,API3/USD,3.338,3.338,3.314,3.328,2.05258,6.830986239999999,2022-05-03
1651550400000,2022-05-03 04:00:00,API3/USD,3.324,3.338,3.314,3.338,303.655409,1013.601755242,2022-05-03
1651546800000,2022-05-03 03:00:00,API3/USD,3.318,3.395,3.318,3.324,123.898777,411.839534748,2022-05-03
1651543200000,2022-05-03 02:00:00,API3/USD,3.358,3.373,3.318,3.318,1183.79588,3927.83472984,2022-05-03
1651539600000,2022-05-03 01:00:00,API3/USD,3.252,3.381,3.252,3.358,1893.758659,6359.241576922001,2022-05-03
1651536000000,2022-05-03 00:00:00,API3/USD,3.217,3.305,3.217,3.252,3371.611036,10964.479089071998,2022-05-03
