unix,date,symbol,open,high,low,close,Volume BTC,Volume USD,just_date
1651618800000,2022-05-03 23:00:00,BTC/USD,37738.11,37765.07,37635.39,37725.64,25.2127821,951168.340903044,2022-05-03
1651615200000,2022-05-03 22:00:00,BTC/USD,37798.41,37876.86,37715.8,37738.11,34.10597655,1287095.0947013206,2022-05-03
1651611600000,2022-05-03 21:00:00,BTC/USD,37785.48,38016.84,37619.6,37798.41,23.45051663,886392.2422925583,2022-05-03
1651608000000,2022-05-03 20:00:00,BTC/USD,37692.93,37848.32,37519.56,37785.48,46.22200932,1746520.8087206737,2022-05-03
1651604400000,2022-05-03 19:00:00,BTC/USD,37750.56,37764.2,37516.78,37692.93,67.34986596,2538613.783139663,2022-05-03
1651600800000,2022-05-03 18:00:00,BTC/USD,38046.25,38046.25,37559.18,37750.56,137.37093563,5185829.747756452,2022-05-03
1651597200000,2022-05-03 17:00:00,BTC/USD,38122.81,38301.51,38043.09,38046.25,45.99029196,1749758.14548315,2022-05-03
1651593600000,2022-05-03 16:00:00,BTC/USD,38312.78,38396.9,38071.11,38122.81,91.01849124,3469880.6480291844,2022-05-03
1651590000000,2022-05-03 15:00:00,BTC/USD,38280.77,38413.6,38166.92,38312.78,63.35949582,2427478.4242625795,2022-05-03
1651586400000,2022-05-03 14:00:00,BTC/USD,38361.4,38482.2,38169.36,38280.77,74.69154307,2859249.781207764,2022-05-03
1651582800000,2022-05-03 13:00:00,BTC/USD,38430.0,38465.3,38164.92,38361.4,62.92766208,2413993.216115712,2022-05-03
1651579200000,2022-05-03 12:00:00,BTC/USD,38564.43,38600.0,38425.69,38430.0,19.76978119,759752.6911317,2022-05-03
1651575600000,2022-05-03 11:00:00,BTC/USD,38413.27,38564.43,38251.42,38564.43,12.83346308,494915.1886062444,2022-05-03
1651572000000,2022-05-03 10:00:00,BTC/USD,38441.87,38465.28,38364.35,38413.27,5.09966006,195894.61879299616,2022-05-03
1651568400000,2022-05-03 09:00:00,BTC/USD,38531.79,38541.15,38432.81,38441.87,4.65582246,178978.52175040022,2022-05-03
1651564800000,2022-05-03 08:00:00,BTC/USD,38539.93,38630.17,38516.0,38531.79,66.33921503,2556168.702300804,2022-05-03
1651561200000,2022-05-03 07:00:00,BTC/USD,38476.86,38555.59,38421.37,38539.93,71.96382633,2773480.829290357,2022-05-03
1651557600000,2022-05-03 06:00:00,BTC/USD,38498.64,38544.88,38435.71,38476.86,68.16341798,2622714.2907379437,2022-05-03
1651554000000,2022-05-03 05:00:00,BTC/USD,38480.12,38521.21,38367.35,38498.64,120.71521982,4647371.790371045,2022-05-03
1651550400000,2022-05-03 04:00:00,BTC/USD,38475.81,38538.37,38450.62,38480.12,64.93041192,2498530.0423310306,2022-05-03
1651546800000,2022-05-03 03:00:00,BTC/USD,38374.55,38599.73,38369.27,38475.81,75.60278902,2908878.545803606,2022-05-03
1651543200000,2022-05-03 02:00:00,BTC/USD,38501.83,38590.13,38313.85,38374.55,27.88974116,1070256.266631478,2022-05-03
1651539600000,2022-05-03 01:00:00,BTC/USD,38405.64,38507.12,38349.11,38501.83,23.61234862,909118.6324679746,2022-05-03
1651536000000,2022-05-03 00:00:00,BTC/USD,38515.21,38562.09,38339.5,38405.64,49.86353025,1915040.79191061,2022-05-03
