unix,date,symbol,open,high,low,close,Volume CUBE,Volume USD,just_date
1651618800000,2022-05-03 23:00:00,CUBE/USD,3.698,3.7042,3.6547,3.6805,2455.579345,9037.7597792725,2022-05-03
1651615200000,2022-05-03 22:00:00,CUBE/USD,3.7445,3.7486,3.6448,3.698,6927.441436,25617.678430328,2022-05-03
1651611600000,2022-05-03 21:00:00,CUBE/USD,3.7445,3.7445,3.7368,3.7445,13.480181,50.4765377545,2022-05-03
1651608000000,2022-05-03 20:00:00,CUBE/USD,3.7549,3.7658,3.725,3.7445,1603.020319,6002.509584495499,2022-05-03
1651604400000,2022-05-03 19:00:00,CUBE/USD,3.7766,3.782,3.75,3.7549,733.544631,2754.3867349419,2022-05-03
1651600800000,2022-05-03 18:00:00,CUBE/USD,3.84,3.84,3.7754,3.7766,1247.063489,4709.6599725574,2022-05-03
1651597200000,2022-05-03 17:00:00,CUBE/USD,3.8353,3.8482,3.8208,3.84,1577.194824,6056.428124159999,2022-05-03
1651593600000,2022-05-03 16:00:00,CUBE/USD,3.8504,3.8588,3.8208,3.8353,1767.94266,6780.5904838980005,2022-05-03
1651590000000,2022-05-03 15:00:00,CUBE/USD,3.8436,3.8562,3.8303,3.8504,301.034153,1159.1019027112,2022-05-03
1651586400000,2022-05-03 14:00:00,CUBE/USD,3.8299,3.8763,3.8168,3.8436,3299.710369,12682.7667742884,2022-05-03
1651582800000,2022-05-03 13:00:00,CUBE/USD,3.8115,3.8816,3.7152,3.8299,13838.766236,53001.0908072564,2022-05-03
1651579200000,2022-05-03 12:00:00,CUBE/USD,3.7933,3.8285,3.7765,3.8115,1848.621958,7046.022592917,2022-05-03
1651575600000,2022-05-03 11:00:00,CUBE/USD,3.7366,3.7933,3.7105,3.7933,2951.718286,11196.7529742838,2022-05-03
1651572000000,2022-05-03 10:00:00,CUBE/USD,4.79,4.79,3.6762,3.7366,6252.268547,23362.2266527202,2022-05-03
1651568400000,2022-05-03 09:00:00,CUBE/USD,3.6559,5.5018,3.6517,4.79,5630.145232,26968.39566128,2022-05-03
1651564800000,2022-05-03 08:00:00,CUBE/USD,3.6294,3.8284,3.6294,3.6559,33.902594,123.9444934046,2022-05-03
1651561200000,2022-05-03 07:00:00,CUBE/USD,3.7961,3.7961,3.6294,3.6294,13.721437,49.8005834478,2022-05-03
1651557600000,2022-05-03 06:00:00,CUBE/USD,3.6583,3.8036,3.6348,3.7961,999.277152,3793.3559967072,2022-05-03
1651554000000,2022-05-03 05:00:00,CUBE/USD,3.6351,3.6594,3.6294,3.6583,6384.443667,23356.210266986094,2022-05-03
1651550400000,2022-05-03 04:00:00,CUBE/USD,3.6295,3.6429,3.6295,3.6351,46.546608,169.2015747408,2022-05-03
1651546800000,2022-05-03 03:00:00,CUBE/USD,3.6174,3.6391,3.6174,3.6295,156.416842,567.714928039,2022-05-03
1651543200000,2022-05-03 02:00:00,CUBE/USD,3.6199,3.625,3.6129,3.6174,233.707773,845.4144980502,2022-05-03
1651539600000,2022-05-03 01:00:00,CUBE/USD,3.6211,3.6361,3.6037,3.6199,963.933323,3489.3422359277,2022-05-03
1651536000000,2022-05-03 00:00:00,CUBE/USD,3.6221,3.6309,3.618,3.6211,115.259898,417.3676166478001,2022-05-03
