unix,date,symbol,open,high,low,close,Volume ENS,Volume USD,just_date
1651618800000,2022-05-03 23:00:00,ENS/USD,22.13,22.194,21.846,21.984,1599.369055,35160.52930512,2022-05-03
1651615200000,2022-05-03 22:00:00,ENS/USD,22.655,22.723,22.028,22.13,1349.966181,29874.75158553,2022-05-03
1651611600000,2022-05-03 21:00:00,ENS/USD,22.964,23.008,22.655,22.655,159.658823,3617.070635065,2022-05-03
1651608000000,2022-05-03 20:00:00,ENS/USD,23.2,23.209,22.655,22.964,250.809649,5759.592779636,2022-05-03
1651604400000,2022-05-03 19:00:00,ENS/USD,23.197,23.342,23.133,23.2,249.306203,5783.9039096,2022-05-03
1651600800000,2022-05-03 18:00:00,ENS/USD,23.196,23.335,22.776,23.197,1216.493748,28219.005472356,2022-05-03
1651597200000,2022-05-03 17:00:00,ENS/USD,22.852,23.321,22.852,23.196,621.851664,14424.471198144,2022-05-03
1651593600000,2022-05-03 16:00:00,ENS/USD,23.513,23.999,22.772,22.852,1229.196687,28089.602691324,2022-05-03
1651590000000,2022-05-03 15:00:00,ENS/USD,25.13,25.13,23.512,23.513,462.081865,10864.930891745,2022-05-03
1651586400000,2022-05-03 14:00:00,ENS/USD,26.049,26.214,24.956,25.13,616.203653,15485.19779989,2022-05-03
1651582800000,2022-05-03 13:00:00,ENS/USD,25.82,26.288,25.541,26.049,292.591668,7621.720359732,2022-05-03
1651579200000,2022-05-03 12:00:00,ENS/USD,25.511,26.074,25.149,25.82,559.984645,14458.8035339,2022-05-03
1651575600000,2022-05-03 11:00:00,ENS/USD,25.13,25.511,25.13,25.511,55.519417,1416.3558470869998,2022-05-03
1651572000000,2022-05-03 10:00:00,ENS/USD,25.13,25.256,24.956,25.13,29.921997,751.93978461,2022-05-03
1651568400000,2022-05-03 09:00:00,ENS/USD,25.431,25.431,24.778,25.13,110.573748,2778.71828724,2022-05-03
1651564800000,2022-05-03 08:00:00,ENS/USD,25.556,25.648,25.221,25.431,23.843567,606.365752377,2022-05-03
1651561200000,2022-05-03 07:00:00,ENS/USD,25.109,25.95,24.795,25.556,354.383247,9056.618260332,2022-05-03
1651557600000,2022-05-03 06:00:00,ENS/USD,24.784,25.13,24.597,25.109,221.974552,5573.559026168,2022-05-03
1651554000000,2022-05-03 05:00:00,ENS/USD,24.79,25.004,24.632,24.784,179.533155,4449.549713519999,2022-05-03
1651550400000,2022-05-03 04:00:00,ENS/USD,25.081,25.081,24.549,24.79,332.824054,8250.70829866,2022-05-03
1651546800000,2022-05-03 03:00:00,ENS/USD,25.281,25.686,25.081,25.081,575.818411,14442.101566291,2022-05-03
1651543200000,2022-05-03 02:00:00,ENS/USD,25.33,25.497,24.783,25.281,425.547399,10758.263794119,2022-05-03
1651539600000,2022-05-03 01:00:00,ENS/USD,26.078,27.416,25.075,25.33,5531.809612,140120.73747196,2022-05-03
1651536000000,2022-05-03 00:00:00,ENS/USD,26.045,26.214,25.589,26.078,71.343973,1860.508127894,2022-05-03
