unix,date,symbol,open,high,low,close,Volume LUSD,Volume USD,just_date
1651618800000,2022-05-03 23:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-03
1651615200000,2022-05-03 22:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-03
1651611600000,2022-05-03 21:00:00,LUSD/USD,0.999,0.999,0.992,0.992,95.9545,95.186864,2022-05-03
1651608000000,2022-05-03 20:00:00,LUSD/USD,0.999,0.999,0.999,0.999,0.0,0.0,2022-05-03
1651604400000,2022-05-03 19:00:00,LUSD/USD,0.999,0.999,0.999,0.999,0.0,0.0,2022-05-03
1651600800000,2022-05-03 18:00:00,LUSD/USD,0.999,0.999,0.999,0.999,0.0,0.0,2022-05-03
1651597200000,2022-05-03 17:00:00,LUSD/USD,0.999,0.999,0.999,0.999,1.005976,1.004970024,2022-05-03
1651593600000,2022-05-03 16:00:00,LUSD/USD,0.999,0.999,0.999,0.999,0.0,0.0,2022-05-03
1651590000000,2022-05-03 15:00:00,LUSD/USD,0.999,0.999,0.999,0.999,0.0,0.0,2022-05-03
1651586400000,2022-05-03 14:00:00,LUSD/USD,0.992,0.999,0.992,0.999,3.819721,3.815901279,2022-05-03
1651582800000,2022-05-03 13:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-03
1651579200000,2022-05-03 12:00:00,LUSD/USD,0.992,0.999,0.992,0.992,795.929467,789.562031264,2022-05-03
1651575600000,2022-05-03 11:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-03
1651572000000,2022-05-03 10:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-03
1651568400000,2022-05-03 09:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-03
1651564800000,2022-05-03 08:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-03
1651561200000,2022-05-03 07:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-03
1651557600000,2022-05-03 06:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-03
1651554000000,2022-05-03 05:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-03
1651550400000,2022-05-03 04:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-03
1651546800000,2022-05-03 03:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-03
1651543200000,2022-05-03 02:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-03
1651539600000,2022-05-03 01:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-03
1651536000000,2022-05-03 00:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-03
