unix,date,symbol,open,high,low,close,Volume API3,Volume USD,just_date
1651273200000,2022-04-29 23:00:00,API3/USD,3.76,3.765,3.751,3.751,782.007395,2933.309738645,2022-04-29
1651269600000,2022-04-29 22:00:00,API3/USD,3.751,3.76,3.75,3.76,916.254738,3445.1178148799995,2022-04-29
1651266000000,2022-04-29 21:00:00,API3/USD,3.751,3.764,3.751,3.751,134.205724,503.405670724,2022-04-29
1651262400000,2022-04-29 20:00:00,API3/USD,3.772,3.772,3.75,3.751,460.31764,1726.65146764,2022-04-29
1651258800000,2022-04-29 19:00:00,API3/USD,3.799,3.806,3.772,3.772,759.535613,2864.968332236,2022-04-29
1651255200000,2022-04-29 18:00:00,API3/USD,3.85,3.85,3.795,3.799,1544.675765,5868.223231235,2022-04-29
1651251600000,2022-04-29 17:00:00,API3/USD,3.903,3.92,3.839,3.85,446.082544,1717.4177944,2022-04-29
1651248000000,2022-04-29 16:00:00,API3/USD,3.959,3.971,3.903,3.903,171.393792,668.949970176,2022-04-29
1651244400000,2022-04-29 15:00:00,API3/USD,3.957,3.959,3.924,3.959,57.398315,227.239929085,2022-04-29
1651240800000,2022-04-29 14:00:00,API3/USD,3.955,3.985,3.932,3.957,428.078369,1693.906106133,2022-04-29
1651237200000,2022-04-29 13:00:00,API3/USD,3.92,3.955,3.905,3.955,127.787212,505.39842346,2022-04-29
1651233600000,2022-04-29 12:00:00,API3/USD,3.883,3.934,3.872,3.92,238.262516,933.98906272,2022-04-29
1651230000000,2022-04-29 11:00:00,API3/USD,3.873,3.905,3.864,3.883,83.123852,322.769917316,2022-04-29
1651226400000,2022-04-29 10:00:00,API3/USD,3.918,3.923,3.828,3.873,679.23085,2630.6610820500005,2022-04-29
1651222800000,2022-04-29 09:00:00,API3/USD,3.963,3.963,3.918,3.918,270.696068,1060.5871944240002,2022-04-29
1651219200000,2022-04-29 08:00:00,API3/USD,3.988,4.0,3.958,3.963,5147.932644,20401.257068172003,2022-04-29
1651215600000,2022-04-29 07:00:00,API3/USD,3.975,3.993,3.971,3.988,28.554298,113.874540424,2022-04-29
1651212000000,2022-04-29 06:00:00,API3/USD,3.955,3.988,3.95,3.975,179.607738,713.94075855,2022-04-29
1651208400000,2022-04-29 05:00:00,API3/USD,3.933,3.959,3.933,3.955,44.008365,174.053083575,2022-04-29
1651204800000,2022-04-29 04:00:00,API3/USD,3.934,3.934,3.914,3.933,36.548692,143.746005636,2022-04-29
1651201200000,2022-04-29 03:00:00,API3/USD,3.921,3.951,3.921,3.934,17.570303,69.121572002,2022-04-29
1651197600000,2022-04-29 02:00:00,API3/USD,3.998,3.998,3.921,3.921,238.399006,934.762502526,2022-04-29
1651194000000,2022-04-29 01:00:00,API3/USD,4.017,4.033,3.998,3.998,345.238194,1380.262299612,2022-04-29
1651190400000,2022-04-29 00:00:00,API3/USD,3.97,4.017,3.97,4.017,160.194327,643.500611559,2022-04-29
