unix,date,symbol,open,high,low,close,Volume AUDIO,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,AUDIO/USD,0.867,0.888,0.867,0.888,3689.826753,3276.566156664,2022-05-01
1651442400000,2022-05-01 22:00:00,AUDIO/USD,0.859,0.875,0.858,0.867,14803.015639,12834.214559013,2022-05-01
1651438800000,2022-05-01 21:00:00,AUDIO/USD,0.862,0.865,0.851,0.859,3014.73065,2589.65362835,2022-05-01
1651435200000,2022-05-01 20:00:00,AUDIO/USD,0.844,0.862,0.838,0.862,6308.831165,5438.21246423,2022-05-01
1651431600000,2022-05-01 19:00:00,AUDIO/USD,0.853,0.854,0.835,0.844,643.13395,542.8050538,2022-05-01
1651428000000,2022-05-01 18:00:00,AUDIO/USD,0.885,0.885,0.851,0.853,4108.062871,3504.177628963,2022-05-01
1651424400000,2022-05-01 17:00:00,AUDIO/USD,0.91,0.91,0.883,0.885,1591.690623,1408.646201355,2022-05-01
1651420800000,2022-05-01 16:00:00,AUDIO/USD,0.936,0.947,0.91,0.91,1123.08417,1022.0065947000002,2022-05-01
1651417200000,2022-05-01 15:00:00,AUDIO/USD,0.857,0.936,0.856,0.936,13375.751012,12519.702947232,2022-05-01
1651413600000,2022-05-01 14:00:00,AUDIO/USD,0.847,0.857,0.84,0.857,835.385897,715.925713729,2022-05-01
1651410000000,2022-05-01 13:00:00,AUDIO/USD,0.848,0.855,0.847,0.847,3898.633076,3302.142215372,2022-05-01
1651406400000,2022-05-01 12:00:00,AUDIO/USD,0.847,0.855,0.839,0.848,658.367779,558.295876592,2022-05-01
1651402800000,2022-05-01 11:00:00,AUDIO/USD,0.868,0.868,0.846,0.847,482.419849,408.609612103,2022-05-01
1651399200000,2022-05-01 10:00:00,AUDIO/USD,0.87,0.873,0.864,0.868,1785.672221,1549.963487828,2022-05-01
1651395600000,2022-05-01 09:00:00,AUDIO/USD,0.875,0.875,0.864,0.87,7.037156,6.12232572,2022-05-01
1651392000000,2022-05-01 08:00:00,AUDIO/USD,0.862,0.876,0.862,0.875,121.053692,105.9219805,2022-05-01
1651388400000,2022-05-01 07:00:00,AUDIO/USD,0.863,0.871,0.862,0.862,176.022489,151.731385518,2022-05-01
1651384800000,2022-05-01 06:00:00,AUDIO/USD,0.867,0.878,0.863,0.863,4270.593254,3685.521978202,2022-05-01
1651381200000,2022-05-01 05:00:00,AUDIO/USD,0.838,0.87,0.838,0.867,1066.126175,924.331393725,2022-05-01
1651377600000,2022-05-01 04:00:00,AUDIO/USD,0.845,0.847,0.831,0.838,441.808904,370.235861552,2022-05-01
1651374000000,2022-05-01 03:00:00,AUDIO/USD,0.833,0.845,0.832,0.845,9257.91375,7822.937118749999,2022-05-01
1651370400000,2022-05-01 02:00:00,AUDIO/USD,0.85,0.851,0.832,0.833,3458.995818,2881.343516394,2022-05-01
1651366800000,2022-05-01 01:00:00,AUDIO/USD,0.831,0.862,0.824,0.85,10366.486491,8811.51351735,2022-05-01
1651363200000,2022-05-01 00:00:00,AUDIO/USD,0.835,0.848,0.824,0.831,5549.243593,4611.421425783,2022-05-01
