unix,date,symbol,open,high,low,close,Volume API3,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,API3/USD,3.258,3.31,3.258,3.309,165.737894,548.426691246,2022-05-01
1651442400000,2022-05-01 22:00:00,API3/USD,3.265,3.286,3.238,3.258,201.464046,656.369861868,2022-05-01
1651438800000,2022-05-01 21:00:00,API3/USD,3.276,3.3,3.238,3.265,428.816259,1400.085085635,2022-05-01
1651435200000,2022-05-01 20:00:00,API3/USD,3.233,3.276,3.201,3.276,360.222872,1180.090128672,2022-05-01
1651431600000,2022-05-01 19:00:00,API3/USD,3.222,3.233,3.166,3.233,899.260876,2907.310412108,2022-05-01
1651428000000,2022-05-01 18:00:00,API3/USD,3.323,3.323,3.222,3.222,789.810915,2544.77076813,2022-05-01
1651424400000,2022-05-01 17:00:00,API3/USD,3.338,3.351,3.292,3.323,672.853688,2235.892805224,2022-05-01
1651420800000,2022-05-01 16:00:00,API3/USD,3.304,3.366,3.298,3.338,1267.712632,4231.624765616,2022-05-01
1651417200000,2022-05-01 15:00:00,API3/USD,3.164,3.327,3.156,3.304,1236.181731,4084.344439224,2022-05-01
1651413600000,2022-05-01 14:00:00,API3/USD,3.154,3.188,3.145,3.164,3052.900726,9659.377897064,2022-05-01
1651410000000,2022-05-01 13:00:00,API3/USD,3.153,3.184,3.153,3.154,1807.403512,5700.550676848,2022-05-01
1651406400000,2022-05-01 12:00:00,API3/USD,3.166,3.182,3.123,3.153,1263.544811,3983.956789083,2022-05-01
1651402800000,2022-05-01 11:00:00,API3/USD,3.189,3.189,3.153,3.166,519.921397,1646.0711429019998,2022-05-01
1651399200000,2022-05-01 10:00:00,API3/USD,3.191,3.207,3.185,3.189,366.930453,1170.141214617,2022-05-01
1651395600000,2022-05-01 09:00:00,API3/USD,3.214,3.221,3.176,3.191,423.307764,1350.775074924,2022-05-01
1651392000000,2022-05-01 08:00:00,API3/USD,3.153,3.219,3.153,3.214,55.81151,179.37819313999998,2022-05-01
1651388400000,2022-05-01 07:00:00,API3/USD,3.337,3.338,3.153,3.153,2062.850739,6504.168380067,2022-05-01
1651384800000,2022-05-01 06:00:00,API3/USD,3.337,3.338,3.337,3.337,26.212677,87.471703149,2022-05-01
1651381200000,2022-05-01 05:00:00,API3/USD,3.19,3.337,3.19,3.337,109.729839,366.168472743,2022-05-01
1651377600000,2022-05-01 04:00:00,API3/USD,3.332,3.421,3.166,3.19,1565.563319,4994.14698761,2022-05-01
1651374000000,2022-05-01 03:00:00,API3/USD,3.333,3.381,3.281,3.332,1270.849531,4234.470637292,2022-05-01
1651370400000,2022-05-01 02:00:00,API3/USD,3.334,3.335,3.333,3.333,552.959199,1843.0130102670005,2022-05-01
1651366800000,2022-05-01 01:00:00,API3/USD,3.388,3.463,3.332,3.334,1773.361714,5912.387954475999,2022-05-01
1651363200000,2022-05-01 00:00:00,API3/USD,3.333,3.436,3.333,3.388,292.751384,991.8416889919998,2022-05-01
