unix,date,symbol,open,high,low,close,Volume ASH,Volume USD,just_date
1651273200000,2022-04-29 23:00:00,ASH/USD,4.5,4.5,4.5,4.5,0.0,0.0,2022-04-29
1651269600000,2022-04-29 22:00:00,ASH/USD,4.5,4.5,4.5,4.5,0.0,0.0,2022-04-29
1651266000000,2022-04-29 21:00:00,ASH/USD,4.5,4.5,4.5,4.5,0.016917,0.0761265,2022-04-29
1651262400000,2022-04-29 20:00:00,ASH/USD,4.5,4.5,4.5,4.5,0.0,0.0,2022-04-29
1651258800000,2022-04-29 19:00:00,ASH/USD,4.9,4.9,4.5,4.5,0.058961,0.2653245,2022-04-29
1651255200000,2022-04-29 18:00:00,ASH/USD,4.9,4.9,4.9,4.9,0.0,0.0,2022-04-29
1651251600000,2022-04-29 17:00:00,ASH/USD,4.9,4.9,4.9,4.9,0.0,0.0,2022-04-29
1651248000000,2022-04-29 16:00:00,ASH/USD,4.9,4.9,4.9,4.9,0.0,0.0,2022-04-29
1651244400000,2022-04-29 15:00:00,ASH/USD,4.1,5.1,4.1,4.9,19.572941,95.9074109,2022-04-29
1651240800000,2022-04-29 14:00:00,ASH/USD,4.1,4.1,4.1,4.1,0.0,0.0,2022-04-29
1651237200000,2022-04-29 13:00:00,ASH/USD,4.1,4.1,4.1,4.1,0.0,0.0,2022-04-29
1651233600000,2022-04-29 12:00:00,ASH/USD,4.1,4.1,4.1,4.1,0.0,0.0,2022-04-29
1651230000000,2022-04-29 11:00:00,ASH/USD,4.1,4.1,4.1,4.1,0.0,0.0,2022-04-29
1651226400000,2022-04-29 10:00:00,ASH/USD,4.1,4.1,4.1,4.1,0.0,0.0,2022-04-29
1651222800000,2022-04-29 09:00:00,ASH/USD,4.1,4.1,4.1,4.1,0.0,0.0,2022-04-29
1651219200000,2022-04-29 08:00:00,ASH/USD,4.1,4.1,4.1,4.1,0.0,0.0,2022-04-29
1651215600000,2022-04-29 07:00:00,ASH/USD,4.1,4.1,4.1,4.1,0.0,0.0,2022-04-29
1651212000000,2022-04-29 06:00:00,ASH/USD,4.1,4.1,4.1,4.1,0.0,0.0,2022-04-29
1651208400000,2022-04-29 05:00:00,ASH/USD,4.1,4.1,4.1,4.1,0.0,0.0,2022-04-29
1651204800000,2022-04-29 04:00:00,ASH/USD,4.1,4.1,4.1,4.1,0.0,0.0,2022-04-29
1651201200000,2022-04-29 03:00:00,ASH/USD,4.1,4.1,4.1,4.1,0.0,0.0,2022-04-29
1651197600000,2022-04-29 02:00:00,ASH/USD,4.1,4.1,4.1,4.1,0.0,0.0,2022-04-29
1651194000000,2022-04-29 01:00:00,ASH/USD,4.1,4.1,4.1,4.1,0.0,0.0,2022-04-29
1651190400000,2022-04-29 00:00:00,ASH/USD,4.1,4.1,4.1,4.1,0.0,0.0,2022-04-29
