unix,date,symbol,open,high,low,close,Volume AXS,Volume USD,just_date
1651618800000,2022-05-03 23:00:00,AXS/USD,29.18,29.18,28.92,29.15,33.107417,965.08120555,2022-05-03
1651615200000,2022-05-03 22:00:00,AXS/USD,29.13,29.38,29.02,29.18,27.047139,789.23551602,2022-05-03
1651611600000,2022-05-03 21:00:00,AXS/USD,29.07,29.44,29.07,29.13,37.968645,1106.02662885,2022-05-03
1651608000000,2022-05-03 20:00:00,AXS/USD,29.24,29.24,28.87,29.07,51.79738,1505.7498366,2022-05-03
1651604400000,2022-05-03 19:00:00,AXS/USD,29.21,29.35,28.83,29.24,58.109563,1699.12362212,2022-05-03
1651600800000,2022-05-03 18:00:00,AXS/USD,29.63,29.63,28.79,29.21,285.035253,8325.87974013,2022-05-03
1651597200000,2022-05-03 17:00:00,AXS/USD,29.5,29.77,29.38,29.63,334.39776,9908.2056288,2022-05-03
1651593600000,2022-05-03 16:00:00,AXS/USD,30.24,30.32,29.46,29.5,77.923779,2298.7514805,2022-05-03
1651590000000,2022-05-03 15:00:00,AXS/USD,30.05,30.34,30.05,30.24,35.202865,1064.5346376,2022-05-03
1651586400000,2022-05-03 14:00:00,AXS/USD,30.26,30.41,30.02,30.05,18.594047,558.75111235,2022-05-03
1651582800000,2022-05-03 13:00:00,AXS/USD,30.34,30.54,30.05,30.26,58.643476,1774.55158376,2022-05-03
1651579200000,2022-05-03 12:00:00,AXS/USD,30.45,30.86,30.34,30.34,62.935582,1909.46555788,2022-05-03
1651575600000,2022-05-03 11:00:00,AXS/USD,29.99,30.51,29.5,30.45,623.842048,18995.9903616,2022-05-03
1651572000000,2022-05-03 10:00:00,AXS/USD,30.26,30.3,29.85,29.99,18.98259,569.2878741,2022-05-03
1651568400000,2022-05-03 09:00:00,AXS/USD,30.36,30.85,30.12,30.26,10.445163,316.07063238000006,2022-05-03
1651564800000,2022-05-03 08:00:00,AXS/USD,30.07,30.61,30.07,30.36,31.701458,962.45626488,2022-05-03
1651561200000,2022-05-03 07:00:00,AXS/USD,30.32,30.44,30.07,30.07,15.557848,467.82448936,2022-05-03
1651557600000,2022-05-03 06:00:00,AXS/USD,30.57,30.64,30.31,30.32,17.635855,534.7191236,2022-05-03
1651554000000,2022-05-03 05:00:00,AXS/USD,30.3,30.6,30.0,30.57,237.543083,7261.69204731,2022-05-03
1651550400000,2022-05-03 04:00:00,AXS/USD,30.16,31.33,30.01,30.3,49.098151,1487.6739753000002,2022-05-03
1651546800000,2022-05-03 03:00:00,AXS/USD,30.11,31.63,30.03,30.16,89.868644,2710.43830304,2022-05-03
1651543200000,2022-05-03 02:00:00,AXS/USD,30.35,30.51,30.02,30.11,2276.909414,68557.74245554,2022-05-03
1651539600000,2022-05-03 01:00:00,AXS/USD,30.04,30.38,29.93,30.35,2725.824299,82728.76747465,2022-05-03
1651536000000,2022-05-03 00:00:00,AXS/USD,30.31,30.31,29.94,30.04,945.086975,28390.412729,2022-05-03
