unix,date,symbol,open,high,low,close,Volume BTCG,Volume USD,just_date
1651532400000,2022-05-02 23:00:00,BTCG/USD,38674.51,38683.45,38628.45,38657.25,0.0685273,2649.076967925,2022-05-02
1651528800000,2022-05-02 22:00:00,BTCG/USD,38676.48,38694.97,38674.51,38674.51,0.00266125,102.9225397375,2022-05-02
1651525200000,2022-05-02 21:00:00,BTCG/USD,38417.95,38814.04,38284.64,38676.48,0.10137511,3920.832414412801,2022-05-02
1651521600000,2022-05-02 20:00:00,BTCG/USD,38511.15,38513.87,38417.95,38417.95,0.03384133,1300.1145238735,2022-05-02
1651518000000,2022-05-02 19:00:00,BTCG/USD,38227.44,38566.45,38227.44,38511.15,0.03658836,1409.059820214,2022-05-02
1651514400000,2022-05-02 18:00:00,BTCG/USD,38316.81,38334.69,38108.94,38227.44,0.88220768,33724.54115473921,2022-05-02
1651510800000,2022-05-02 17:00:00,BTCG/USD,38685.13,38685.13,38316.81,38316.81,0.47095878,18045.6380910918,2022-05-02
1651507200000,2022-05-02 16:00:00,BTCG/USD,38594.69,38835.67,38594.69,38685.13,0.01159079,448.3912179527,2022-05-02
1651503600000,2022-05-02 15:00:00,BTCG/USD,38864.74,38864.74,38594.69,38594.69,0.21928586,8463.2697880834,2022-05-02
1651500000000,2022-05-02 14:00:00,BTCG/USD,38920.68,39000.66,38761.34,38864.74,0.32457436,12614.4981120664,2022-05-02
1651496400000,2022-05-02 13:00:00,BTCG/USD,38694.43,38920.68,38490.73,38920.68,0.18077199,7035.768775753199,2022-05-02
1651492800000,2022-05-02 12:00:00,BTCG/USD,38481.88,38694.43,38481.88,38694.43,0.00253524,98.0996667132,2022-05-02
1651489200000,2022-05-02 11:00:00,BTCG/USD,38720.03,38720.03,38481.88,38481.88,0.00953497,366.9235713436,2022-05-02
1651485600000,2022-05-02 10:00:00,BTCG/USD,38875.55,38875.55,38720.03,38720.03,0.00278008,107.6447810024,2022-05-02
1651482000000,2022-05-02 09:00:00,BTCG/USD,38902.0,38978.43,38824.41,38875.55,0.02357094,916.333256517,2022-05-02
1651478400000,2022-05-02 08:00:00,BTCG/USD,38823.68,38902.0,38823.68,38902.0,0.02117747,823.84593794,2022-05-02
1651474800000,2022-05-02 07:00:00,BTCG/USD,38978.66,39012.12,38823.68,38823.68,0.00565392,219.5059808256,2022-05-02
1651471200000,2022-05-02 06:00:00,BTCG/USD,39000.0,39000.0,38978.66,38978.66,0.00020447,7.969966610200001,2022-05-02
1651467600000,2022-05-02 05:00:00,BTCG/USD,39000.0,39000.0,39000.0,39000.0,0.0,0.0,2022-05-02
1651464000000,2022-05-02 04:00:00,BTCG/USD,38498.09,39000.0,38498.09,39000.0,0.000194,7.566,2022-05-02
1651460400000,2022-05-02 03:00:00,BTCG/USD,38498.09,38498.09,38498.09,38498.09,0.0,0.0,2022-05-02
1651456800000,2022-05-02 02:00:00,BTCG/USD,38634.47,38634.47,38472.16,38498.09,0.0118847,457.538250223,2022-05-02
1651453200000,2022-05-02 01:00:00,BTCG/USD,38639.0,38713.19,38599.49,38634.47,0.02154249,832.2826836303001,2022-05-02
1651449600000,2022-05-02 00:00:00,BTCG/USD,38264.88,38743.16,38264.88,38639.0,0.28112535,10862.40239865,2022-05-02
