unix,date,symbol,open,high,low,close,Volume CTX,Volume USD,just_date
1651532400000,2022-05-02 23:00:00,CTX/USD,5.1712,5.1874,5.155,5.1874,95.550347,495.6578700278,2022-05-02
1651528800000,2022-05-02 22:00:00,CTX/USD,5.1356,5.1712,5.1356,5.1712,10.520036,54.40121016319999,2022-05-02
1651525200000,2022-05-02 21:00:00,CTX/USD,5.158,5.1625,5.1247,5.1356,48.558811,249.3786297716,2022-05-02
1651521600000,2022-05-02 20:00:00,CTX/USD,5.1483,5.158,5.1428,5.158,0.261646,1.349570068,2022-05-02
1651518000000,2022-05-02 19:00:00,CTX/USD,5.1219,5.1599,5.1219,5.1483,39.169942,201.6586123986,2022-05-02
1651514400000,2022-05-02 18:00:00,CTX/USD,5.1144,5.1569,5.1144,5.1219,12.23681,62.675717139,2022-05-02
1651510800000,2022-05-02 17:00:00,CTX/USD,5.1237,5.1896,5.114,5.1144,164.281497,840.2012882568,2022-05-02
1651507200000,2022-05-02 16:00:00,CTX/USD,5.1568,5.1585,5.1237,5.1237,19.993817,102.4423201629,2022-05-02
1651503600000,2022-05-02 15:00:00,CTX/USD,5.1237,5.1586,5.1237,5.1568,13.594554,70.1043960672,2022-05-02
1651500000000,2022-05-02 14:00:00,CTX/USD,5.1607,5.1607,5.1237,5.1237,47.181695,241.7448506715,2022-05-02
1651496400000,2022-05-02 13:00:00,CTX/USD,5.1572,5.1607,5.1278,5.1607,1.004211,5.1824317077,2022-05-02
1651492800000,2022-05-02 12:00:00,CTX/USD,5.1314,5.1572,5.1235,5.1572,0.152251,0.7851888571999999,2022-05-02
1651489200000,2022-05-02 11:00:00,CTX/USD,5.1293,5.1327,5.1293,5.1314,0.605886,3.1090434204000004,2022-05-02
1651485600000,2022-05-02 10:00:00,CTX/USD,5.1271,5.1309,5.1271,5.1293,0.251132,1.2881313676,2022-05-02
1651482000000,2022-05-02 09:00:00,CTX/USD,5.1278,5.1317,5.1271,5.1271,0.370082,1.8974474222,2022-05-02
1651478400000,2022-05-02 08:00:00,CTX/USD,5.1434,5.1434,5.1278,5.1278,0.256136,1.3134141807999995,2022-05-02
1651474800000,2022-05-02 07:00:00,CTX/USD,5.1593,5.1593,5.1278,5.1434,0.090687,0.4664395158,2022-05-02
1651471200000,2022-05-02 06:00:00,CTX/USD,5.1517,5.1593,5.1505,5.1593,73.580808,379.6254627144,2022-05-02
1651467600000,2022-05-02 05:00:00,CTX/USD,5.21,5.2186,5.08,5.1517,2060.527127,10615.2176001659,2022-05-02
1651464000000,2022-05-02 04:00:00,CTX/USD,5.2243,5.2243,5.21,5.21,45.551799,237.32487279,2022-05-02
1651460400000,2022-05-02 03:00:00,CTX/USD,5.2101,5.2243,5.2101,5.2243,8.391722,43.8408732446,2022-05-02
1651456800000,2022-05-02 02:00:00,CTX/USD,5.2191,5.2191,5.21,5.2101,3.58853,18.696600153,2022-05-02
1651453200000,2022-05-02 01:00:00,CTX/USD,5.2268,5.2268,5.21,5.2191,76.4269,398.87963379,2022-05-02
1651449600000,2022-05-02 00:00:00,CTX/USD,5.3044,5.3044,5.1486,5.2268,1014.352842,5301.8194345656,2022-05-02
