unix,date,symbol,open,high,low,close,Volume DAI,Volume USD,just_date
1651532400000,2022-05-02 23:00:00,DAI/USD,0.9999,1.0,0.9999,1.0,1.004975,1.004975,2022-05-02
1651528800000,2022-05-02 22:00:00,DAI/USD,0.99988,1.00015,0.99977,0.9999,1509.513562,1509.3626106438,2022-05-02
1651525200000,2022-05-02 21:00:00,DAI/USD,0.99964,1.00015,0.99964,0.99988,4095.050497,4094.55909094036,2022-05-02
1651521600000,2022-05-02 20:00:00,DAI/USD,0.99991,0.99991,0.99962,0.99964,10008.728735,10005.1255926554,2022-05-02
1651518000000,2022-05-02 19:00:00,DAI/USD,1.0,1.00017,0.99971,0.99991,4341.005869,4340.6151784717895,2022-05-02
1651514400000,2022-05-02 18:00:00,DAI/USD,0.99979,1.00017,0.99979,1.0,5419.594316,5419.594316,2022-05-02
1651510800000,2022-05-02 17:00:00,DAI/USD,0.9999,0.99991,0.99972,0.99979,956.700765,956.49985783935,2022-05-02
1651507200000,2022-05-02 16:00:00,DAI/USD,0.99989,1.00018,0.99958,0.9999,87765.235096,87756.4585724904,2022-05-02
1651503600000,2022-05-02 15:00:00,DAI/USD,0.99989,0.99989,0.99958,0.99989,10537.342014,10536.18290637846,2022-05-02
1651500000000,2022-05-02 14:00:00,DAI/USD,0.99985,0.99989,0.99958,0.99989,9918.064871,9916.97388386419,2022-05-02
1651496400000,2022-05-02 13:00:00,DAI/USD,0.99959,0.99985,0.99958,0.99985,27654.313262,27650.1651150107,2022-05-02
1651492800000,2022-05-02 12:00:00,DAI/USD,0.99981,0.99986,0.99958,0.99959,24483.816831,24473.77846609929,2022-05-02
1651489200000,2022-05-02 11:00:00,DAI/USD,0.99981,0.99988,0.99975,0.99981,1002.932424,1002.74186683944,2022-05-02
1651485600000,2022-05-02 10:00:00,DAI/USD,0.99975,0.99981,0.99955,0.99981,103.257233,103.23761412573,2022-05-02
1651482000000,2022-05-02 09:00:00,DAI/USD,0.99984,0.99984,0.99975,0.99975,0.235722,0.2356630695,2022-05-02
1651478400000,2022-05-02 08:00:00,DAI/USD,0.99987,0.99987,0.99969,0.99984,784.42325,784.29774228,2022-05-02
1651474800000,2022-05-02 07:00:00,DAI/USD,0.99987,0.99987,0.99987,0.99987,0.0,0.0,2022-05-02
1651471200000,2022-05-02 06:00:00,DAI/USD,0.99986,0.99987,0.99954,0.99987,103.003529,102.99013854123,2022-05-02
1651467600000,2022-05-02 05:00:00,DAI/USD,0.99986,0.99988,0.99986,0.99986,735.237043,735.13410981398,2022-05-02
1651464000000,2022-05-02 04:00:00,DAI/USD,0.99988,0.99988,0.99954,0.99986,5717.978532,5717.17801500552,2022-05-02
1651460400000,2022-05-02 03:00:00,DAI/USD,0.99956,0.99989,0.99956,0.99988,121.768998,121.75438572024,2022-05-02
1651456800000,2022-05-02 02:00:00,DAI/USD,0.99988,0.99989,0.99954,0.99956,8170.177914,8166.58303571784,2022-05-02
1651453200000,2022-05-02 01:00:00,DAI/USD,0.99987,0.9999,0.99954,0.99988,1523.090254,1522.90748316952,2022-05-02
1651449600000,2022-05-02 00:00:00,DAI/USD,0.99987,0.99994,0.99955,0.99987,7014.990979,7014.07903017273,2022-05-02
