unix,date,symbol,open,high,low,close,Volume ETH,Volume USD,just_date
1651618800000,2022-05-03 23:00:00,ETH/USD,2784.4,2788.02,2774.0,2780.36,236.615003,657874.88974108,2022-05-03
1651615200000,2022-05-03 22:00:00,ETH/USD,2787.85,2802.01,2779.56,2784.4,354.891196,988159.0461424,2022-05-03
1651611600000,2022-05-03 21:00:00,ETH/USD,2784.08,2796.29,2770.53,2787.85,706.285273,1969017.3983330496,2022-05-03
1651608000000,2022-05-03 20:00:00,ETH/USD,2772.98,2791.67,2754.63,2784.08,1071.093878,2982011.0438622395,2022-05-03
1651604400000,2022-05-03 19:00:00,ETH/USD,2781.65,2781.65,2706.74,2772.98,3862.920787,10711802.08393526,2022-05-03
1651600800000,2022-05-03 18:00:00,ETH/USD,2802.68,2802.68,2768.84,2781.65,1016.805801,2828397.85635165,2022-05-03
1651597200000,2022-05-03 17:00:00,ETH/USD,2805.84,2816.0,2801.16,2802.68,37.416005,104865.0888934,2022-05-03
1651593600000,2022-05-03 16:00:00,ETH/USD,2821.74,2826.18,2800.0,2805.84,534.368986,1499353.87567824,2022-05-03
1651590000000,2022-05-03 15:00:00,ETH/USD,2822.13,2834.61,2815.35,2821.74,270.166122,762338.5530922798,2022-05-03
1651586400000,2022-05-03 14:00:00,ETH/USD,2833.21,2846.46,2818.18,2822.13,505.640582,1426983.45567966,2022-05-03
1651582800000,2022-05-03 13:00:00,ETH/USD,2836.96,2841.26,2815.35,2833.21,204.582537,579625.28965377,2022-05-03
1651579200000,2022-05-03 12:00:00,ETH/USD,2848.48,2850.22,2835.76,2836.96,152.726286,433278.36433056,2022-05-03
1651575600000,2022-05-03 11:00:00,ETH/USD,2829.67,2848.49,2825.24,2848.48,194.686381,554560.2625508801,2022-05-03
1651572000000,2022-05-03 10:00:00,ETH/USD,2833.82,2835.08,2824.1,2829.67,70.400928,199211.39393376,2022-05-03
1651568400000,2022-05-03 09:00:00,ETH/USD,2846.23,2846.23,2833.82,2833.82,60.10162,170317.1727884,2022-05-03
1651564800000,2022-05-03 08:00:00,ETH/USD,2843.93,2852.0,2841.99,2846.23,662.579249,1885852.93588127,2022-05-03
1651561200000,2022-05-03 07:00:00,ETH/USD,2837.56,2845.75,2834.66,2843.93,487.196219,1385551.94310067,2022-05-03
1651557600000,2022-05-03 06:00:00,ETH/USD,2841.99,2845.98,2836.31,2837.56,745.924791,2116606.34994996,2022-05-03
1651554000000,2022-05-03 05:00:00,ETH/USD,2847.5,2847.9,2831.23,2841.99,821.786214,2335508.20232586,2022-05-03
1651550400000,2022-05-03 04:00:00,ETH/USD,2849.07,2853.4,2843.31,2847.5,1189.935387,3388341.0144825,2022-05-03
1651546800000,2022-05-03 03:00:00,ETH/USD,2839.56,2854.31,2838.26,2849.07,640.11833,1823741.9304531,2022-05-03
1651543200000,2022-05-03 02:00:00,ETH/USD,2843.89,2851.46,2826.55,2839.56,132.431417,376046.95445652,2022-05-03
1651539600000,2022-05-03 01:00:00,ETH/USD,2836.59,2845.23,2830.01,2843.89,83.073896,236253.02209544,2022-05-03
1651536000000,2022-05-03 00:00:00,ETH/USD,2855.21,2861.39,2835.31,2836.59,137.1398,389009.38528200006,2022-05-03
