unix,date,symbol,open,high,low,close,Volume RAY,Volume USD,just_date
1651273200000,2022-04-29 23:00:00,RAY/USD,2.334,2.337,2.318,2.326,675.987212,1572.346255112,2022-04-29
1651269600000,2022-04-29 22:00:00,RAY/USD,2.318,2.334,2.318,2.334,1.096925,2.56022295,2022-04-29
1651266000000,2022-04-29 21:00:00,RAY/USD,2.324,2.327,2.318,2.318,1.311287,3.0395632660000005,2022-04-29
1651262400000,2022-04-29 20:00:00,RAY/USD,2.303,2.324,2.303,2.324,4.168058,9.686566792,2022-04-29
1651258800000,2022-04-29 19:00:00,RAY/USD,2.322,2.328,2.3,2.303,27.588481,63.536271743,2022-04-29
1651255200000,2022-04-29 18:00:00,RAY/USD,2.349,2.349,2.318,2.322,4.832891,11.221972902,2022-04-29
1651251600000,2022-04-29 17:00:00,RAY/USD,2.344,2.356,2.332,2.349,36.928894,86.745972006,2022-04-29
1651248000000,2022-04-29 16:00:00,RAY/USD,2.37,2.373,2.34,2.344,93.600119,219.398678936,2022-04-29
1651244400000,2022-04-29 15:00:00,RAY/USD,2.364,2.376,2.362,2.37,2.119479,5.023165230000001,2022-04-29
1651240800000,2022-04-29 14:00:00,RAY/USD,2.387,2.392,2.364,2.364,1.185935,2.80355034,2022-04-29
1651237200000,2022-04-29 13:00:00,RAY/USD,2.382,2.387,2.373,2.387,3.230777,7.711864698999999,2022-04-29
1651233600000,2022-04-29 12:00:00,RAY/USD,2.376,2.382,2.368,2.382,2.562637,6.104201334000001,2022-04-29
1651230000000,2022-04-29 11:00:00,RAY/USD,2.377,2.378,2.357,2.376,1.032144,2.452374144,2022-04-29
1651226400000,2022-04-29 10:00:00,RAY/USD,2.404,2.404,2.369,2.377,2.506536,5.958036072,2022-04-29
1651222800000,2022-04-29 09:00:00,RAY/USD,2.42,2.42,2.403,2.404,10.696141,25.713522964000003,2022-04-29
1651219200000,2022-04-29 08:00:00,RAY/USD,2.442,2.444,2.42,2.42,2.584231,6.25383902,2022-04-29
1651215600000,2022-04-29 07:00:00,RAY/USD,2.438,2.442,2.434,2.442,23.313246,56.930946732,2022-04-29
1651212000000,2022-04-29 06:00:00,RAY/USD,2.432,2.443,2.427,2.438,21.579027,52.609667826000006,2022-04-29
1651208400000,2022-04-29 05:00:00,RAY/USD,2.435,2.446,2.432,2.432,10.946779,26.622566528,2022-04-29
1651204800000,2022-04-29 04:00:00,RAY/USD,2.426,2.435,2.413,2.435,1.713502,4.17237737,2022-04-29
1651201200000,2022-04-29 03:00:00,RAY/USD,2.423,2.433,2.422,2.426,4.842805,11.74864493,2022-04-29
1651197600000,2022-04-29 02:00:00,RAY/USD,2.448,2.448,2.416,2.423,3.751954,9.090984542,2022-04-29
1651194000000,2022-04-29 01:00:00,RAY/USD,2.447,2.456,2.439,2.448,40.832656,99.958341888,2022-04-29
1651190400000,2022-04-29 00:00:00,RAY/USD,2.443,2.456,2.443,2.447,42.128053,103.087345691,2022-04-29
