unix,date,symbol,open,high,low,close,Volume CUBE,Volume USD,just_date
1651359600000,2022-04-30 23:00:00,CUBE/USD,3.5472,3.5472,3.4299,3.4299,2593.632965,8895.9017066535,2022-04-30
1651356000000,2022-04-30 22:00:00,CUBE/USD,3.6185,3.6185,3.5384,3.5472,1530.137733,5427.7045664976,2022-04-30
1651352400000,2022-04-30 21:00:00,CUBE/USD,3.5826,3.624,3.5826,3.6185,1513.628637,5477.0652229845,2022-04-30
1651348800000,2022-04-30 20:00:00,CUBE/USD,3.5878,3.6013,3.5645,3.5826,1909.28662,6840.210244812,2022-04-30
1651345200000,2022-04-30 19:00:00,CUBE/USD,3.5762,3.588,3.561,3.5878,1022.51279,3668.571387962,2022-04-30
1651341600000,2022-04-30 18:00:00,CUBE/USD,3.591,3.607,3.5762,3.5762,1885.855148,6744.1951802776,2022-04-30
1651338000000,2022-04-30 17:00:00,CUBE/USD,3.63,3.63,3.5906,3.591,460.005118,1651.878378738,2022-04-30
1651334400000,2022-04-30 16:00:00,CUBE/USD,3.7136,3.7181,3.63,3.63,3131.424109,11367.06951567,2022-04-30
1651330800000,2022-04-30 15:00:00,CUBE/USD,3.705,3.7136,3.6796,3.7136,1527.012812,5670.7147786432,2022-04-30
1651327200000,2022-04-30 14:00:00,CUBE/USD,3.663,3.7159,3.663,3.705,725.329255,2687.344889775,2022-04-30
1651323600000,2022-04-30 13:00:00,CUBE/USD,3.6495,3.6656,3.6287,3.663,1794.699127,6573.982902201,2022-04-30
1651320000000,2022-04-30 12:00:00,CUBE/USD,3.6687,3.6687,3.6495,3.6495,653.762629,2385.9067145355,2022-04-30
1651316400000,2022-04-30 11:00:00,CUBE/USD,3.6685,3.6798,3.6655,3.6687,189.134595,693.8780886764999,2022-04-30
1651312800000,2022-04-30 10:00:00,CUBE/USD,3.6546,3.673,3.651,3.6685,283.154625,1038.7527418125,2022-04-30
1651309200000,2022-04-30 09:00:00,CUBE/USD,3.6559,3.6575,3.6491,3.6546,185.82339,679.110161094,2022-04-30
1651305600000,2022-04-30 08:00:00,CUBE/USD,3.6748,3.6748,3.6547,3.6559,156.679508,572.8046132972,2022-04-30
1651302000000,2022-04-30 07:00:00,CUBE/USD,3.6869,3.728,3.6748,3.6748,757.579768,2783.9541314463995,2022-04-30
1651298400000,2022-04-30 06:00:00,CUBE/USD,3.6947,3.6981,3.6745,3.6869,352.473106,1299.5330945114,2022-04-30
1651294800000,2022-04-30 05:00:00,CUBE/USD,3.7155,3.7216,3.6878,3.6947,350.425161,1294.7158423467,2022-04-30
1651291200000,2022-04-30 04:00:00,CUBE/USD,3.6945,3.7327,3.677,3.7155,879.593421,3268.1293557255003,2022-04-30
1651287600000,2022-04-30 03:00:00,CUBE/USD,3.7094,3.7094,3.6845,3.6945,761.533268,2813.484658626,2022-04-30
1651284000000,2022-04-30 02:00:00,CUBE/USD,3.7149,3.7507,3.7094,3.7094,841.091431,3119.9445541514,2022-04-30
1651280400000,2022-04-30 01:00:00,CUBE/USD,3.702,3.7159,3.6765,3.7149,1966.405556,7304.9999999844,2022-04-30
1651276800000,2022-04-30 00:00:00,CUBE/USD,3.6957,3.7405,3.6168,3.702,1258.235177,4657.986625254,2022-04-30
