unix,date,symbol,open,high,low,close,Volume DAI,Volume USD,just_date
1651273200000,2022-04-29 23:00:00,DAI/USD,1.00009,1.0001,0.9999,0.99999,1833.276623,1833.25829023377,2022-04-29
1651269600000,2022-04-29 22:00:00,DAI/USD,0.99999,1.0001,0.99999,1.00009,11778.415024,11779.47508135216,2022-04-29
1651266000000,2022-04-29 21:00:00,DAI/USD,0.99963,1.00005,0.99963,0.99999,2912.856909,2912.82778043091,2022-04-29
1651262400000,2022-04-29 20:00:00,DAI/USD,0.99976,1.00008,0.99963,0.99963,8277.632575,8274.56985094725,2022-04-29
1651258800000,2022-04-29 19:00:00,DAI/USD,0.9999,1.0001,0.99971,0.99976,5103.180295,5101.9555317292,2022-04-29
1651255200000,2022-04-29 18:00:00,DAI/USD,0.9999,1.0001,0.9999,0.9999,1007.711537,1007.6107658463,2022-04-29
1651251600000,2022-04-29 17:00:00,DAI/USD,0.99972,1.0001,0.99972,0.9999,1160.432515,1160.3164717485,2022-04-29
1651248000000,2022-04-29 16:00:00,DAI/USD,0.9996,1.0001,0.99955,0.99972,65531.78138,65513.4324812136,2022-04-29
1651244400000,2022-04-29 15:00:00,DAI/USD,0.99979,0.99979,0.99956,0.9996,2099.432159,2098.5923861364,2022-04-29
1651240800000,2022-04-29 14:00:00,DAI/USD,0.9997,0.9998,0.9997,0.99979,542.756822,542.64284306738,2022-04-29
1651237200000,2022-04-29 13:00:00,DAI/USD,0.9997,0.9998,0.99955,0.9997,8820.707074,8818.0608618778,2022-04-29
1651233600000,2022-04-29 12:00:00,DAI/USD,0.9997,0.99981,0.99955,0.9997,2921.400867,2920.5244467399,2022-04-29
1651230000000,2022-04-29 11:00:00,DAI/USD,0.9997,0.9997,0.9997,0.9997,16.741385,16.7363625845,2022-04-29
1651226400000,2022-04-29 10:00:00,DAI/USD,0.99971,0.99981,0.9996,0.9997,366.552286,366.4423203142,2022-04-29
1651222800000,2022-04-29 09:00:00,DAI/USD,0.9997,0.9998,0.99954,0.99971,5174.384365,5172.88379353415,2022-04-29
1651219200000,2022-04-29 08:00:00,DAI/USD,0.9998,0.9998,0.99954,0.9997,33755.229792,33745.1032230624,2022-04-29
1651215600000,2022-04-29 07:00:00,DAI/USD,0.9996,0.9998,0.9996,0.9998,3019.968786,3019.3647922428,2022-04-29
1651212000000,2022-04-29 06:00:00,DAI/USD,0.99984,0.99984,0.99954,0.9996,23888.804345,23879.248823262,2022-04-29
1651208400000,2022-04-29 05:00:00,DAI/USD,0.99984,0.99984,0.99984,0.99984,40.287423,40.28097701232,2022-04-29
1651204800000,2022-04-29 04:00:00,DAI/USD,0.9998,0.99985,0.99971,0.99984,4247.949854,4247.270182023361,2022-04-29
1651201200000,2022-04-29 03:00:00,DAI/USD,0.9998,0.9998,0.9998,0.9998,12.172615,12.170180477,2022-04-29
1651197600000,2022-04-29 02:00:00,DAI/USD,0.9998,0.9998,0.9998,0.9998,3.152252,3.1516215496,2022-04-29
1651194000000,2022-04-29 01:00:00,DAI/USD,0.99981,0.99981,0.9998,0.9998,1.37852,1.378244296,2022-04-29
1651190400000,2022-04-29 00:00:00,DAI/USD,1.00008,1.00008,0.99966,0.99981,47673.527832,47664.46986171192,2022-04-29
