unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD,just_date
1651359600000,2022-04-30 23:00:00,DOGE/USD,0.12988,0.13004,0.12419,0.12759,2040437.867566,260339.46752274595,2022-04-30
1651356000000,2022-04-30 22:00:00,DOGE/USD,0.13139,0.13139,0.12955,0.12988,738676.724448,95939.33297130624,2022-04-30
1651352400000,2022-04-30 21:00:00,DOGE/USD,0.13232,0.13252,0.13135,0.13139,102157.911843,13422.52803705177,2022-04-30
1651348800000,2022-04-30 20:00:00,DOGE/USD,0.13272,0.13272,0.13216,0.13232,43446.206584,5748.802055194879,2022-04-30
1651345200000,2022-04-30 19:00:00,DOGE/USD,0.13163,0.13286,0.13137,0.13272,58494.954824,7763.45040424128,2022-04-30
1651341600000,2022-04-30 18:00:00,DOGE/USD,0.13122,0.13198,0.13099,0.13163,155375.695668,20452.10282077884,2022-04-30
1651338000000,2022-04-30 17:00:00,DOGE/USD,0.13294,0.13298,0.13104,0.13122,114340.23414,15003.7255238508,2022-04-30
1651334400000,2022-04-30 16:00:00,DOGE/USD,0.13328,0.13443,0.13284,0.13294,129005.293097,17149.96366431518,2022-04-30
1651330800000,2022-04-30 15:00:00,DOGE/USD,0.13174,0.1336,0.13126,0.13328,344917.918925,45970.660234324,2022-04-30
1651327200000,2022-04-30 14:00:00,DOGE/USD,0.13381,0.13398,0.13174,0.13174,487108.005004,64171.60857922695,2022-04-30
1651323600000,2022-04-30 13:00:00,DOGE/USD,0.13445,0.13494,0.13356,0.13381,74630.710147,9986.335324770072,2022-04-30
1651320000000,2022-04-30 12:00:00,DOGE/USD,0.13494,0.13528,0.13433,0.13445,47059.211045,6327.110925000249,2022-04-30
1651316400000,2022-04-30 11:00:00,DOGE/USD,0.13499,0.13544,0.1349,0.13494,192208.16869,25936.5702830286,2022-04-30
1651312800000,2022-04-30 10:00:00,DOGE/USD,0.13503,0.13549,0.13481,0.13499,79483.987302,10729.54344589698,2022-04-30
1651309200000,2022-04-30 09:00:00,DOGE/USD,0.13559,0.13559,0.13499,0.13503,54234.382654,7323.26868976962,2022-04-30
1651305600000,2022-04-30 08:00:00,DOGE/USD,0.13539,0.13562,0.13467,0.13559,112618.604799,15269.956624696408,2022-04-30
1651302000000,2022-04-30 07:00:00,DOGE/USD,0.13617,0.13648,0.13533,0.13539,31255.336655,4231.66002972045,2022-04-30
1651298400000,2022-04-30 06:00:00,DOGE/USD,0.13665,0.13665,0.13592,0.13617,177978.109057,24235.279110291693,2022-04-30
1651294800000,2022-04-30 05:00:00,DOGE/USD,0.13545,0.13681,0.13545,0.13665,134403.561307,18366.24665260155,2022-04-30
1651291200000,2022-04-30 04:00:00,DOGE/USD,0.13579,0.13615,0.13519,0.13545,163132.324716,22096.2733827822,2022-04-30
1651287600000,2022-04-30 03:00:00,DOGE/USD,0.13517,0.13589,0.13469,0.13579,102596.936512,13931.63800896448,2022-04-30
1651284000000,2022-04-30 02:00:00,DOGE/USD,0.13585,0.13619,0.13497,0.13517,235123.130994,31781.593616458984,2022-04-30
1651280400000,2022-04-30 01:00:00,DOGE/USD,0.13589,0.13613,0.13532,0.13585,169036.115527,22963.556294342947,2022-04-30
1651276800000,2022-04-30 00:00:00,DOGE/USD,0.13487,0.13617,0.13462,0.13589,443071.801742,60209.02713872038,2022-04-30
