unix,date,symbol,open,high,low,close,Volume DPI,Volume USD,just_date
1651532400000,2022-05-02 23:00:00,DPI/USD,144.07,144.07,144.07,144.07,0.0,0.0,2022-05-02
1651528800000,2022-05-02 22:00:00,DPI/USD,144.07,144.07,144.07,144.07,0.0,0.0,2022-05-02
1651525200000,2022-05-02 21:00:00,DPI/USD,141.92,144.07,141.92,144.07,0.06906,9.9494742,2022-05-02
1651521600000,2022-05-02 20:00:00,DPI/USD,141.92,141.92,141.92,141.92,0.0,0.0,2022-05-02
1651518000000,2022-05-02 19:00:00,DPI/USD,139.49,141.92,139.49,141.92,0.81053,115.0304176,2022-05-02
1651514400000,2022-05-02 18:00:00,DPI/USD,138.99,139.49,138.55,139.49,0.300626,41.93432074,2022-05-02
1651510800000,2022-05-02 17:00:00,DPI/USD,143.07,143.07,138.97,138.99,1.149676,159.79346724,2022-05-02
1651507200000,2022-05-02 16:00:00,DPI/USD,143.19,143.19,142.54,143.07,1.049721,150.18358346999997,2022-05-02
1651503600000,2022-05-02 15:00:00,DPI/USD,143.62,143.86,143.19,143.19,0.273394,39.14728686,2022-05-02
1651500000000,2022-05-02 14:00:00,DPI/USD,146.18,146.18,143.62,143.62,0.00286,0.4107532,2022-05-02
1651496400000,2022-05-02 13:00:00,DPI/USD,146.18,146.18,146.18,146.18,0.0,0.0,2022-05-02
1651492800000,2022-05-02 12:00:00,DPI/USD,146.18,146.18,146.18,146.18,0.0,0.0,2022-05-02
1651489200000,2022-05-02 11:00:00,DPI/USD,146.18,146.18,146.18,146.18,0.0,0.0,2022-05-02
1651485600000,2022-05-02 10:00:00,DPI/USD,146.18,146.18,146.18,146.18,0.0,0.0,2022-05-02
1651482000000,2022-05-02 09:00:00,DPI/USD,146.18,146.18,146.18,146.18,0.0,0.0,2022-05-02
1651478400000,2022-05-02 08:00:00,DPI/USD,146.18,146.18,146.18,146.18,0.0,0.0,2022-05-02
1651474800000,2022-05-02 07:00:00,DPI/USD,146.18,146.18,146.18,146.18,0.0,0.0,2022-05-02
1651471200000,2022-05-02 06:00:00,DPI/USD,146.18,146.18,146.18,146.18,0.0,0.0,2022-05-02
1651467600000,2022-05-02 05:00:00,DPI/USD,145.64,146.18,145.64,146.18,0.660291,96.52133838,2022-05-02
1651464000000,2022-05-02 04:00:00,DPI/USD,145.64,145.64,145.64,145.64,0.0,0.0,2022-05-02
1651460400000,2022-05-02 03:00:00,DPI/USD,144.88,145.64,144.88,145.64,3.028557,441.07904148,2022-05-02
1651456800000,2022-05-02 02:00:00,DPI/USD,146.5,146.5,144.88,144.88,0.059473,8.616448239999999,2022-05-02
1651453200000,2022-05-02 01:00:00,DPI/USD,147.51,147.51,146.5,146.5,1.060824,155.410716,2022-05-02
1651449600000,2022-05-02 00:00:00,DPI/USD,146.15,147.51,146.15,147.51,0.27267,40.2215517,2022-05-02
