unix,date,symbol,open,high,low,close,Volume ENJ,Volume USD,just_date
1651273200000,2022-04-29 23:00:00,ENJ/USD,1.2046,1.2154,1.2012,1.2079,1480.431707,1788.2134588852998,2022-04-29
1651269600000,2022-04-29 22:00:00,ENJ/USD,1.191,1.2056,1.1874,1.2046,3073.791166,3702.6888385636,2022-04-29
1651266000000,2022-04-29 21:00:00,ENJ/USD,1.194,1.1977,1.188,1.191,4860.299113,5788.616243583,2022-04-29
1651262400000,2022-04-29 20:00:00,ENJ/USD,1.1884,1.1966,1.1884,1.194,17022.136694,20324.431212636,2022-04-29
1651258800000,2022-04-29 19:00:00,ENJ/USD,1.2035,1.2094,1.1769,1.1884,23772.470458,28251.2038922872,2022-04-29
1651255200000,2022-04-29 18:00:00,ENJ/USD,1.2231,1.2236,1.2,1.2035,6722.441653,8090.4585293855,2022-04-29
1651251600000,2022-04-29 17:00:00,ENJ/USD,1.2207,1.2273,1.212,1.2231,11557.564722,14136.0574114782,2022-04-29
1651248000000,2022-04-29 16:00:00,ENJ/USD,1.2377,1.2394,1.2168,1.2207,5913.653438,7218.796751766599,2022-04-29
1651244400000,2022-04-29 15:00:00,ENJ/USD,1.2377,1.2432,1.2344,1.2377,1971.801351,2440.4985321327003,2022-04-29
1651240800000,2022-04-29 14:00:00,ENJ/USD,1.2544,1.2553,1.2323,1.2377,467.104761,578.1355626897,2022-04-29
1651237200000,2022-04-29 13:00:00,ENJ/USD,1.2478,1.2546,1.2435,1.2544,349.530281,438.4507844864,2022-04-29
1651233600000,2022-04-29 12:00:00,ENJ/USD,1.2417,1.2535,1.2358,1.2478,1760.719235,2197.025461433,2022-04-29
1651230000000,2022-04-29 11:00:00,ENJ/USD,1.2382,1.2444,1.2374,1.2417,2248.10438,2791.4712086460004,2022-04-29
1651226400000,2022-04-29 10:00:00,ENJ/USD,1.2646,1.2646,1.2263,1.2382,11947.574068,14793.4862109976,2022-04-29
1651222800000,2022-04-29 09:00:00,ENJ/USD,1.275,1.275,1.2632,1.2646,246.546793,311.7830744278,2022-04-29
1651219200000,2022-04-29 08:00:00,ENJ/USD,1.2862,1.2906,1.275,1.275,752.036934,958.84709085,2022-04-29
1651215600000,2022-04-29 07:00:00,ENJ/USD,1.2827,1.2876,1.2782,1.2862,391.504661,503.5532949782,2022-04-29
1651212000000,2022-04-29 06:00:00,ENJ/USD,1.2729,1.2831,1.2721,1.2827,4243.527751,5443.173046207699,2022-04-29
1651208400000,2022-04-29 05:00:00,ENJ/USD,1.273,1.2805,1.2711,1.2729,20816.45189,26497.261610781,2022-04-29
1651204800000,2022-04-29 04:00:00,ENJ/USD,1.2675,1.276,1.2608,1.273,1633.431387,2079.358155651,2022-04-29
1651201200000,2022-04-29 03:00:00,ENJ/USD,1.266,1.2748,1.266,1.2675,665.325179,843.2996643825,2022-04-29
1651197600000,2022-04-29 02:00:00,ENJ/USD,1.2911,1.2956,1.266,1.266,925.538392,1171.731604272,2022-04-29
1651194000000,2022-04-29 01:00:00,ENJ/USD,1.2994,1.3018,1.2911,1.2911,448.945153,579.6330870383,2022-04-29
1651190400000,2022-04-29 00:00:00,ENJ/USD,1.2974,1.3004,1.2917,1.2994,1831.445411,2379.7801670534,2022-04-29
