unix,date,symbol,open,high,low,close,Volume ENS,Volume USD,just_date
1651532400000,2022-05-02 23:00:00,ENS/USD,26.316,26.391,25.631,26.045,180.903544,4711.632803480001,2022-05-02
1651528800000,2022-05-02 22:00:00,ENS/USD,26.288,26.71,25.976,26.316,199.670384,5254.525825344,2022-05-02
1651525200000,2022-05-02 21:00:00,ENS/USD,25.798,26.602,25.56,26.288,1488.31158,39124.73481504,2022-05-02
1651521600000,2022-05-02 20:00:00,ENS/USD,24.682,26.891,24.682,25.798,552.61065,14256.249548699998,2022-05-02
1651518000000,2022-05-02 19:00:00,ENS/USD,23.102,25.119,23.102,24.682,422.968022,10439.696719004,2022-05-02
1651514400000,2022-05-02 18:00:00,ENS/USD,23.171,23.225,22.92,23.102,160.352684,3704.467705768,2022-05-02
1651510800000,2022-05-02 17:00:00,ENS/USD,22.964,23.523,22.964,23.171,273.109264,6328.214756144,2022-05-02
1651507200000,2022-05-02 16:00:00,ENS/USD,22.785,23.271,22.578,22.964,215.55438,4949.99078232,2022-05-02
1651503600000,2022-05-02 15:00:00,ENS/USD,23.542,23.589,22.751,22.785,197.149787,4492.0578967950005,2022-05-02
1651500000000,2022-05-02 14:00:00,ENS/USD,24.067,24.139,23.542,23.542,513.458463,12087.839135946002,2022-05-02
1651496400000,2022-05-02 13:00:00,ENS/USD,23.322,24.386,23.322,24.067,5970.687755,143696.542199585,2022-05-02
1651492800000,2022-05-02 12:00:00,ENS/USD,23.099,23.852,22.99,23.322,5230.379742,121982.916342924,2022-05-02
1651489200000,2022-05-02 11:00:00,ENS/USD,24.817,24.817,23.099,23.099,410.517909,9482.553179991,2022-05-02
1651485600000,2022-05-02 10:00:00,ENS/USD,24.143,25.061,24.143,24.817,158.576078,3935.382527726,2022-05-02
1651482000000,2022-05-02 09:00:00,ENS/USD,24.034,24.509,23.976,24.143,33.262472,803.055861496,2022-05-02
1651478400000,2022-05-02 08:00:00,ENS/USD,23.976,24.233,23.714,24.034,54.736473,1315.5363920819998,2022-05-02
1651474800000,2022-05-02 07:00:00,ENS/USD,24.217,25.256,23.976,23.976,186.565012,4473.082727712,2022-05-02
1651471200000,2022-05-02 06:00:00,ENS/USD,23.976,24.509,23.698,24.217,498.429598,12070.469574766,2022-05-02
1651467600000,2022-05-02 05:00:00,ENS/USD,24.067,24.143,23.5,23.976,458.0329,10981.7968104,2022-05-02
1651464000000,2022-05-02 04:00:00,ENS/USD,23.919,24.067,23.5,24.067,97.359671,2343.1552019570004,2022-05-02
1651460400000,2022-05-02 03:00:00,ENS/USD,24.022,24.386,23.856,23.919,324.162432,7753.641211008001,2022-05-02
1651456800000,2022-05-02 02:00:00,ENS/USD,23.876,24.624,23.698,24.022,1732.528739,41618.805368258,2022-05-02
1651453200000,2022-05-02 01:00:00,ENS/USD,25.286,25.304,23.876,23.876,1458.888159,34832.413684284,2022-05-02
1651449600000,2022-05-02 00:00:00,ENS/USD,24.372,25.316,23.737,25.286,1579.886547,39949.011227442,2022-05-02
