unix,date,symbol,open,high,low,close,Volume MPL,Volume USD,just_date
1651273200000,2022-04-29 23:00:00,MPL/USD,50.341,51.942,50.341,51.503,34.203244,1761.569675732,2022-04-29
1651269600000,2022-04-29 22:00:00,MPL/USD,50.733,50.733,50.341,50.341,24.915395,1254.265899695,2022-04-29
1651266000000,2022-04-29 21:00:00,MPL/USD,49.579,50.733,49.579,50.733,1.380291,70.02630330299999,2022-04-29
1651262400000,2022-04-29 20:00:00,MPL/USD,49.746,49.746,49.529,49.579,36.411474,1805.244469446,2022-04-29
1651258800000,2022-04-29 19:00:00,MPL/USD,49.999,50.299,49.746,49.746,0.772864,38.446892544,2022-04-29
1651255200000,2022-04-29 18:00:00,MPL/USD,49.867,50.259,49.494,49.999,196.517257,9825.666332743,2022-04-29
1651251600000,2022-04-29 17:00:00,MPL/USD,49.82,50.112,49.82,49.867,20.952351,1044.830887317,2022-04-29
1651248000000,2022-04-29 16:00:00,MPL/USD,49.575,49.827,49.558,49.82,35.178575,1752.5966065,2022-04-29
1651244400000,2022-04-29 15:00:00,MPL/USD,49.74,49.74,49.215,49.575,338.836564,16797.8226603,2022-04-29
1651240800000,2022-04-29 14:00:00,MPL/USD,49.887,50.224,49.603,49.74,151.132371,7517.324133540001,2022-04-29
1651237200000,2022-04-29 13:00:00,MPL/USD,50.183,50.183,49.792,49.887,106.56689,5316.30244143,2022-04-29
1651233600000,2022-04-29 12:00:00,MPL/USD,50.133,50.257,49.939,50.183,1.185897,59.511869151,2022-04-29
1651230000000,2022-04-29 11:00:00,MPL/USD,50.261,50.64,50.133,50.133,32.216473,1615.108440909,2022-04-29
1651226400000,2022-04-29 10:00:00,MPL/USD,50.078,50.261,50.005,50.261,51.137567,2570.225254987,2022-04-29
1651222800000,2022-04-29 09:00:00,MPL/USD,50.084,50.498,50.078,50.078,183.316425,9180.11993115,2022-04-29
1651219200000,2022-04-29 08:00:00,MPL/USD,50.802,50.802,50.052,50.084,214.799654,10758.025870936,2022-04-29
1651215600000,2022-04-29 07:00:00,MPL/USD,50.645,50.803,50.551,50.802,79.216207,4024.341748014,2022-04-29
1651212000000,2022-04-29 06:00:00,MPL/USD,50.025,51.125,50.025,50.645,100.675463,5098.708823635,2022-04-29
1651208400000,2022-04-29 05:00:00,MPL/USD,48.808,50.038,48.808,50.025,288.881746,14451.30934365,2022-04-29
1651204800000,2022-04-29 04:00:00,MPL/USD,48.904,48.904,48.733,48.808,2.254819,110.053205752,2022-04-29
1651201200000,2022-04-29 03:00:00,MPL/USD,48.987,48.987,48.48,48.904,86.859867,4247.794935768,2022-04-29
1651197600000,2022-04-29 02:00:00,MPL/USD,48.966,48.987,48.098,48.987,105.002335,5143.749384645001,2022-04-29
1651194000000,2022-04-29 01:00:00,MPL/USD,48.767,48.966,48.767,48.966,7.221611,353.613404226,2022-04-29
1651190400000,2022-04-29 00:00:00,MPL/USD,49.19,49.19,48.755,48.767,9.462992,461.481730864,2022-04-29
