unix,date,symbol,open,high,low,close,Volume BCH,Volume USD,just_date
1651276740,2022-04-29 23:59:00,BCH/USD,294.84,294.84,294.84,294.84,0.166,48.94344,2022-04-29
1651276680,2022-04-29 23:58:00,BCH/USD,295.02,295.02,295.02,295.02,0.913,269.35326,2022-04-29
1651276620,2022-04-29 23:57:00,BCH/USD,294.71,294.71,294.71,294.71,0.0,0.0,2022-04-29
1651276560,2022-04-29 23:56:00,BCH/USD,294.71,294.71,294.71,294.71,0.0,0.0,2022-04-29
1651276500,2022-04-29 23:55:00,BCH/USD,294.71,294.71,294.71,294.71,0.0,0.0,2022-04-29
1651276440,2022-04-29 23:54:00,BCH/USD,294.71,294.71,294.71,294.71,0.0,0.0,2022-04-29
1651276380,2022-04-29 23:53:00,BCH/USD,294.71,294.71,294.71,294.71,0.0,0.0,2022-04-29
1651276320,2022-04-29 23:52:00,BCH/USD,294.71,294.71,294.71,294.71,0.144,42.43823999999999,2022-04-29
1651276260,2022-04-29 23:51:00,BCH/USD,294.91,294.91,294.91,294.91,0.0,0.0,2022-04-29
1651276200,2022-04-29 23:50:00,BCH/USD,294.91,294.91,294.91,294.91,0.0,0.0,2022-04-29
1651276140,2022-04-29 23:49:00,BCH/USD,294.91,294.91,294.91,294.91,0.0,0.0,2022-04-29
1651276080,2022-04-29 23:48:00,BCH/USD,294.91,294.91,294.91,294.91,0.0,0.0,2022-04-29
1651276020,2022-04-29 23:47:00,BCH/USD,294.91,294.91,294.91,294.91,0.0,0.0,2022-04-29
1651275960,2022-04-29 23:46:00,BCH/USD,294.91,294.91,294.91,294.91,0.0,0.0,2022-04-29
1651275900,2022-04-29 23:45:00,BCH/USD,294.91,294.91,294.91,294.91,0.0,0.0,2022-04-29
1651275840,2022-04-29 23:44:00,BCH/USD,294.91,294.91,294.91,294.91,0.0,0.0,2022-04-29
1651275780,2022-04-29 23:43:00,BCH/USD,294.91,294.91,294.91,294.91,0.0,0.0,2022-04-29
1651275720,2022-04-29 23:42:00,BCH/USD,294.91,294.91,294.91,294.91,0.175,51.60925,2022-04-29
1651275660,2022-04-29 23:41:00,BCH/USD,294.13,294.13,294.13,294.13,0.081,23.82453,2022-04-29
1651275600,2022-04-29 23:40:00,BCH/USD,294.16,294.17,294.16,294.17,4.14,1217.8638,2022-04-29
1651275540,2022-04-29 23:39:00,BCH/USD,294.05,294.05,294.05,294.05,0.0,0.0,2022-04-29
1651275480,2022-04-29 23:38:00,BCH/USD,294.05,294.05,294.05,294.05,0.0,0.0,2022-04-29
1651275420,2022-04-29 23:37:00,BCH/USD,294.05,294.05,294.05,294.05,0.0,0.0,2022-04-29
1651275360,2022-04-29 23:36:00,BCH/USD,294.05,294.05,294.05,294.05,0.0,0.0,2022-04-29
1651275300,2022-04-29 23:35:00,BCH/USD,294.05,294.05,294.05,294.05,0.205,60.28025,2022-04-29
1651275240,2022-04-29 23:34:00,BCH/USD,293.97,293.97,293.97,293.97,0.0,0.0,2022-04-29
1651275180,2022-04-29 23:33:00,BCH/USD,293.89,293.97,293.89,293.97,1.954,574.4173800000001,2022-04-29
1651275120,2022-04-29 23:32:00,BCH/USD,293.68,293.68,293.68,293.68,0.0,0.0,2022-04-29
1651275060,2022-04-29 23:31:00,BCH/USD,293.54,293.68,293.54,293.68,4.853,1425.22904,2022-04-29
1651275000,2022-04-29 23:30:00,BCH/USD,293.56,293.56,293.56,293.56,31.6,9276.496,2022-04-29
1651274940,2022-04-29 23:29:00,BCH/USD,294.43,294.43,294.43,294.43,0.0,0.0,2022-04-29
1651274880,2022-04-29 23:28:00,BCH/USD,294.43,294.43,294.43,294.43,0.144,42.39792,2022-04-29
1651274820,2022-04-29 23:27:00,BCH/USD,294.14,294.2,294.14,294.2,28.1,8267.02,2022-04-29
1651274760,2022-04-29 23:26:00,BCH/USD,294.46,294.46,294.43,294.43,53.3747177,15715.118132411,2022-04-29
1651274700,2022-04-29 23:25:00,BCH/USD,294.53,294.53,294.53,294.53,0.0,0.0,2022-04-29
1651274640,2022-04-29 23:24:00,BCH/USD,294.53,294.53,294.53,294.53,0.0,0.0,2022-04-29
1651274580,2022-04-29 23:23:00,BCH/USD,294.53,294.53,294.53,294.53,0.193,56.84429,2022-04-29
1651274520,2022-04-29 23:22:00,BCH/USD,294.37,294.46,294.37,294.46,0.555,163.4253,2022-04-29
1651274460,2022-04-29 23:21:00,BCH/USD,294.93,294.93,294.71,294.71,0.808,238.12568,2022-04-29
1651274400,2022-04-29 23:20:00,BCH/USD,295.17,295.17,295.17,295.17,0.912,269.19504,2022-04-29
1651274340,2022-04-29 23:19:00,BCH/USD,295.54,295.54,295.54,295.54,0.0,0.0,2022-04-29
1651274280,2022-04-29 23:18:00,BCH/USD,295.54,295.54,295.54,295.54,0.081,23.938740000000003,2022-04-29
1651274220,2022-04-29 23:17:00,BCH/USD,296.04,296.04,296.04,296.04,0.0,0.0,2022-04-29
1651274160,2022-04-29 23:16:00,BCH/USD,296.04,296.04,296.04,296.04,0.0,0.0,2022-04-29
1651274100,2022-04-29 23:15:00,BCH/USD,296.04,296.04,296.04,296.04,0.0,0.0,2022-04-29
