unix,date,symbol,open,high,low,close,Volume BTC,Volume USD,just_date
1651276740,2022-04-29 23:59:00,BTC/USD,38576.22,38593.42,38576.22,38593.42,0.04129709,1593.7959391478,2022-04-29
1651276680,2022-04-29 23:58:00,BTC/USD,38594.79,38597.42,38569.86,38576.22,0.58826161,22692.9092849142,2022-04-29
1651276620,2022-04-29 23:57:00,BTC/USD,38596.95,38606.59,38574.25,38606.41,0.48983853,18910.9071229773,2022-04-29
1651276560,2022-04-29 23:56:00,BTC/USD,38596.49,38596.53,38595.01,38595.01,0.17184051,6632.1862018551,2022-04-29
1651276500,2022-04-29 23:55:00,BTC/USD,38581.41,38595.28,38578.91,38591.3,0.03454106,1332.984408778,2022-04-29
1651276440,2022-04-29 23:54:00,BTC/USD,38596.95,38596.95,38590.82,38590.82,0.07646986,2951.0346026852,2022-04-29
1651276380,2022-04-29 23:53:00,BTC/USD,38587.92,38589.38,38587.92,38589.38,0.01172,452.2675336,2022-04-29
1651276320,2022-04-29 23:52:00,BTC/USD,38588.72,38593.61,38585.46,38585.46,0.05489,2117.9558994,2022-04-29
1651276260,2022-04-29 23:51:00,BTC/USD,38588.34,38588.72,38579.1,38588.72,0.05148717,1986.8239867224,2022-04-29
1651276200,2022-04-29 23:50:00,BTC/USD,38602.8,38603.16,38587.21,38587.21,0.02999954,1157.5985498834,2022-04-29
1651276140,2022-04-29 23:49:00,BTC/USD,38603.16,38603.16,38602.86,38602.86,0.03483,1344.5376138,2022-04-29
1651276080,2022-04-29 23:48:00,BTC/USD,38597.01,38610.75,38586.34,38597.1,0.75728925,29229.168911175,2022-04-29
1651276020,2022-04-29 23:47:00,BTC/USD,38629.37,38632.96,38597.48,38616.98,1.32524,51176.7665752,2022-04-29
1651275960,2022-04-29 23:46:00,BTC/USD,38662.92,38662.92,38625.01,38644.55,0.77542164,29965.820338062003,2022-04-29
1651275900,2022-04-29 23:45:00,BTC/USD,38642.37,38662.92,38624.81,38662.92,1.21896863,47128.8866241996,2022-04-29
1651275840,2022-04-29 23:44:00,BTC/USD,38656.51,38658.64,38643.26,38643.26,0.57947,22392.6098722,2022-04-29
1651275780,2022-04-29 23:43:00,BTC/USD,38641.18,38661.63,38641.18,38661.59,0.00751289,290.4602728951,2022-04-29
1651275720,2022-04-29 23:42:00,BTC/USD,38653.65,38662.92,38637.27,38637.27,2.11534167,81731.02724604089,2022-04-29
1651275660,2022-04-29 23:41:00,BTC/USD,38621.13,38653.65,38600.67,38653.65,1.84052,71142.815898,2022-04-29
1651275600,2022-04-29 23:40:00,BTC/USD,38626.03,38626.67,38599.07,38618.56,1.3616235,52583.93883216,2022-04-29
1651275540,2022-04-29 23:39:00,BTC/USD,38629.07,38633.96,38598.87,38633.96,1.27738132,49350.2988216272,2022-04-29
1651275480,2022-04-29 23:38:00,BTC/USD,38637.33,38647.52,38620.6,38628.77,0.59689785,23057.429761144496,2022-04-29
1651275420,2022-04-29 23:37:00,BTC/USD,38644.53,38644.53,38644.53,38644.53,0.00947,365.9636991,2022-04-29
1651275360,2022-04-29 23:36:00,BTC/USD,38649.29,38649.39,38649.29,38649.39,0.01056,408.1375584,2022-04-29
1651275300,2022-04-29 23:35:00,BTC/USD,38635.43,38643.43,38624.71,38642.64,0.43000173,16616.4020517672,2022-04-29
1651275240,2022-04-29 23:34:00,BTC/USD,38653.28,38653.28,38637.6,38637.6,0.05511,2129.318136,2022-04-29
1651275180,2022-04-29 23:33:00,BTC/USD,38640.93,38640.93,38631.63,38637.53,0.05439,2101.4952567,2022-04-29
1651275120,2022-04-29 23:32:00,BTC/USD,38617.37,38630.22,38613.63,38630.22,0.0303,1170.495666,2022-04-29
1651275060,2022-04-29 23:31:00,BTC/USD,38580.62,38608.51,38580.62,38608.51,0.03606431,1392.3892732781,2022-04-29
1651275000,2022-04-29 23:30:00,BTC/USD,38592.08,38592.08,38589.35,38589.35,0.00514,198.349259,2022-04-29
1651274940,2022-04-29 23:29:00,BTC/USD,38598.47,38603.94,38598.47,38598.47,0.01809061,698.2698673667,2022-04-29
1651274880,2022-04-29 23:28:00,BTC/USD,38613.39,38617.4,38613.39,38617.4,0.05643,2179.179882,2022-04-29
1651274820,2022-04-29 23:27:00,BTC/USD,38589.27,38614.83,38584.1,38594.57,0.08719517,3365.2600922269003,2022-04-29
1651274760,2022-04-29 23:26:00,BTC/USD,38620.54,38620.54,38603.07,38603.07,2.27227077,87716.6275932639,2022-04-29
1651274700,2022-04-29 23:25:00,BTC/USD,38612.63,38612.63,38612.63,38612.63,0.00227,87.65067009999999,2022-04-29
1651274640,2022-04-29 23:24:00,BTC/USD,38623.49,38632.48,38623.49,38627.91,0.06961117,2688.9340097547,2022-04-29
1651274580,2022-04-29 23:23:00,BTC/USD,38604.5,38636.53,38604.5,38636.53,0.18151845,7013.2430389785,2022-04-29
1651274520,2022-04-29 23:22:00,BTC/USD,38574.3,38608.81,38574.3,38604.52,0.03327096,1284.4094407392,2022-04-29
1651274460,2022-04-29 23:21:00,BTC/USD,38616.91,38616.91,38567.36,38568.14,0.00987,380.6675418,2022-04-29
1651274400,2022-04-29 23:20:00,BTC/USD,38608.62,38616.93,38602.82,38616.91,0.51559194,19910.5675437054,2022-04-29
1651274340,2022-04-29 23:19:00,BTC/USD,38624.76,38627.03,38624.76,38627.03,0.01253,483.9966859,2022-04-29
1651274280,2022-04-29 23:18:00,BTC/USD,38625.73,38625.73,38625.73,38625.73,0.0,0.0,2022-04-29
1651274220,2022-04-29 23:17:00,BTC/USD,38633.59,38633.59,38611.34,38625.73,1.16813614,45120.111146882206,2022-04-29
1651274160,2022-04-29 23:16:00,BTC/USD,38653.65,38653.65,38635.43,38635.43,0.09881,3817.5668383,2022-04-29
1651274100,2022-04-29 23:15:00,BTC/USD,38644.09,38650.0,38644.09,38650.0,17.93932221,693354.8034165,2022-04-29
1651274040,2022-04-29 23:14:00,BTC/USD,38642.33,38650.0,38642.33,38650.0,0.05326014,2058.504411,2022-04-29
1651273980,2022-04-29 23:13:00,BTC/USD,38641.39,38643.77,38634.31,38634.31,0.00922,356.2083382,2022-04-29
1651273920,2022-04-29 23:12:00,BTC/USD,38629.8,38647.21,38628.74,38647.21,0.03143,1214.6818103,2022-04-29
1651273860,2022-04-29 23:11:00,BTC/USD,38629.89,38629.89,38629.26,38629.26,0.26284053,10153.335171907802,2022-04-29
1651273800,2022-04-29 23:10:00,BTC/USD,38632.06,38632.06,38624.24,38624.24,0.00822,317.4912528,2022-04-29
1651273740,2022-04-29 23:09:00,BTC/USD,38637.18,38637.18,38632.03,38635.28,0.4664436,18021.179090208,2022-04-29
1651273680,2022-04-29 23:08:00,BTC/USD,38625.1,38637.18,38625.1,38637.14,0.01912459,738.9194612726,2022-04-29
1651273620,2022-04-29 23:07:00,BTC/USD,38623.56,38625.1,38623.56,38625.1,0.00978,377.753478,2022-04-29
