unix,date,symbol,open,high,low,close,Volume XRP,Volume USD,just_date
1651363140,2022-04-30 23:59:00,XRP/USD,0.58509,0.58509,0.58509,0.58509,82.46,48.2465214,2022-04-30
1651363080,2022-04-30 23:58:00,XRP/USD,0.58573,0.58573,0.58573,0.58573,0.0,0.0,2022-04-30
1651363020,2022-04-30 23:57:00,XRP/USD,0.58556,0.58573,0.58534,0.58573,4797.17006447,2809.8464218620134,2022-04-30
1651362960,2022-04-30 23:56:00,XRP/USD,0.58514,0.58514,0.58514,0.58514,2000.0,1170.28,2022-04-30
1651362900,2022-04-30 23:55:00,XRP/USD,0.58612,0.58612,0.58548,0.58584,82773.95960672,48492.29649600085,2022-04-30
1651362840,2022-04-30 23:54:00,XRP/USD,0.58641,0.58641,0.58641,0.58641,2000.0,1172.82,2022-04-30
1651362780,2022-04-30 23:53:00,XRP/USD,0.58894,0.58917,0.58748,0.58813,104451.21518404,61430.89318618945,2022-04-30
1651362720,2022-04-30 23:52:00,XRP/USD,0.58891,0.58891,0.58891,0.58891,2150.0,1266.1565,2022-04-30
1651362660,2022-04-30 23:51:00,XRP/USD,0.58746,0.58901,0.58746,0.58901,158354.23278905,93272.22665507835,2022-04-30
1651362600,2022-04-30 23:50:00,XRP/USD,0.58421,0.58597,0.58347,0.58597,16623.8150046,9741.056878245465,2022-04-30
1651362540,2022-04-30 23:49:00,XRP/USD,0.58508,0.58508,0.58508,0.58508,1000.0,585.08,2022-04-30
1651362480,2022-04-30 23:48:00,XRP/USD,0.58493,0.58536,0.58463,0.58463,19260.20486342,11260.093569301234,2022-04-30
1651362420,2022-04-30 23:47:00,XRP/USD,0.58513,0.58553,0.58513,0.58531,20215.43738531,11832.297655995795,2022-04-30
1651362360,2022-04-30 23:46:00,XRP/USD,0.58647,0.58647,0.58647,0.58647,0.0,0.0,2022-04-30
1651362300,2022-04-30 23:45:00,XRP/USD,0.58647,0.58647,0.58647,0.58647,4300.0,2521.8210000000004,2022-04-30
1651362240,2022-04-30 23:44:00,XRP/USD,0.58584,0.58735,0.58584,0.58643,32268.38961084,18923.1517194849,2022-04-30
1651362180,2022-04-30 23:43:00,XRP/USD,0.5865,0.58684,0.5865,0.58667,8219.08394341,4821.889977080345,2022-04-30
1651362120,2022-04-30 23:42:00,XRP/USD,0.58686,0.58686,0.58581,0.58613,21644.3021254,12686.374804760704,2022-04-30
1651362060,2022-04-30 23:41:00,XRP/USD,0.58431,0.5876,0.58431,0.58683,28513.58192159,16732.62527904666,2022-04-30
1651362000,2022-04-30 23:40:00,XRP/USD,0.58359,0.58359,0.58359,0.58359,0.0,0.0,2022-04-30
1651361940,2022-04-30 23:39:00,XRP/USD,0.58346,0.58359,0.58346,0.58359,61874.69421525,36109.45279707775,2022-04-30
1651361880,2022-04-30 23:38:00,XRP/USD,0.5844,0.5844,0.5844,0.5844,2299.73080082,1343.962679999208,2022-04-30
1651361820,2022-04-30 23:37:00,XRP/USD,0.5812,0.58391,0.5812,0.58391,6150.0,3591.0465000000004,2022-04-30
1651361760,2022-04-30 23:36:00,XRP/USD,0.58171,0.58183,0.58117,0.58117,11446.89687304,6652.593055704656,2022-04-30
1651361700,2022-04-30 23:35:00,XRP/USD,0.58279,0.58279,0.58139,0.58158,63882.58881277,37152.83600173078,2022-04-30
1651361640,2022-04-30 23:34:00,XRP/USD,0.5834,0.58379,0.58201,0.58223,6248.52115823,3638.076473956253,2022-04-30
1651361580,2022-04-30 23:33:00,XRP/USD,0.58551,0.58551,0.58411,0.58474,12781.55315275,7473.885390539036,2022-04-30
1651361520,2022-04-30 23:32:00,XRP/USD,0.58738,0.58738,0.58738,0.58738,0.0,0.0,2022-04-30
1651361460,2022-04-30 23:31:00,XRP/USD,0.58658,0.58794,0.58658,0.58738,16205.9233492,9519.035256853096,2022-04-30
1651361400,2022-04-30 23:30:00,XRP/USD,0.58244,0.58546,0.58244,0.58546,15541.53215616,9098.945416145432,2022-04-30
1651361340,2022-04-30 23:29:00,XRP/USD,0.5833,0.5833,0.5833,0.5833,100.0,58.330000000000005,2022-04-30
1651361280,2022-04-30 23:28:00,XRP/USD,0.58308,0.58308,0.58308,0.58308,783.338566,456.74905106328,2022-04-30
1651361220,2022-04-30 23:27:00,XRP/USD,0.58289,0.58339,0.58289,0.58339,19947.20148311,11636.99787323154,2022-04-30
1651361160,2022-04-30 23:26:00,XRP/USD,0.58212,0.58212,0.58212,0.58212,8594.58161996,5003.077852611114,2022-04-30
1651361100,2022-04-30 23:25:00,XRP/USD,0.58296,0.58323,0.58201,0.5822,69744.05068109,40604.9863065306,2022-04-30
1651361040,2022-04-30 23:24:00,XRP/USD,0.58525,0.58544,0.58371,0.58417,27625.78752734,16138.156299846209,2022-04-30
1651360980,2022-04-30 23:23:00,XRP/USD,0.58652,0.58701,0.58393,0.58445,74718.4281063,43669.18530672704,2022-04-30
1651360920,2022-04-30 23:22:00,XRP/USD,0.58319,0.58645,0.58257,0.58645,133327.46397556,78189.89124846717,2022-04-30
1651360860,2022-04-30 23:21:00,XRP/USD,0.58217,0.58335,0.58088,0.58286,20497.73573143,11947.31024842129,2022-04-30
1651360800,2022-04-30 23:20:00,XRP/USD,0.58456,0.58456,0.58321,0.58423,39238.4069222,22924.254476156908,2022-04-30
1651360740,2022-04-30 23:19:00,XRP/USD,0.58708,0.58708,0.5844,0.5844,11026.518813,6443.897594317201,2022-04-30
1651360680,2022-04-30 23:18:00,XRP/USD,0.58773,0.58867,0.58628,0.58659,26616.70748599,15613.094444206872,2022-04-30
1651360620,2022-04-30 23:17:00,XRP/USD,0.58374,0.58701,0.58343,0.58701,24212.49165187,14212.97472456421,2022-04-30
1651360560,2022-04-30 23:16:00,XRP/USD,0.58454,0.58556,0.5839,0.5848,35822.22391748,20948.8365469423,2022-04-30
1651360500,2022-04-30 23:15:00,XRP/USD,0.58476,0.58608,0.58272,0.58272,11759.34791433,6852.407216638378,2022-04-30
1651360440,2022-04-30 23:14:00,XRP/USD,0.58294,0.58376,0.58157,0.58157,168228.82999074,97836.84065771468,2022-04-30
1651360380,2022-04-30 23:13:00,XRP/USD,0.57817,0.58301,0.57817,0.58301,35013.19419176,20413.042345738,2022-04-30
1651360320,2022-04-30 23:12:00,XRP/USD,0.57428,0.57732,0.57428,0.57732,30406.38764683,17554.215716267896,2022-04-30
1651360260,2022-04-30 23:11:00,XRP/USD,0.57333,0.57425,0.57184,0.57276,183711.50974857,105222.60432359096,2022-04-30
1651360200,2022-04-30 23:10:00,XRP/USD,0.57339,0.58953,0.57239,0.57404,197925.15899079,113616.95826707307,2022-04-30
1651360140,2022-04-30 23:09:00,XRP/USD,0.56685,0.57348,0.56664,0.5724,68295.86976889,39092.55585571264,2022-04-30
1651360080,2022-04-30 23:08:00,XRP/USD,0.56669,0.57369,0.56646,0.56742,186164.62331201,105633.53055970072,2022-04-30
1651360020,2022-04-30 23:07:00,XRP/USD,0.581,0.58289,0.56673,0.56746,956210.75248247,542611.3536037024,2022-04-30
1651359960,2022-04-30 23:06:00,XRP/USD,0.58823,0.58894,0.58,0.58042,934888.3272212,542627.882885729,2022-04-30
1651359900,2022-04-30 23:05:00,XRP/USD,0.59204,0.59255,0.5888,0.58959,60208.12761758,35498.10996204899,2022-04-30
1651359840,2022-04-30 23:04:00,XRP/USD,0.60005,0.60106,0.59236,0.5928,142410.13935506,84420.73060967957,2022-04-30
1651359780,2022-04-30 23:03:00,XRP/USD,0.602,0.602,0.602,0.602,0.0,0.0,2022-04-30
1651359720,2022-04-30 23:02:00,XRP/USD,0.60401,0.60401,0.602,0.602,299.5011111,180.2996688822,2022-04-30
1651359660,2022-04-30 23:01:00,XRP/USD,0.60699,0.60699,0.60699,0.60699,118.11800699,71.6964490628601,2022-04-30
1651359600,2022-04-30 23:00:00,XRP/USD,0.6054,0.6054,0.6054,0.6054,0.0,0.0,2022-04-30
1651359540,2022-04-30 22:59:00,XRP/USD,0.6054,0.6054,0.6054,0.6054,2150.0,1301.61,2022-04-30
1651359480,2022-04-30 22:58:00,XRP/USD,0.60568,0.60568,0.60538,0.60545,7740.0,4686.183,2022-04-30
1651359420,2022-04-30 22:57:00,XRP/USD,0.60517,0.60534,0.60429,0.60464,206847.34413219,125068.17815608736,2022-04-30
1651359360,2022-04-30 22:56:00,XRP/USD,0.60697,0.60697,0.60541,0.60541,12749.96368598,7718.955515129151,2022-04-30
1651359300,2022-04-30 22:55:00,XRP/USD,0.60731,0.6076,0.60708,0.6076,11263.4904154,6843.69677639704,2022-04-30
1651359240,2022-04-30 22:54:00,XRP/USD,0.60828,0.60828,0.60828,0.60828,3010.0,1830.9228,2022-04-30
1651359180,2022-04-30 22:53:00,XRP/USD,0.60935,0.60935,0.60935,0.60935,0.0,0.0,2022-04-30
1651359120,2022-04-30 22:52:00,XRP/USD,0.60935,0.60935,0.60935,0.60935,0.0,0.0,2022-04-30
1651359060,2022-04-30 22:51:00,XRP/USD,0.60935,0.60935,0.60935,0.60935,0.0,0.0,2022-04-30
