unix,date,symbol,open,high,low,close,Volume LTC,Volume USD,just_date
1651622340,2022-05-03 23:59:00,LTC/USD,99.3,99.3,99.3,99.3,36.62552946,3636.915075378,2022-05-03
1651622280,2022-05-03 23:58:00,LTC/USD,99.27,99.27,99.27,99.27,0.0,0.0,2022-05-03
1651622220,2022-05-03 23:57:00,LTC/USD,99.27,99.27,99.27,99.27,0.0,0.0,2022-05-03
1651622160,2022-05-03 23:56:00,LTC/USD,99.27,99.27,99.27,99.27,0.0,0.0,2022-05-03
1651622100,2022-05-03 23:55:00,LTC/USD,99.27,99.27,99.27,99.27,0.0,0.0,2022-05-03
1651622040,2022-05-03 23:54:00,LTC/USD,99.27,99.27,99.27,99.27,0.0,0.0,2022-05-03
1651621980,2022-05-03 23:53:00,LTC/USD,99.27,99.27,99.27,99.27,0.0,0.0,2022-05-03
1651621920,2022-05-03 23:52:00,LTC/USD,99.27,99.27,99.27,99.27,0.0,0.0,2022-05-03
1651621860,2022-05-03 23:51:00,LTC/USD,99.27,99.27,99.27,99.27,0.0,0.0,2022-05-03
1651621800,2022-05-03 23:50:00,LTC/USD,99.27,99.27,99.27,99.27,0.0,0.0,2022-05-03
1651621740,2022-05-03 23:49:00,LTC/USD,99.27,99.27,99.27,99.27,0.0,0.0,2022-05-03
1651621680,2022-05-03 23:48:00,LTC/USD,99.27,99.27,99.27,99.27,0.0,0.0,2022-05-03
1651621620,2022-05-03 23:47:00,LTC/USD,99.27,99.27,99.27,99.27,0.0,0.0,2022-05-03
1651621560,2022-05-03 23:46:00,LTC/USD,99.27,99.27,99.27,99.27,0.0,0.0,2022-05-03
1651621500,2022-05-03 23:45:00,LTC/USD,99.27,99.27,99.27,99.27,0.0,0.0,2022-05-03
1651621440,2022-05-03 23:44:00,LTC/USD,99.27,99.27,99.27,99.27,0.0,0.0,2022-05-03
1651621380,2022-05-03 23:43:00,LTC/USD,99.27,99.27,99.27,99.27,0.0,0.0,2022-05-03
1651621320,2022-05-03 23:42:00,LTC/USD,99.27,99.27,99.27,99.27,0.0,0.0,2022-05-03
1651621260,2022-05-03 23:41:00,LTC/USD,99.27,99.27,99.27,99.27,0.0,0.0,2022-05-03
1651621200,2022-05-03 23:40:00,LTC/USD,99.27,99.27,99.27,99.27,0.0,0.0,2022-05-03
1651621140,2022-05-03 23:39:00,LTC/USD,99.27,99.27,99.27,99.27,10.06763466,999.4140926982,2022-05-03
1651621080,2022-05-03 23:38:00,LTC/USD,99.19,99.19,99.19,99.19,0.0,0.0,2022-05-03
1651621020,2022-05-03 23:37:00,LTC/USD,99.19,99.19,99.19,99.19,4.24332489,420.8953958391,2022-05-03
1651620960,2022-05-03 23:36:00,LTC/USD,98.97,98.97,98.97,98.97,0.0,0.0,2022-05-03
1651620900,2022-05-03 23:35:00,LTC/USD,98.97,98.97,98.97,98.97,0.0,0.0,2022-05-03
1651620840,2022-05-03 23:34:00,LTC/USD,98.97,98.97,98.97,98.97,0.0,0.0,2022-05-03
1651620780,2022-05-03 23:33:00,LTC/USD,98.97,98.97,98.97,98.97,0.0,0.0,2022-05-03
1651620720,2022-05-03 23:32:00,LTC/USD,98.97,98.97,98.97,98.97,0.0,0.0,2022-05-03
1651620660,2022-05-03 23:31:00,LTC/USD,98.97,98.97,98.97,98.97,0.0,0.0,2022-05-03
1651620600,2022-05-03 23:30:00,LTC/USD,98.97,98.97,98.97,98.97,0.0,0.0,2022-05-03
1651620540,2022-05-03 23:29:00,LTC/USD,98.97,98.97,98.97,98.97,0.0,0.0,2022-05-03
1651620480,2022-05-03 23:28:00,LTC/USD,98.97,98.97,98.97,98.97,0.0,0.0,2022-05-03
1651620420,2022-05-03 23:27:00,LTC/USD,98.97,98.97,98.97,98.97,134.9746573,13358.441832981,2022-05-03
1651620360,2022-05-03 23:26:00,LTC/USD,99.03,99.05,99.03,99.05,24.03500292,2380.667039226,2022-05-03
1651620300,2022-05-03 23:25:00,LTC/USD,98.98,98.98,98.98,98.98,0.0,0.0,2022-05-03
1651620240,2022-05-03 23:24:00,LTC/USD,98.98,98.98,98.98,98.98,0.38820592,38.4246219616,2022-05-03
1651620180,2022-05-03 23:23:00,LTC/USD,99.06,99.06,99.06,99.06,0.0,0.0,2022-05-03
1651620120,2022-05-03 23:22:00,LTC/USD,99.06,99.06,99.06,99.06,0.0,0.0,2022-05-03
1651620060,2022-05-03 23:21:00,LTC/USD,99.06,99.06,99.06,99.06,0.0,0.0,2022-05-03
1651620000,2022-05-03 23:20:00,LTC/USD,99.06,99.06,99.06,99.06,0.0,0.0,2022-05-03
1651619940,2022-05-03 23:19:00,LTC/USD,99.06,99.06,99.06,99.06,0.0,0.0,2022-05-03
1651619880,2022-05-03 23:18:00,LTC/USD,99.06,99.06,99.06,99.06,0.0,0.0,2022-05-03
1651619820,2022-05-03 23:17:00,LTC/USD,99.06,99.06,99.06,99.06,0.0,0.0,2022-05-03
1651619760,2022-05-03 23:16:00,LTC/USD,99.08,99.08,99.06,99.06,28.5031564,2823.522672984,2022-05-03
