unix,date,symbol,open,high,low,close,Volume BTC,Volume USD,just_date
1651622340,2022-05-03 23:59:00,BTC/USD,37714.33,37729.95,37714.33,37729.95,0.34926659,13177.810977370498,2022-05-03
1651622280,2022-05-03 23:58:00,BTC/USD,37729.63,37731.88,37729.63,37731.88,0.00888,335.0590944,2022-05-03
1651622220,2022-05-03 23:57:00,BTC/USD,37744.27,37744.27,37707.76,37707.76,4.08453684,154018.73487387842,2022-05-03
1651622160,2022-05-03 23:56:00,BTC/USD,37740.67,37740.67,37740.67,37740.67,0.00117,44.1565839,2022-05-03
1651622100,2022-05-03 23:55:00,BTC/USD,37739.57,37739.57,37739.57,37739.57,0.00389,146.80692729999998,2022-05-03
1651622040,2022-05-03 23:54:00,BTC/USD,37731.27,37738.07,37731.27,37738.07,0.43297844,16339.7706772108,2022-05-03
1651621980,2022-05-03 23:53:00,BTC/USD,37731.2,37731.27,37731.2,37731.27,0.05817,2194.8279759,2022-05-03
1651621920,2022-05-03 23:52:00,BTC/USD,37716.53,37731.27,37715.53,37731.27,0.55113624,20795.0702782248,2022-05-03
1651621860,2022-05-03 23:51:00,BTC/USD,37729.83,37731.27,37728.58,37731.27,0.1110321,4189.382143766999,2022-05-03
1651621800,2022-05-03 23:50:00,BTC/USD,37732.97,37761.57,37732.97,37761.57,0.61090788,23068.8406741716,2022-05-03
1651621740,2022-05-03 23:49:00,BTC/USD,37738.77,37738.77,37719.03,37719.03,0.56436,21287.1117708,2022-05-03
1651621680,2022-05-03 23:48:00,BTC/USD,37724.2,37732.27,37715.95,37732.27,0.82063322,30964.3542280094,2022-05-03
1651621620,2022-05-03 23:47:00,BTC/USD,37761.09,37761.09,37722.94,37722.94,1.39874213,52764.66544546221,2022-05-03
1651621560,2022-05-03 23:46:00,BTC/USD,37754.66,37767.27,37754.66,37765.18,0.09359509,3534.6354209662004,2022-05-03
1651621500,2022-05-03 23:45:00,BTC/USD,37751.77,37754.66,37751.72,37754.66,0.40031,15113.5679446,2022-05-03
1651621440,2022-05-03 23:44:00,BTC/USD,37753.97,37758.37,37737.67,37745.71,1.66284416,62765.2334385536,2022-05-03
1651621380,2022-05-03 23:43:00,BTC/USD,37755.97,37755.97,37737.63,37737.63,0.01135,428.3221005,2022-05-03
1651621320,2022-05-03 23:42:00,BTC/USD,37732.79,37755.96,37732.54,37755.96,0.97202847,36699.8680321812,2022-05-03
1651621260,2022-05-03 23:41:00,BTC/USD,37740.93,37755.85,37737.73,37755.85,0.27043138,10210.366618573,2022-05-03
1651621200,2022-05-03 23:40:00,BTC/USD,37743.06,37743.06,37743.06,37743.06,0.0049,184.940994,2022-05-03
1651621140,2022-05-03 23:39:00,BTC/USD,37736.47,37750.15,37718.13,37750.15,0.48946077,18477.2174866155,2022-05-03
1651621080,2022-05-03 23:38:00,BTC/USD,37730.37,37741.81,37728.93,37740.81,0.36880921,13919.1583208601,2022-05-03
1651621020,2022-05-03 23:37:00,BTC/USD,37723.37,37734.47,37723.37,37728.77,0.16775515,6329.195470665499,2022-05-03
1651620960,2022-05-03 23:36:00,BTC/USD,37716.76,37731.94,37716.76,37731.94,0.42258,15944.7632052,2022-05-03
