unix,date,symbol,open,high,low,close,Volume ETH,Volume USD,just_date
1651622340,2022-05-03 23:59:00,ETH/USD,2780.17,2780.17,2780.17,2780.17,0.02705949,75.2299823133,2022-05-03
1651622280,2022-05-03 23:58:00,ETH/USD,2781.74,2781.74,2781.74,2781.74,0.0372,103.48072799999998,2022-05-03
1651622220,2022-05-03 23:57:00,ETH/USD,2782.58,2782.58,2780.65,2780.65,1.1804585,3282.4419280250004,2022-05-03
1651622160,2022-05-03 23:56:00,ETH/USD,2781.7,2781.89,2781.69,2781.89,0.2036,566.392804,2022-05-03
1651622100,2022-05-03 23:55:00,ETH/USD,2781.45,2781.45,2781.45,2781.45,0.0278,77.32431,2022-05-03
1651622040,2022-05-03 23:54:00,ETH/USD,2780.78,2781.89,2780.78,2781.89,2.23185829,6208.7842583681,2022-05-03
1651621980,2022-05-03 23:53:00,ETH/USD,2780.64,2780.64,2780.64,2780.64,0.1171,325.612944,2022-05-03
1651621920,2022-05-03 23:52:00,ETH/USD,2780.99,2780.99,2780.91,2780.91,0.3329,925.764939,2022-05-03
1651621860,2022-05-03 23:51:00,ETH/USD,2782.09,2782.09,2780.67,2780.67,0.12953909,360.2054613903,2022-05-03
1651621800,2022-05-03 23:50:00,ETH/USD,2783.15,2783.15,2782.27,2782.27,4.44071367,12355.2644226309,2022-05-03
1651621740,2022-05-03 23:49:00,ETH/USD,2783.05,2783.05,2783.05,2783.05,0.0352,97.96336,2022-05-03
1651621680,2022-05-03 23:48:00,ETH/USD,2783.07,2783.07,2783.07,2783.07,0.0,0.0,2022-05-03
1651621620,2022-05-03 23:47:00,ETH/USD,2786.07,2786.07,2783.07,2783.07,2.171723,6044.057129610001,2022-05-03
1651621560,2022-05-03 23:46:00,ETH/USD,2788.88,2788.88,2787.17,2787.17,2.64071777,7360.1293470109,2022-05-03
1651621500,2022-05-03 23:45:00,ETH/USD,2786.97,2786.99,2786.53,2786.99,3.22397273,8985.179758782699,2022-05-03
1651621440,2022-05-03 23:44:00,ETH/USD,2786.54,2786.54,2786.54,2786.54,0.0149,41.519446,2022-05-03
1651621380,2022-05-03 23:43:00,ETH/USD,2786.53,2786.53,2786.53,2786.53,0.0455,126.787115,2022-05-03
1651621320,2022-05-03 23:42:00,ETH/USD,2785.85,2785.85,2785.85,2785.85,2.14198788,5967.256935498,2022-05-03
1651621260,2022-05-03 23:41:00,ETH/USD,2785.71,2785.71,2785.7,2785.7,0.06644987,185.109402859,2022-05-03
1651621200,2022-05-03 23:40:00,ETH/USD,2788.26,2788.26,2787.01,2787.01,0.3778,1052.9323780000002,2022-05-03
1651621140,2022-05-03 23:39:00,ETH/USD,2784.01,2785.39,2784.01,2785.39,1.809,5038.770509999999,2022-05-03
1651621080,2022-05-03 23:38:00,ETH/USD,2783.78,2783.78,2783.78,2783.78,2.18160388,6073.105249066401,2022-05-03
1651621020,2022-05-03 23:37:00,ETH/USD,2783.78,2783.78,2783.3,2783.3,0.03653555,101.689396315,2022-05-03
1651620960,2022-05-03 23:36:00,ETH/USD,2782.52,2784.06,2782.52,2784.06,2.55024982,7100.048513869199,2022-05-03
