unix,date,symbol,open,high,low,close,Volume LTC,Volume USD,just_date
1651449540,2022-05-01 23:59:00,LTC/USD,99.52,99.52,99.52,99.52,0.0,0.0,2022-05-01
1651449480,2022-05-01 23:58:00,LTC/USD,99.52,99.52,99.52,99.52,0.0,0.0,2022-05-01
1651449420,2022-05-01 23:57:00,LTC/USD,99.52,99.52,99.52,99.52,0.0,0.0,2022-05-01
1651449360,2022-05-01 23:56:00,LTC/USD,99.52,99.52,99.52,99.52,0.0,0.0,2022-05-01
1651449300,2022-05-01 23:55:00,LTC/USD,99.52,99.52,99.52,99.52,0.0,0.0,2022-05-01
1651449240,2022-05-01 23:54:00,LTC/USD,99.52,99.52,99.52,99.52,0.0,0.0,2022-05-01
1651449180,2022-05-01 23:53:00,LTC/USD,99.52,99.52,99.52,99.52,0.0,0.0,2022-05-01
1651449120,2022-05-01 23:52:00,LTC/USD,99.52,99.52,99.52,99.52,0.0,0.0,2022-05-01
1651449060,2022-05-01 23:51:00,LTC/USD,99.52,99.52,99.52,99.52,0.0,0.0,2022-05-01
1651449000,2022-05-01 23:50:00,LTC/USD,99.52,99.52,99.52,99.52,0.0,0.0,2022-05-01
1651448940,2022-05-01 23:49:00,LTC/USD,99.52,99.52,99.52,99.52,0.0,0.0,2022-05-01
1651448880,2022-05-01 23:48:00,LTC/USD,99.52,99.52,99.52,99.52,0.0,0.0,2022-05-01
1651448820,2022-05-01 23:47:00,LTC/USD,99.52,99.52,99.52,99.52,0.0,0.0,2022-05-01
1651448760,2022-05-01 23:46:00,LTC/USD,99.44,99.52,99.44,99.52,115.93903657,11538.2529194464,2022-05-01
1651448700,2022-05-01 23:45:00,LTC/USD,99.49,99.49,99.49,99.49,0.0,0.0,2022-05-01
1651448640,2022-05-01 23:44:00,LTC/USD,99.49,99.49,99.49,99.49,0.0,0.0,2022-05-01
1651448580,2022-05-01 23:43:00,LTC/USD,99.49,99.49,99.49,99.49,0.0,0.0,2022-05-01
1651448520,2022-05-01 23:42:00,LTC/USD,99.49,99.49,99.49,99.49,0.0,0.0,2022-05-01
1651448460,2022-05-01 23:41:00,LTC/USD,99.49,99.49,99.49,99.49,0.0,0.0,2022-05-01
1651448400,2022-05-01 23:40:00,LTC/USD,99.49,99.49,99.49,99.49,0.0,0.0,2022-05-01
1651448340,2022-05-01 23:39:00,LTC/USD,99.49,99.49,99.49,99.49,0.0,0.0,2022-05-01
1651448280,2022-05-01 23:38:00,LTC/USD,99.49,99.49,99.49,99.49,0.0,0.0,2022-05-01
1651448220,2022-05-01 23:37:00,LTC/USD,99.49,99.49,99.49,99.49,0.0,0.0,2022-05-01
1651448160,2022-05-01 23:36:00,LTC/USD,99.49,99.49,99.49,99.49,0.0,0.0,2022-05-01
1651448100,2022-05-01 23:35:00,LTC/USD,99.47,99.49,99.47,99.49,20.11622885,2001.3636082865,2022-05-01
1651448040,2022-05-01 23:34:00,LTC/USD,99.38,99.38,99.38,99.38,0.0,0.0,2022-05-01
1651447980,2022-05-01 23:33:00,LTC/USD,99.38,99.38,99.38,99.38,0.0,0.0,2022-05-01
1651447920,2022-05-01 23:32:00,LTC/USD,99.38,99.38,99.38,99.38,0.0,0.0,2022-05-01
1651447860,2022-05-01 23:31:00,LTC/USD,99.38,99.38,99.38,99.38,0.0,0.0,2022-05-01
1651447800,2022-05-01 23:30:00,LTC/USD,99.38,99.38,99.38,99.38,0.0,0.0,2022-05-01
1651447740,2022-05-01 23:29:00,LTC/USD,99.38,99.38,99.38,99.38,0.73721158,73.2640868204,2022-05-01
1651447680,2022-05-01 23:28:00,LTC/USD,99.51,99.51,99.51,99.51,0.0,0.0,2022-05-01
1651447620,2022-05-01 23:27:00,LTC/USD,99.51,99.51,99.51,99.51,0.0,0.0,2022-05-01
1651447560,2022-05-01 23:26:00,LTC/USD,99.51,99.51,99.51,99.51,0.0,0.0,2022-05-01
1651447500,2022-05-01 23:25:00,LTC/USD,99.51,99.51,99.51,99.51,0.0,0.0,2022-05-01
1651447440,2022-05-01 23:24:00,LTC/USD,99.51,99.51,99.51,99.51,0.0,0.0,2022-05-01
1651447380,2022-05-01 23:23:00,LTC/USD,99.51,99.51,99.51,99.51,44.9,4467.999,2022-05-01
1651447320,2022-05-01 23:22:00,LTC/USD,99.09,99.09,99.09,99.09,0.0,0.0,2022-05-01
1651447260,2022-05-01 23:21:00,LTC/USD,99.11,99.11,99.09,99.09,15.74697938,1560.3681867642,2022-05-01
1651447200,2022-05-01 23:20:00,LTC/USD,99.04,99.09,99.04,99.09,10.47132139,1037.6032365351,2022-05-01
1651447140,2022-05-01 23:19:00,LTC/USD,98.62,98.62,98.62,98.62,0.0,0.0,2022-05-01
1651447080,2022-05-01 23:18:00,LTC/USD,98.62,98.62,98.62,98.62,0.0,0.0,2022-05-01
1651447020,2022-05-01 23:17:00,LTC/USD,98.62,98.62,98.62,98.62,0.0,0.0,2022-05-01
