unix,date,symbol,open,high,low,close,Volume BCH,Volume USD,just_date
1651449540,2022-05-01 23:59:00,BCH/USD,284.33,284.33,284.33,284.33,0.0,0.0,2022-05-01
1651449480,2022-05-01 23:58:00,BCH/USD,284.33,284.33,284.33,284.33,0.0,0.0,2022-05-01
1651449420,2022-05-01 23:57:00,BCH/USD,284.33,284.33,284.33,284.33,0.0,0.0,2022-05-01
1651449360,2022-05-01 23:56:00,BCH/USD,284.33,284.33,284.33,284.33,0.88077162,250.4297947146,2022-05-01
1651449300,2022-05-01 23:55:00,BCH/USD,285.99,285.99,285.99,285.99,0.0,0.0,2022-05-01
1651449240,2022-05-01 23:54:00,BCH/USD,285.99,285.99,285.99,285.99,0.0,0.0,2022-05-01
1651449180,2022-05-01 23:53:00,BCH/USD,285.99,285.99,285.99,285.99,0.0,0.0,2022-05-01
1651449120,2022-05-01 23:52:00,BCH/USD,285.99,285.99,285.99,285.99,0.0,0.0,2022-05-01
1651449060,2022-05-01 23:51:00,BCH/USD,285.99,285.99,285.99,285.99,0.0,0.0,2022-05-01
1651449000,2022-05-01 23:50:00,BCH/USD,285.99,285.99,285.99,285.99,0.0,0.0,2022-05-01
1651448940,2022-05-01 23:49:00,BCH/USD,285.99,285.99,285.99,285.99,0.0,0.0,2022-05-01
1651448880,2022-05-01 23:48:00,BCH/USD,285.99,285.99,285.99,285.99,0.0,0.0,2022-05-01
1651448820,2022-05-01 23:47:00,BCH/USD,285.99,285.99,285.99,285.99,0.0,0.0,2022-05-01
1651448760,2022-05-01 23:46:00,BCH/USD,285.99,285.99,285.99,285.99,0.0,0.0,2022-05-01
1651448700,2022-05-01 23:45:00,BCH/USD,285.99,285.99,285.99,285.99,0.0,0.0,2022-05-01
1651448640,2022-05-01 23:44:00,BCH/USD,285.99,285.99,285.99,285.99,0.0,0.0,2022-05-01
1651448580,2022-05-01 23:43:00,BCH/USD,285.99,285.99,285.99,285.99,0.0,0.0,2022-05-01
1651448520,2022-05-01 23:42:00,BCH/USD,285.99,285.99,285.99,285.99,0.0,0.0,2022-05-01
1651448460,2022-05-01 23:41:00,BCH/USD,285.99,285.99,285.99,285.99,0.0,0.0,2022-05-01
1651448400,2022-05-01 23:40:00,BCH/USD,285.99,285.99,285.99,285.99,0.0,0.0,2022-05-01
1651448340,2022-05-01 23:39:00,BCH/USD,285.99,285.99,285.99,285.99,0.0,0.0,2022-05-01
1651448280,2022-05-01 23:38:00,BCH/USD,285.99,285.99,285.99,285.99,0.0,0.0,2022-05-01
1651448220,2022-05-01 23:37:00,BCH/USD,285.99,285.99,285.99,285.99,0.0,0.0,2022-05-01
1651448160,2022-05-01 23:36:00,BCH/USD,285.99,285.99,285.99,285.99,0.0,0.0,2022-05-01
1651448100,2022-05-01 23:35:00,BCH/USD,285.5,285.99,285.5,285.99,7.40161,2116.7864439,2022-05-01
1651448040,2022-05-01 23:34:00,BCH/USD,284.8,284.8,284.8,284.8,3.52298,1003.344704,2022-05-01
1651447980,2022-05-01 23:33:00,BCH/USD,284.25,284.33,284.25,284.33,17.60953,5006.917664899999,2022-05-01
