unix,date,symbol,open,high,low,close,Volume BTC,Volume USD,just_date
1651535940,2022-05-02 23:59:00,BTC/USD,38520.96,38521.01,38520.96,38521.01,0.01868,719.5724668,2022-05-02
1651535880,2022-05-02 23:58:00,BTC/USD,38520.42,38520.96,38520.03,38520.96,0.05772,2223.4298112,2022-05-02
1651535820,2022-05-02 23:57:00,BTC/USD,38515.72,38520.96,38515.72,38520.42,0.26157761,10076.0793997962,2022-05-02
1651535760,2022-05-02 23:56:00,BTC/USD,38520.96,38520.96,38516.36,38516.36,0.00722,278.0881192,2022-05-02
1651535700,2022-05-02 23:55:00,BTC/USD,38520.96,38520.96,38505.68,38505.68,0.23646148,9105.1100812064,2022-05-02
1651535640,2022-05-02 23:54:00,BTC/USD,38519.25,38520.96,38519.25,38520.96,0.00262343,101.0570420928,2022-05-02
1651535580,2022-05-02 23:53:00,BTC/USD,38510.69,38520.23,38500.0,38520.23,3.17244718,122203.3950364514,2022-05-02
1651535520,2022-05-02 23:52:00,BTC/USD,38525.22,38525.22,38510.69,38522.37,0.00227,87.4457799,2022-05-02
1651535460,2022-05-02 23:51:00,BTC/USD,38513.63,38529.52,38513.63,38529.52,0.88416,34066.260403199994,2022-05-02
1651535400,2022-05-02 23:50:00,BTC/USD,38503.59,38529.42,38501.08,38526.38,0.36053552,13890.1284470176,2022-05-02
1651535340,2022-05-02 23:49:00,BTC/USD,38495.56,38516.58,38458.64,38516.58,1.48725662,57284.0385847596,2022-05-02
1651535280,2022-05-02 23:48:00,BTC/USD,38529.11,38536.35,38505.68,38505.68,0.78600801,30265.7729104968,2022-05-02
1651535220,2022-05-02 23:47:00,BTC/USD,38549.68,38549.68,38507.38,38518.78,3.12533924,120384.2546109272,2022-05-02
1651535160,2022-05-02 23:46:00,BTC/USD,38545.19,38557.96,38533.41,38557.96,0.01358099,523.6552691804,2022-05-02
1651535100,2022-05-02 23:45:00,BTC/USD,38555.36,38555.36,38534.84,38534.84,0.33344986,12849.4370031224,2022-05-02
1651535040,2022-05-02 23:44:00,BTC/USD,38541.07,38544.96,38541.02,38541.02,0.02050195,790.166064989,2022-05-02
1651534980,2022-05-02 23:43:00,BTC/USD,38553.33,38553.33,38549.81,38549.81,0.00357866,137.9566630546,2022-05-02
1651534920,2022-05-02 23:42:00,BTC/USD,38578.37,38588.22,38549.97,38549.97,1.55188079,59824.9578980763,2022-05-02
1651534860,2022-05-02 23:41:00,BTC/USD,38593.23,38593.23,38593.23,38593.23,0.00608,234.64683840000004,2022-05-02
1651534800,2022-05-02 23:40:00,BTC/USD,38604.14,38604.14,38591.16,38604.11,0.26528031,10240.910268074102,2022-05-02
1651534740,2022-05-02 23:39:00,BTC/USD,38598.83,38598.83,38598.83,38598.83,0.1325972,5118.096781276,2022-05-02
1651534680,2022-05-02 23:38:00,BTC/USD,38609.82,38609.82,38587.07,38594.11,0.39146842,15108.3752630062,2022-05-02
1651534620,2022-05-02 23:37:00,BTC/USD,38620.15,38620.15,38587.37,38602.83,1.62853315,62865.9883388145,2022-05-02
1651534560,2022-05-02 23:36:00,BTC/USD,38648.98,38648.98,38627.34,38627.34,0.28597133,11046.3117941622,2022-05-02
1651534500,2022-05-02 23:35:00,BTC/USD,38662.84,38662.84,38633.45,38649.01,0.42867031,16567.6830978931,2022-05-02
1651534440,2022-05-02 23:34:00,BTC/USD,38647.91,38664.38,38647.91,38664.38,0.00747,288.8229186,2022-05-02
1651534380,2022-05-02 23:33:00,BTC/USD,38652.05,38652.05,38630.21,38651.49,0.97819278,37808.6084542422,2022-05-02
1651534320,2022-05-02 23:32:00,BTC/USD,38688.56,38688.56,38664.75,38664.75,0.01597,617.4760575,2022-05-02
1651534260,2022-05-02 23:31:00,BTC/USD,38666.75,38680.06,38665.22,38680.06,0.19589005,7577.038887402999,2022-05-02
1651534200,2022-05-02 23:30:00,BTC/USD,38670.63,38670.63,38666.75,38666.75,0.27711271,10715.0478793925,2022-05-02
1651534140,2022-05-02 23:29:00,BTC/USD,38692.43,38692.43,38686.42,38686.42,0.00772,298.6591624,2022-05-02
1651534080,2022-05-02 23:28:00,BTC/USD,38698.27,38698.27,38698.27,38698.27,0.0,0.0,2022-05-02
1651534020,2022-05-02 23:27:00,BTC/USD,38696.18,38698.27,38696.18,38698.27,0.04435,1716.2682745,2022-05-02
1651533960,2022-05-02 23:26:00,BTC/USD,38682.04,38690.35,38655.42,38690.35,0.0421393,1630.384265755,2022-05-02
1651533900,2022-05-02 23:25:00,BTC/USD,38710.16,38710.16,38689.12,38689.12,0.05459335,2112.168669352,2022-05-02
1651533840,2022-05-02 23:24:00,BTC/USD,38704.54,38718.35,38696.96,38709.9,2.26557865,87700.32298363501,2022-05-02
1651533780,2022-05-02 23:23:00,BTC/USD,38737.16,38737.16,38704.54,38704.54,1.81968293,70429.99075150219,2022-05-02
1651533720,2022-05-02 23:22:00,BTC/USD,38737.56,38737.56,38735.28,38735.28,0.01151,445.8430728,2022-05-02
1651533660,2022-05-02 23:21:00,BTC/USD,38718.29,38718.48,38690.85,38718.48,0.30922754,11972.820322939202,2022-05-02
1651533600,2022-05-02 23:20:00,BTC/USD,38634.65,38718.48,38634.65,38718.48,0.78697519,30470.483154511203,2022-05-02
1651533540,2022-05-02 23:19:00,BTC/USD,38651.04,38652.18,38634.65,38652.18,0.02038576,787.9540649567999,2022-05-02
1651533480,2022-05-02 23:18:00,BTC/USD,38635.13,38652.75,38634.66,38648.74,0.30417198,11755.8637703052,2022-05-02
1651533420,2022-05-02 23:17:00,BTC/USD,38642.74,38643.24,38642.74,38643.24,0.01672,646.1149727999999,2022-05-02
1651533360,2022-05-02 23:16:00,BTC/USD,38636.54,38647.64,38636.54,38647.56,0.02463885,952.231433706,2022-05-02
1651533300,2022-05-02 23:15:00,BTC/USD,38636.64,38636.64,38636.64,38636.64,0.00253,97.7506992,2022-05-02
1651533240,2022-05-02 23:14:00,BTC/USD,38659.95,38659.95,38626.09,38645.84,0.42320195,16354.994847387998,2022-05-02
1651533180,2022-05-02 23:13:00,BTC/USD,38611.21,38644.81,38611.21,38644.81,0.02271,877.6236351,2022-05-02
1651533120,2022-05-02 23:12:00,BTC/USD,38590.86,38606.84,38590.86,38606.84,0.37827443,14603.980395101198,2022-05-02
1651533060,2022-05-02 23:11:00,BTC/USD,38650.44,38650.44,38632.47,38632.47,0.01745332,674.2648613004001,2022-05-02
1651533000,2022-05-02 23:10:00,BTC/USD,38617.82,38655.88,38617.82,38655.88,0.49994608,19325.8556749504,2022-05-02
1651532940,2022-05-02 23:09:00,BTC/USD,38615.24,38615.24,38597.25,38609.84,0.15543312,6001.2478939008,2022-05-02
1651532880,2022-05-02 23:08:00,BTC/USD,38620.89,38620.89,38604.28,38604.28,0.00763924,294.9073599472,2022-05-02
1651532820,2022-05-02 23:07:00,BTC/USD,38611.04,38618.4,38611.04,38618.4,0.15027048,5803.205504832001,2022-05-02
1651532760,2022-05-02 23:06:00,BTC/USD,38612.84,38613.84,38609.09,38609.14,0.04091125,1579.5481788250002,2022-05-02
1651532700,2022-05-02 23:05:00,BTC/USD,38601.64,38614.84,38601.64,38611.22,0.26896337,10385.0038510114,2022-05-02
1651532640,2022-05-02 23:04:00,BTC/USD,38598.53,38598.53,38579.37,38598.33,0.26991809,10418.3875107897,2022-05-02
1651532580,2022-05-02 23:03:00,BTC/USD,38599.14,38608.84,38599.14,38608.76,0.5096354,19676.390846104,2022-05-02
