unix,date,symbol,open,high,low,close,Volume ETH,Volume USD,just_date
1651363140,2022-04-30 23:59:00,ETH/USD,2728.59,2728.91,2728.08,2728.08,1.1586,3160.7534880000003,2022-04-30
1651363080,2022-04-30 23:58:00,ETH/USD,2729.0,2729.0,2728.63,2728.63,0.3234,882.4389420000001,2022-04-30
1651363020,2022-04-30 23:57:00,ETH/USD,2727.91,2728.39,2726.22,2728.39,1.1593251,3163.091009589,2022-04-30
1651362960,2022-04-30 23:56:00,ETH/USD,2728.61,2728.9,2728.61,2728.9,0.477,1301.6853,2022-04-30
1651362900,2022-04-30 23:55:00,ETH/USD,2728.04,2728.04,2727.66,2727.66,0.0361,98.468526,2022-04-30
1651362840,2022-04-30 23:54:00,ETH/USD,2734.11,2734.11,2726.09,2726.09,3.25828758,8882.3851889622,2022-04-30
1651362780,2022-04-30 23:53:00,ETH/USD,2737.32,2737.4,2735.47,2736.54,1.79520494,4912.6501265076,2022-04-30
1651362720,2022-04-30 23:52:00,ETH/USD,2734.72,2737.02,2734.72,2735.92,8.44901846,23115.8385850832,2022-04-30
1651362660,2022-04-30 23:51:00,ETH/USD,2734.29,2736.76,2734.29,2736.76,0.2937,803.7864120000002,2022-04-30
1651362600,2022-04-30 23:50:00,ETH/USD,2724.31,2732.78,2721.26,2732.78,12.11609175,33110.613212565004,2022-04-30
1651362540,2022-04-30 23:49:00,ETH/USD,2726.62,2726.91,2725.77,2725.77,1.79497193,4892.6806376361,2022-04-30
1651362480,2022-04-30 23:48:00,ETH/USD,2725.47,2725.47,2725.47,2725.47,0.0198,53.964306,2022-04-30
1651362420,2022-04-30 23:47:00,ETH/USD,2726.16,2726.16,2726.16,2726.16,0.018,49.07088,2022-04-30
1651362360,2022-04-30 23:46:00,ETH/USD,2725.06,2726.29,2725.06,2726.29,0.317,864.23393,2022-04-30
1651362300,2022-04-30 23:45:00,ETH/USD,2723.55,2724.0,2723.55,2724.0,31.75295189,86495.04094836,2022-04-30
1651362240,2022-04-30 23:44:00,ETH/USD,2722.65,2725.33,2722.65,2724.86,1.41876994,3865.9494587084,2022-04-30
1651362180,2022-04-30 23:43:00,ETH/USD,2724.13,2724.13,2724.13,2724.13,0.0131,35.686103,2022-04-30
1651362120,2022-04-30 23:42:00,ETH/USD,2726.17,2726.23,2723.0,2723.1,7.08084331,19281.844417461,2022-04-30
1651362060,2022-04-30 23:41:00,ETH/USD,2727.39,2731.47,2727.39,2729.25,6.33628919,17293.3172718075,2022-04-30
1651362000,2022-04-30 23:40:00,ETH/USD,2724.23,2727.2,2724.23,2725.91,4.9052,13371.133731999998,2022-04-30
1651361940,2022-04-30 23:39:00,ETH/USD,2729.7,2729.7,2726.47,2727.75,0.16153,440.6134575,2022-04-30
1651361880,2022-04-30 23:38:00,ETH/USD,2731.79,2731.79,2731.79,2731.79,0.1396,381.357884,2022-04-30
1651361820,2022-04-30 23:37:00,ETH/USD,2723.92,2731.98,2723.92,2730.35,21.27715854,58094.089819689,2022-04-30
1651361760,2022-04-30 23:36:00,ETH/USD,2723.92,2725.7,2723.23,2724.31,20.48748081,55814.2488454911,2022-04-30
1651361700,2022-04-30 23:35:00,ETH/USD,2727.95,2727.95,2725.34,2725.34,6.53385651,17806.9805009634,2022-04-30
1651361640,2022-04-30 23:34:00,ETH/USD,2727.82,2728.88,2726.0,2727.7,1.6736,4565.07872,2022-04-30
1651361580,2022-04-30 23:33:00,ETH/USD,2734.75,2734.75,2726.71,2732.51,18.46537698,50456.8272516198,2022-04-30
1651361520,2022-04-30 23:32:00,ETH/USD,2741.01,2741.01,2737.86,2737.86,0.03032609,83.02858876740001,2022-04-30
1651361460,2022-04-30 23:31:00,ETH/USD,2745.32,2745.32,2741.84,2741.84,7.43761482,20392.7498180688,2022-04-30
1651361400,2022-04-30 23:30:00,ETH/USD,2736.64,2739.96,2735.64,2739.47,6.58179539,18030.6310170433,2022-04-30
1651361340,2022-04-30 23:29:00,ETH/USD,2734.34,2735.95,2733.39,2735.95,0.09471689,259.1406751955,2022-04-30
1651361280,2022-04-30 23:28:00,ETH/USD,2736.06,2736.06,2736.06,2736.06,50.02033946,136858.6499829276,2022-04-30
1651361220,2022-04-30 23:27:00,ETH/USD,2739.78,2739.78,2739.78,2739.78,0.0362,99.18003600000002,2022-04-30
1651361160,2022-04-30 23:26:00,ETH/USD,2736.52,2736.52,2736.52,2736.52,0.02009,54.9766868,2022-04-30
1651361100,2022-04-30 23:25:00,ETH/USD,2740.86,2740.86,2739.25,2739.25,0.53731696,1471.8454826799998,2022-04-30
1651361040,2022-04-30 23:24:00,ETH/USD,2741.95,2742.0,2741.95,2742.0,0.05094548,139.69250616,2022-04-30
1651360980,2022-04-30 23:23:00,ETH/USD,2742.77,2742.77,2739.89,2742.52,7.39962394,20293.6166479288,2022-04-30
1651360920,2022-04-30 23:22:00,ETH/USD,2740.07,2741.19,2740.07,2741.18,1.89353163,5190.511033523399,2022-04-30
1651360860,2022-04-30 23:21:00,ETH/USD,2741.3,2741.31,2738.7,2740.77,2.46807262,6764.4193947174,2022-04-30
1651360800,2022-04-30 23:20:00,ETH/USD,2740.18,2741.62,2736.11,2741.62,4.30340439,11798.2995437118,2022-04-30
