unix,date,symbol,open,high,low,close,Volume LTC,Volume USD,just_date
1651276740,2022-04-29 23:59:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651276680,2022-04-29 23:58:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651276620,2022-04-29 23:57:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651276560,2022-04-29 23:56:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651276500,2022-04-29 23:55:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651276440,2022-04-29 23:54:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651276380,2022-04-29 23:53:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651276320,2022-04-29 23:52:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651276260,2022-04-29 23:51:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651276200,2022-04-29 23:50:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651276140,2022-04-29 23:49:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651276080,2022-04-29 23:48:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651276020,2022-04-29 23:47:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651275960,2022-04-29 23:46:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651275900,2022-04-29 23:45:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651275840,2022-04-29 23:44:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651275780,2022-04-29 23:43:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651275720,2022-04-29 23:42:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651275660,2022-04-29 23:41:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651275600,2022-04-29 23:40:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651275540,2022-04-29 23:39:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651275480,2022-04-29 23:38:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651275420,2022-04-29 23:37:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651275360,2022-04-29 23:36:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651275300,2022-04-29 23:35:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651275240,2022-04-29 23:34:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651275180,2022-04-29 23:33:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651275120,2022-04-29 23:32:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651275060,2022-04-29 23:31:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651275000,2022-04-29 23:30:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651274940,2022-04-29 23:29:00,LTC/USD,100.27,100.27,100.27,100.27,0.0,0.0,2022-04-29
1651274880,2022-04-29 23:28:00,LTC/USD,100.27,100.27,100.27,100.27,1.93,193.5211,2022-04-29
1651274820,2022-04-29 23:27:00,LTC/USD,100.39,100.39,100.39,100.39,0.0,0.0,2022-04-29
1651274760,2022-04-29 23:26:00,LTC/USD,100.39,100.39,100.39,100.39,0.0,0.0,2022-04-29
1651274700,2022-04-29 23:25:00,LTC/USD,100.39,100.39,100.39,100.39,0.0,0.0,2022-04-29
1651274640,2022-04-29 23:24:00,LTC/USD,100.39,100.39,100.39,100.39,0.0,0.0,2022-04-29
1651274580,2022-04-29 23:23:00,LTC/USD,100.36,100.39,100.36,100.39,118.22419404,11868.5268396756,2022-04-29
1651274520,2022-04-29 23:22:00,LTC/USD,100.23,100.23,100.23,100.23,1.0,100.23,2022-04-29
1651274460,2022-04-29 23:21:00,LTC/USD,100.45,100.45,100.45,100.45,0.0,0.0,2022-04-29
1651274400,2022-04-29 23:20:00,LTC/USD,100.52,100.52,100.35,100.45,531.1854746,53357.58092357001,2022-04-29
1651274340,2022-04-29 23:19:00,LTC/USD,100.78,100.78,100.78,100.78,0.0,0.0,2022-04-29
1651274280,2022-04-29 23:18:00,LTC/USD,100.78,100.78,100.78,100.78,0.0,0.0,2022-04-29
1651274220,2022-04-29 23:17:00,LTC/USD,100.78,100.78,100.78,100.78,0.0,0.0,2022-04-29
1651274160,2022-04-29 23:16:00,LTC/USD,100.78,100.78,100.78,100.78,0.0,0.0,2022-04-29
1651274100,2022-04-29 23:15:00,LTC/USD,100.78,100.78,100.78,100.78,0.0,0.0,2022-04-29
