unix,date,symbol,open,high,low,close,Volume XRP,Volume USD,just_date
1651622340,2022-05-03 23:59:00,XRP/USD,0.60454,0.60454,0.60454,0.60454,0.0,0.0,2022-05-03
1651622280,2022-05-03 23:58:00,XRP/USD,0.60454,0.60454,0.60454,0.60454,0.0,0.0,2022-05-03
1651622220,2022-05-03 23:57:00,XRP/USD,0.60454,0.60454,0.60454,0.60454,0.0,0.0,2022-05-03
1651622160,2022-05-03 23:56:00,XRP/USD,0.60454,0.60454,0.60454,0.60454,0.0,0.0,2022-05-03
1651622100,2022-05-03 23:55:00,XRP/USD,0.60454,0.60454,0.60454,0.60454,155.301871,93.88619309434,2022-05-03
1651622040,2022-05-03 23:54:00,XRP/USD,0.60506,0.60506,0.60506,0.60506,0.0,0.0,2022-05-03
1651621980,2022-05-03 23:53:00,XRP/USD,0.60506,0.60506,0.60506,0.60506,0.0,0.0,2022-05-03
1651621920,2022-05-03 23:52:00,XRP/USD,0.60506,0.60506,0.60506,0.60506,0.0,0.0,2022-05-03
1651621860,2022-05-03 23:51:00,XRP/USD,0.60506,0.60506,0.60506,0.60506,0.0,0.0,2022-05-03
1651621800,2022-05-03 23:50:00,XRP/USD,0.60506,0.60506,0.60506,0.60506,232.41713077,140.6263091436962,2022-05-03
1651621740,2022-05-03 23:49:00,XRP/USD,0.60365,0.60365,0.60365,0.60365,0.0,0.0,2022-05-03
1651621680,2022-05-03 23:48:00,XRP/USD,0.60365,0.60365,0.60365,0.60365,0.0,0.0,2022-05-03
1651621620,2022-05-03 23:47:00,XRP/USD,0.60365,0.60365,0.60365,0.60365,0.0,0.0,2022-05-03
1651621560,2022-05-03 23:46:00,XRP/USD,0.60365,0.60365,0.60365,0.60365,0.0,0.0,2022-05-03
1651621500,2022-05-03 23:45:00,XRP/USD,0.60365,0.60365,0.60365,0.60365,0.0,0.0,2022-05-03
1651621440,2022-05-03 23:44:00,XRP/USD,0.60365,0.60365,0.60365,0.60365,0.0,0.0,2022-05-03
1651621380,2022-05-03 23:43:00,XRP/USD,0.60365,0.60365,0.60365,0.60365,0.0,0.0,2022-05-03
1651621320,2022-05-03 23:42:00,XRP/USD,0.60365,0.60365,0.60365,0.60365,0.0,0.0,2022-05-03
1651621260,2022-05-03 23:41:00,XRP/USD,0.60365,0.60365,0.60365,0.60365,0.0,0.0,2022-05-03
1651621200,2022-05-03 23:40:00,XRP/USD,0.60365,0.60365,0.60365,0.60365,0.0,0.0,2022-05-03
1651621140,2022-05-03 23:39:00,XRP/USD,0.60365,0.60365,0.60365,0.60365,0.0,0.0,2022-05-03
1651621080,2022-05-03 23:38:00,XRP/USD,0.60365,0.60365,0.60365,0.60365,56.069826,33.8465504649,2022-05-03
1651621020,2022-05-03 23:37:00,XRP/USD,0.60367,0.60389,0.60319,0.60328,24708.72378666,14906.278886016244,2022-05-03
1651620960,2022-05-03 23:36:00,XRP/USD,0.6035,0.6035,0.60346,0.60346,12227.03638388,7378.527376216225,2022-05-03
1651620900,2022-05-03 23:35:00,XRP/USD,0.60285,0.60332,0.60285,0.60332,30584.11202849,18452.006469028584,2022-05-03
1651620840,2022-05-03 23:34:00,XRP/USD,0.60262,0.60262,0.60262,0.60262,0.0,0.0,2022-05-03
1651620780,2022-05-03 23:33:00,XRP/USD,0.60255,0.60262,0.60255,0.60262,27428.8894,16529.197330228002,2022-05-03
1651620720,2022-05-03 23:32:00,XRP/USD,0.60196,0.60196,0.60196,0.60196,0.0,0.0,2022-05-03
1651620660,2022-05-03 23:31:00,XRP/USD,0.60196,0.60196,0.60196,0.60196,468.31449833,281.90659541472684,2022-05-03
