unix,date,symbol,open,high,low,close,Volume ALCX,Volume USD
1651622400000,2022-05-04 00:00:00,ALCX/USD,62.34,62.66,62.34,62.61,2.106425,131.88326925
1651618800000,2022-05-03 23:00:00,ALCX/USD,62.47,62.68,62.24,62.34,138.909924,8659.644662159999
1651615200000,2022-05-03 22:00:00,ALCX/USD,62.72,62.85,62.46,62.47,41.025499,2562.86292253
1651611600000,2022-05-03 21:00:00,ALCX/USD,62.67,62.83,62.23,62.72,175.206852,10988.97375744
1651608000000,2022-05-03 20:00:00,ALCX/USD,62.78,62.78,61.94,62.67,124.321425,7791.22370475
1651604400000,2022-05-03 19:00:00,ALCX/USD,62.66,62.9,61.95,62.78,122.81683,7710.440587399999
1651600800000,2022-05-03 18:00:00,ALCX/USD,63.41,63.41,62.41,62.66,157.940962,9896.58067892
1651597200000,2022-05-03 17:00:00,ALCX/USD,63.14,65.49,63.12,63.41,455.795177,28901.97217357
1651593600000,2022-05-03 16:00:00,ALCX/USD,63.75,63.86,63.14,63.14,95.262708,6014.88738312
1651590000000,2022-05-03 15:00:00,ALCX/USD,63.56,63.82,63.41,63.75,48.16045,3070.2286875
1651586400000,2022-05-03 14:00:00,ALCX/USD,63.71,64.06,63.44,63.56,43.569523,2769.27888188
1651582800000,2022-05-03 13:00:00,ALCX/USD,64.67,64.67,63.7,63.71,108.577824,6917.49316704
1651579200000,2022-05-03 12:00:00,ALCX/USD,65.9,65.91,64.67,64.67,34.966287,2261.26978029
1651575600000,2022-05-03 11:00:00,ALCX/USD,64.86,65.9,64.81,65.9,247.368341,16301.5736719
1651572000000,2022-05-03 10:00:00,ALCX/USD,64.41,65.0,63.99,64.86,817.440836,53019.21262296
1651568400000,2022-05-03 09:00:00,ALCX/USD,64.82,65.15,64.41,64.41,0.067051,4.31875491
1651564800000,2022-05-03 08:00:00,ALCX/USD,64.82,65.16,64.82,64.82,2.116964,137.22160647999996
1651561200000,2022-05-03 07:00:00,ALCX/USD,65.15,65.16,64.82,64.82,0.269921,17.496279219999998
1651557600000,2022-05-03 06:00:00,ALCX/USD,65.11,65.16,64.82,65.15,0.078155,5.091798250000001
1651554000000,2022-05-03 05:00:00,ALCX/USD,64.98,65.2,64.39,65.11,6.059575,394.53892825
1651550400000,2022-05-03 04:00:00,ALCX/USD,63.61,65.29,63.59,64.98,94.135371,6116.916407580001
1651546800000,2022-05-03 03:00:00,ALCX/USD,63.32,63.72,63.29,63.61,3.144151,199.99944511
1651543200000,2022-05-03 02:00:00,ALCX/USD,63.21,63.47,63.18,63.32,28.271299,1790.13865268
1651539600000,2022-05-03 01:00:00,ALCX/USD,63.45,63.46,63.09,63.21,30.624833,1935.79569393
1651536000000,2022-05-03 00:00:00,ALCX/USD,63.72,63.77,63.29,63.45,43.008377,2728.8815206500003
1651532400000,2022-05-02 23:00:00,ALCX/USD,64.36,64.36,63.49,63.72,14.74711,939.6858492
1651528800000,2022-05-02 22:00:00,ALCX/USD,64.21,64.36,64.04,64.36,5.606899,360.86001964
1651525200000,2022-05-02 21:00:00,ALCX/USD,63.6,64.21,63.39,64.21,25.791521,1656.07356341
1651521600000,2022-05-02 20:00:00,ALCX/USD,63.81,63.87,63.33,63.6,26.019966,1654.8698376
1651518000000,2022-05-02 19:00:00,ALCX/USD,63.26,63.87,63.22,63.81,86.407823,5513.68318563
1651514400000,2022-05-02 18:00:00,ALCX/USD,63.17,63.82,62.93,63.26,104.15677,6588.9572702
1651510800000,2022-05-02 17:00:00,ALCX/USD,63.82,63.82,63.12,63.17,45.745049,2889.7147453300004
1651507200000,2022-05-02 16:00:00,ALCX/USD,64.0,64.33,63.82,63.82,46.727957,2982.1782157400003
1651503600000,2022-05-02 15:00:00,ALCX/USD,63.94,64.33,63.74,64.0,16.087347,1029.590208
1651500000000,2022-05-02 14:00:00,ALCX/USD,64.02,64.23,63.31,63.94,31.985957,2045.18209058
1651496400000,2022-05-02 13:00:00,ALCX/USD,64.32,64.32,63.21,64.02,161.711841,10352.792060819998
1651492800000,2022-05-02 12:00:00,ALCX/USD,64.11,64.65,64.0,64.32,45.637491,2935.40342112
1651489200000,2022-05-02 11:00:00,ALCX/USD,64.49,64.57,63.98,64.11,85.210298,5462.832204779999
1651485600000,2022-05-02 10:00:00,ALCX/USD,64.72,64.72,64.47,64.49,23.347358,1505.67111742
1651482000000,2022-05-02 09:00:00,ALCX/USD,64.56,65.02,64.56,64.72,22.293718,1442.8494289599998
1651478400000,2022-05-02 08:00:00,ALCX/USD,64.64,64.95,64.53,64.56,5.568629,359.51068824
1651474800000,2022-05-02 07:00:00,ALCX/USD,64.71,64.81,64.61,64.64,0.045024,2.91035136
1651471200000,2022-05-02 06:00:00,ALCX/USD,64.81,65.04,64.66,64.71,2.134421,138.11838291
1651467600000,2022-05-02 05:00:00,ALCX/USD,65.13,65.17,64.68,64.81,21.322859,1381.93449179
1651464000000,2022-05-02 04:00:00,ALCX/USD,64.59,65.13,64.54,65.13,13.296154,865.9785100199999
1651460400000,2022-05-02 03:00:00,ALCX/USD,64.61,64.81,64.47,64.59,46.165484,2981.82861156
1651456800000,2022-05-02 02:00:00,ALCX/USD,64.6,64.8,64.39,64.61,11.499334,742.97196974
1651453200000,2022-05-02 01:00:00,ALCX/USD,65.15,65.71,64.6,64.6,48.74319,3148.8100739999995
1651449600000,2022-05-02 00:00:00,ALCX/USD,64.56,65.44,64.39,65.15,40.209268,2619.6338102000004
1651446000000,2022-05-01 23:00:00,ALCX/USD,63.23,64.85,63.14,64.56,6.278136,405.31646016
1651442400000,2022-05-01 22:00:00,ALCX/USD,62.81,63.23,62.55,63.23,66.679113,4216.12031499
1651438800000,2022-05-01 21:00:00,ALCX/USD,66.48,69.25,62.81,62.81,41.489568,2605.95976608
1651435200000,2022-05-01 20:00:00,ALCX/USD,66.36,67.09,65.88,66.48,5.282354,351.17089392
1651431600000,2022-05-01 19:00:00,ALCX/USD,66.67,68.0,64.5,66.36,32.67965,2168.621574
1651428000000,2022-05-01 18:00:00,ALCX/USD,69.92,70.47,66.66,66.67,7.165482,477.72268494
1651424400000,2022-05-01 17:00:00,ALCX/USD,64.26,75.14,63.84,69.92,377.386074,26386.83429408
1651420800000,2022-05-01 16:00:00,ALCX/USD,63.42,64.32,63.32,64.26,799.545796,51378.81285096001
1651417200000,2022-05-01 15:00:00,ALCX/USD,62.53,63.76,62.35,63.42,229.43894,14551.0175748
1651413600000,2022-05-01 14:00:00,ALCX/USD,62.45,62.76,62.45,62.53,2.81291,175.8912623
1651410000000,2022-05-01 13:00:00,ALCX/USD,62.48,64.45,62.44,62.45,525.982428,32847.602628600005
1651406400000,2022-05-01 12:00:00,ALCX/USD,62.14,62.61,62.14,62.48,18.629476,1163.96966048
1651402800000,2022-05-01 11:00:00,ALCX/USD,62.15,62.39,61.71,62.14,42.952825,2669.0885455
1651399200000,2022-05-01 10:00:00,ALCX/USD,62.24,62.31,62.07,62.15,0.087191,5.41892065
1651395600000,2022-05-01 09:00:00,ALCX/USD,62.7,62.71,62.01,62.24,16.912142,1052.61171808
1651392000000,2022-05-01 08:00:00,ALCX/USD,62.9,63.27,62.62,62.7,48.728776,3055.2942552000004
1651388400000,2022-05-01 07:00:00,ALCX/USD,63.53,63.53,62.9,62.9,72.990509,4591.1030161
1651384800000,2022-05-01 06:00:00,ALCX/USD,64.0,64.06,63.53,63.53,29.385012,1866.82981236
1651381200000,2022-05-01 05:00:00,ALCX/USD,63.64,64.19,63.63,64.0,10.695843,684.533952
1651377600000,2022-05-01 04:00:00,ALCX/USD,64.02,64.11,63.51,63.64,23.974795,1525.7559538
1651374000000,2022-05-01 03:00:00,ALCX/USD,63.62,64.31,63.52,64.02,65.864075,4216.6180815
1651370400000,2022-05-01 02:00:00,ALCX/USD,64.0,64.0,63.52,63.62,50.951778,3241.55211636
1651366800000,2022-05-01 01:00:00,ALCX/USD,63.36,64.09,63.03,64.0,77.814466,4980.125824
1651363200000,2022-05-01 00:00:00,ALCX/USD,63.53,64.16,63.34,63.36,119.936158,7599.15497088
1651359600000,2022-04-30 23:00:00,ALCX/USD,65.24,65.24,63.27,63.53,329.45966,20930.5721998
1651356000000,2022-04-30 22:00:00,ALCX/USD,65.14,65.27,65.0,65.24,50.158956,3272.37028944
1651352400000,2022-04-30 21:00:00,ALCX/USD,65.12,65.28,65.03,65.14,4.050551,263.85289214
1651348800000,2022-04-30 20:00:00,ALCX/USD,65.79,65.9,65.04,65.12,26.658481,1736.00028272
1651345200000,2022-04-30 19:00:00,ALCX/USD,66.04,66.16,65.41,65.79,49.91191,3283.7045589000004
1651341600000,2022-04-30 18:00:00,ALCX/USD,66.23,66.51,66.04,66.04,28.6383,1891.273332
1651338000000,2022-04-30 17:00:00,ALCX/USD,67.27,67.27,66.19,66.23,148.472677,9833.345397710002
1651334400000,2022-04-30 16:00:00,ALCX/USD,67.63,67.68,67.27,67.27,62.198037,4184.06194899
1651330800000,2022-04-30 15:00:00,ALCX/USD,67.26,67.69,66.82,67.63,65.120979,4404.1318097700005
1651327200000,2022-04-30 14:00:00,ALCX/USD,68.15,68.16,67.26,67.26,60.619595,4077.2739597
1651323600000,2022-04-30 13:00:00,ALCX/USD,69.12,69.12,68.08,68.15,45.537436,3103.3762634000004
1651320000000,2022-04-30 12:00:00,ALCX/USD,68.88,69.88,68.81,69.12,192.431925,13300.894656000002
1651316400000,2022-04-30 11:00:00,ALCX/USD,66.98,69.01,66.97,68.88,138.094687,9511.962040559998
1651312800000,2022-04-30 10:00:00,ALCX/USD,66.84,67.01,66.82,66.98,7.489928,501.67537744
1651309200000,2022-04-30 09:00:00,ALCX/USD,66.7,66.84,66.64,66.84,8.119349,542.69728716
1651305600000,2022-04-30 08:00:00,ALCX/USD,66.67,66.77,66.36,66.7,0.143858,9.595328600000002
1651302000000,2022-04-30 07:00:00,ALCX/USD,66.63,66.83,66.53,66.67,20.080057,1338.73740019
1651298400000,2022-04-30 06:00:00,ALCX/USD,66.63,66.92,66.62,66.63,60.905623,4058.14166049
1651294800000,2022-04-30 05:00:00,ALCX/USD,66.05,66.63,66.04,66.63,62.155683,4141.43315829
1651291200000,2022-04-30 04:00:00,ALCX/USD,66.12,66.3,65.89,66.05,47.735696,3152.9427208
1651287600000,2022-04-30 03:00:00,ALCX/USD,66.26,66.27,65.9,66.12,33.344068,2204.7097761600003
1651284000000,2022-04-30 02:00:00,ALCX/USD,66.81,66.81,66.26,66.26,1.907221,126.37246346000002
1651280400000,2022-04-30 01:00:00,ALCX/USD,66.73,66.92,66.62,66.81,0.215247,14.38065207
1651276800000,2022-04-30 00:00:00,ALCX/USD,66.39,67.01,66.39,66.73,32.765365,2186.4328064500005
1651273200000,2022-04-29 23:00:00,ALCX/USD,66.36,66.74,66.22,66.39,24.9735,1657.990665
1651269600000,2022-04-29 22:00:00,ALCX/USD,66.24,66.37,65.96,66.36,36.757125,2439.202815
1651266000000,2022-04-29 21:00:00,ALCX/USD,66.32,66.67,66.13,66.24,56.175301,3721.0519382399993
1651262400000,2022-04-29 20:00:00,ALCX/USD,65.81,66.37,65.74,66.32,50.583152,3354.67464064
1651258800000,2022-04-29 19:00:00,ALCX/USD,66.82,66.94,65.68,65.81,69.50666,4574.2332946
1651255200000,2022-04-29 18:00:00,ALCX/USD,67.36,67.47,66.65,66.82,120.315014,8039.449235479999
1651251600000,2022-04-29 17:00:00,ALCX/USD,67.03,67.39,66.72,67.36,99.202125,6682.255139999999
1651248000000,2022-04-29 16:00:00,ALCX/USD,68.14,68.14,66.95,67.03,41.212651,2762.48399653
1651244400000,2022-04-29 15:00:00,ALCX/USD,67.19,68.14,67.19,68.14,83.738045,5705.9103863
1651240800000,2022-04-29 14:00:00,ALCX/USD,67.62,67.78,66.96,67.19,127.120008,8541.193337519999
1651237200000,2022-04-29 13:00:00,ALCX/USD,67.47,67.62,66.83,67.62,182.86032,12365.0148384
1651233600000,2022-04-29 12:00:00,ALCX/USD,66.91,67.48,66.73,67.47,146.853584,9908.21131248
1651230000000,2022-04-29 11:00:00,ALCX/USD,67.89,67.89,66.72,66.91,59.565071,3985.49890061
1651226400000,2022-04-29 10:00:00,ALCX/USD,68.25,68.35,67.88,67.89,10.874007,738.23633523
1651222800000,2022-04-29 09:00:00,ALCX/USD,68.92,68.92,68.25,68.25,16.823179,1148.18196675
1651219200000,2022-04-29 08:00:00,ALCX/USD,69.38,69.38,68.71,68.92,0.784735,54.0839362
1651215600000,2022-04-29 07:00:00,ALCX/USD,69.46,69.56,69.32,69.38,0.029481,2.04539178
1651212000000,2022-04-29 06:00:00,ALCX/USD,69.41,69.52,69.03,69.46,61.240607,4253.77256222
1651208400000,2022-04-29 05:00:00,ALCX/USD,69.42,69.56,69.24,69.41,14.717257,1021.52480837
1651204800000,2022-04-29 04:00:00,ALCX/USD,69.27,69.42,69.0,69.42,19.774223,1372.72656066
1651201200000,2022-04-29 03:00:00,ALCX/USD,69.12,69.27,68.81,69.27,26.156235,1811.84239845
