unix,date,symbol,open,high,low,close,Volume ANKR,Volume USD
1651622400000,2022-05-04 00:00:00,ANKR/USD,0.06089,0.06154,0.06089,0.06147,1573.438906,96.71928955182
1651618800000,2022-05-03 23:00:00,ANKR/USD,0.0609,0.0609,0.06041,0.06089,128538.781579,7826.72641034531
1651615200000,2022-05-03 22:00:00,ANKR/USD,0.06088,0.06114,0.0607,0.0609,16445.095653,1001.5063252677
1651611600000,2022-05-03 21:00:00,ANKR/USD,0.06037,0.06101,0.06033,0.06088,7481.008848,455.44381866624
1651608000000,2022-05-03 20:00:00,ANKR/USD,0.06031,0.06037,0.05992,0.06037,24590.671343,1484.53882897691
1651604400000,2022-05-03 19:00:00,ANKR/USD,0.06085,0.06098,0.06,0.06031,102134.309634,6159.720214026541
1651600800000,2022-05-03 18:00:00,ANKR/USD,0.0614,0.0614,0.06047,0.06085,128077.944813,7793.54294187105
1651597200000,2022-05-03 17:00:00,ANKR/USD,0.0614,0.06195,0.06126,0.0614,62150.7131,3816.05378434
1651593600000,2022-05-03 16:00:00,ANKR/USD,0.06232,0.06238,0.0614,0.0614,61586.594613,3781.4169092382
1651590000000,2022-05-03 15:00:00,ANKR/USD,0.06227,0.06294,0.06221,0.06232,13483.159573,840.27050458936
1651586400000,2022-05-03 14:00:00,ANKR/USD,0.06269,0.06309,0.06223,0.06227,14108.861697,878.55881787219
1651582800000,2022-05-03 13:00:00,ANKR/USD,0.06316,0.06328,0.06239,0.06269,2382.029437,149.32942540553
1651579200000,2022-05-03 12:00:00,ANKR/USD,0.06346,0.06357,0.06297,0.06316,4335.148267,273.80796454371995
1651575600000,2022-05-03 11:00:00,ANKR/USD,0.06254,0.06346,0.0623,0.06346,1306.868964,82.93390445544
1651572000000,2022-05-03 10:00:00,ANKR/USD,0.06263,0.06263,0.06237,0.06254,7.364282,0.46056219628
1651568400000,2022-05-03 09:00:00,ANKR/USD,0.06294,0.06295,0.06247,0.06263,1541.452262,96.54115516906
1651564800000,2022-05-03 08:00:00,ANKR/USD,0.06338,0.06346,0.06294,0.06294,265.694149,16.722789738059998
1651561200000,2022-05-03 07:00:00,ANKR/USD,0.06322,0.06343,0.06306,0.06338,139.631569,8.849848843220002
1651557600000,2022-05-03 06:00:00,ANKR/USD,0.06335,0.06346,0.06296,0.06322,1349.247689,85.29943889858001
1651554000000,2022-05-03 05:00:00,ANKR/USD,0.06334,0.06339,0.06276,0.06335,4620.375305,292.70077557175
