unix,date,symbol,open,high,low,close,Volume ASH,Volume USD
1651622400000,2022-05-04 00:00:00,ASH/USD,5.08,5.08,5.08,5.08,0.0,0.0
1651618800000,2022-05-03 23:00:00,ASH/USD,5.08,5.08,5.08,5.08,0.0,0.0
1651615200000,2022-05-03 22:00:00,ASH/USD,5.06,5.08,5.036,5.08,1.028842,5.22651736
1651611600000,2022-05-03 21:00:00,ASH/USD,5.08,5.08,5.06,5.06,0.152363,0.7709567799999999
1651608000000,2022-05-03 20:00:00,ASH/USD,5.08,5.08,5.08,5.08,0.0,0.0
1651604400000,2022-05-03 19:00:00,ASH/USD,5.08,5.08,5.08,5.08,8.0,40.64
1651600800000,2022-05-03 18:00:00,ASH/USD,5.08,5.08,5.08,5.08,0.0,0.0
1651597200000,2022-05-03 17:00:00,ASH/USD,5.08,5.08,5.08,5.08,0.0,0.0
1651593600000,2022-05-03 16:00:00,ASH/USD,5.08,5.08,5.08,5.08,0.0,0.0
1651590000000,2022-05-03 15:00:00,ASH/USD,5.08,5.08,5.08,5.08,0.0,0.0
1651586400000,2022-05-03 14:00:00,ASH/USD,5.08,5.08,5.08,5.08,0.081056,0.41176448
1651582800000,2022-05-03 13:00:00,ASH/USD,5.085,5.085,5.08,5.08,19.644055,99.79179940000002
1651579200000,2022-05-03 12:00:00,ASH/USD,5.085,5.085,5.085,5.085,0.0,0.0
1651575600000,2022-05-03 11:00:00,ASH/USD,5.085,5.085,5.085,5.085,0.0,0.0
1651572000000,2022-05-03 10:00:00,ASH/USD,5.085,5.085,5.085,5.085,0.0,0.0
1651568400000,2022-05-03 09:00:00,ASH/USD,5.085,5.085,5.085,5.085,0.0,0.0
1651564800000,2022-05-03 08:00:00,ASH/USD,5.085,5.085,5.085,5.085,0.0,0.0
1651561200000,2022-05-03 07:00:00,ASH/USD,5.085,5.085,5.085,5.085,0.0,0.0
1651557600000,2022-05-03 06:00:00,ASH/USD,5.085,5.085,5.085,5.085,0.0,0.0
1651554000000,2022-05-03 05:00:00,ASH/USD,5.085,5.085,5.085,5.085,0.0,0.0
1651550400000,2022-05-03 04:00:00,ASH/USD,5.09,5.09,5.085,5.085,0.15349,0.7804966499999999
1651546800000,2022-05-03 03:00:00,ASH/USD,5.09,5.09,5.09,5.09,0.0,0.0
1651543200000,2022-05-03 02:00:00,ASH/USD,5.09,5.09,5.09,5.09,0.0,0.0
1651539600000,2022-05-03 01:00:00,ASH/USD,5.09,5.09,5.09,5.09,0.0,0.0
1651536000000,2022-05-03 00:00:00,ASH/USD,5.09,5.09,5.09,5.09,0.0,0.0
1651532400000,2022-05-02 23:00:00,ASH/USD,5.09,5.09,5.09,5.09,0.0,0.0
1651528800000,2022-05-02 22:00:00,ASH/USD,5.09,5.09,5.09,5.09,0.0,0.0
1651525200000,2022-05-02 21:00:00,ASH/USD,5.09,5.09,5.09,5.09,0.0,0.0
1651521600000,2022-05-02 20:00:00,ASH/USD,5.09,5.09,5.09,5.09,0.0,0.0
1651518000000,2022-05-02 19:00:00,ASH/USD,5.09,5.09,5.09,5.09,0.011249,0.05725741
1651514400000,2022-05-02 18:00:00,ASH/USD,5.09,5.09,5.09,5.09,0.030171,0.15357039
1651510800000,2022-05-02 17:00:00,ASH/USD,5.1,5.1,5.09,5.09,0.040825,0.20779925
1651507200000,2022-05-02 16:00:00,ASH/USD,5.62,5.62,5.1,5.1,2.795668,14.2579068
1651503600000,2022-05-02 15:00:00,ASH/USD,5.62,5.648,5.62,5.62,0.073268,0.41176616
1651500000000,2022-05-02 14:00:00,ASH/USD,5.554,5.62,5.554,5.62,0.073268,0.41176616
1651496400000,2022-05-02 13:00:00,ASH/USD,5.666,5.666,5.554,5.554,0.242699,1.347950246
1651492800000,2022-05-02 12:00:00,ASH/USD,5.666,5.666,5.666,5.666,0.0,0.0
1651489200000,2022-05-02 11:00:00,ASH/USD,5.666,5.666,5.666,5.666,0.0,0.0
1651485600000,2022-05-02 10:00:00,ASH/USD,5.666,5.666,5.666,5.666,0.0,0.0
1651482000000,2022-05-02 09:00:00,ASH/USD,5.666,5.666,5.666,5.666,0.0,0.0
1651478400000,2022-05-02 08:00:00,ASH/USD,5.839,5.839,5.61,5.666,0.999036,5.6605379760000005
1651474800000,2022-05-02 07:00:00,ASH/USD,5.839,5.839,5.839,5.839,0.0,0.0
1651471200000,2022-05-02 06:00:00,ASH/USD,5.839,5.839,5.839,5.839,0.0,0.0
1651467600000,2022-05-02 05:00:00,ASH/USD,5.839,5.839,5.839,5.839,0.0,0.0
1651464000000,2022-05-02 04:00:00,ASH/USD,5.839,5.839,5.839,5.839,0.0,0.0
1651460400000,2022-05-02 03:00:00,ASH/USD,5.839,5.839,5.839,5.839,0.0,0.0
1651456800000,2022-05-02 02:00:00,ASH/USD,5.839,5.839,5.839,5.839,0.0,0.0
1651453200000,2022-05-02 01:00:00,ASH/USD,5.839,5.839,5.839,5.839,0.0,0.0
1651449600000,2022-05-02 00:00:00,ASH/USD,5.839,5.839,5.839,5.839,7.033148,41.066551172
1651446000000,2022-05-01 23:00:00,ASH/USD,5.839,5.839,5.839,5.839,0.0,0.0
1651442400000,2022-05-01 22:00:00,ASH/USD,5.8,5.839,5.8,5.839,4.414586,25.776767654
1651438800000,2022-05-01 21:00:00,ASH/USD,5.809,5.809,5.8,5.8,0.88706,5.144947999999999
1651435200000,2022-05-01 20:00:00,ASH/USD,4.553,5.84,4.553,5.809,123.183033,715.570238697
1651431600000,2022-05-01 19:00:00,ASH/USD,4.553,4.553,4.553,4.553,0.0,0.0
1651428000000,2022-05-01 18:00:00,ASH/USD,4.553,4.553,4.553,4.553,0.0,0.0
1651424400000,2022-05-01 17:00:00,ASH/USD,4.544,4.553,4.522,4.553,0.252426,1.1492955779999998
1651420800000,2022-05-01 16:00:00,ASH/USD,4.758,4.758,4.544,4.544,1.515877,6.888145087999999
1651417200000,2022-05-01 15:00:00,ASH/USD,4.758,4.758,4.758,4.758,0.0,0.0
1651413600000,2022-05-01 14:00:00,ASH/USD,4.758,4.758,4.758,4.758,0.086542,0.4117668359999999
1651410000000,2022-05-01 13:00:00,ASH/USD,4.758,4.758,4.758,4.758,0.021735,0.10341513
1651406400000,2022-05-01 12:00:00,ASH/USD,4.758,4.758,4.758,4.758,0.0,0.0
1651402800000,2022-05-01 11:00:00,ASH/USD,4.758,4.758,4.758,4.758,0.0,0.0
1651399200000,2022-05-01 10:00:00,ASH/USD,4.758,4.758,4.758,4.758,0.0,0.0
1651395600000,2022-05-01 09:00:00,ASH/USD,4.758,4.758,4.758,4.758,0.0,0.0
1651392000000,2022-05-01 08:00:00,ASH/USD,4.758,4.758,4.758,4.758,0.0,0.0
1651388400000,2022-05-01 07:00:00,ASH/USD,4.703,4.758,4.703,4.758,0.263131,1.251977298
1651384800000,2022-05-01 06:00:00,ASH/USD,4.726,4.726,4.703,4.703,0.189141,0.8895301230000001
1651381200000,2022-05-01 05:00:00,ASH/USD,4.819,4.819,4.726,4.726,0.655828,3.099443128
1651377600000,2022-05-01 04:00:00,ASH/USD,4.987,4.987,4.819,4.819,1.005156,4.843846763999999
1651374000000,2022-05-01 03:00:00,ASH/USD,5.06,5.06,4.987,4.987,3.712404,18.513758748
1651370400000,2022-05-01 02:00:00,ASH/USD,4.947,5.1,4.938,5.06,15.135415,76.58519989999999
1651366800000,2022-05-01 01:00:00,ASH/USD,4.456,4.972,4.456,4.947,19.581201,96.868201347
1651363200000,2022-05-01 00:00:00,ASH/USD,4.456,4.456,4.456,4.456,0.0,0.0
1651359600000,2022-04-30 23:00:00,ASH/USD,4.456,4.456,4.456,4.456,0.038549,0.171774344
1651356000000,2022-04-30 22:00:00,ASH/USD,4.456,4.456,4.456,4.456,4.012137,17.878082472000003
1651352400000,2022-04-30 21:00:00,ASH/USD,4.456,4.456,4.456,4.456,0.0,0.0
1651348800000,2022-04-30 20:00:00,ASH/USD,4.456,4.456,4.456,4.456,0.0,0.0
1651345200000,2022-04-30 19:00:00,ASH/USD,4.456,4.456,4.456,4.456,0.0,0.0
1651341600000,2022-04-30 18:00:00,ASH/USD,4.456,4.456,4.456,4.456,0.00808,0.03600448
1651338000000,2022-04-30 17:00:00,ASH/USD,4.35,4.456,4.35,4.456,0.057857,0.257810792
1651334400000,2022-04-30 16:00:00,ASH/USD,3.894,4.5,3.894,4.35,113.202951,492.43283685
1651330800000,2022-04-30 15:00:00,ASH/USD,3.894,3.894,3.894,3.894,0.045561,0.1774145339999999
1651327200000,2022-04-30 14:00:00,ASH/USD,3.894,3.894,3.894,3.894,0.105743,0.411763242
1651323600000,2022-04-30 13:00:00,ASH/USD,3.894,3.894,3.894,3.894,0.0,0.0
1651320000000,2022-04-30 12:00:00,ASH/USD,3.894,3.894,3.894,3.894,0.0,0.0
1651316400000,2022-04-30 11:00:00,ASH/USD,3.894,3.894,3.894,3.894,0.0,0.0
1651312800000,2022-04-30 10:00:00,ASH/USD,3.894,3.894,3.894,3.894,0.0,0.0
1651309200000,2022-04-30 09:00:00,ASH/USD,3.983,3.983,3.894,3.894,0.028144,0.109592736
1651305600000,2022-04-30 08:00:00,ASH/USD,4.35,4.35,3.849,3.983,58.48685,232.95312355
1651302000000,2022-04-30 07:00:00,ASH/USD,4.35,4.35,4.35,4.35,0.0,0.0
1651298400000,2022-04-30 06:00:00,ASH/USD,4.35,4.35,4.35,4.35,0.0,0.0
1651294800000,2022-04-30 05:00:00,ASH/USD,4.35,4.35,4.35,4.35,0.0,0.0
1651291200000,2022-04-30 04:00:00,ASH/USD,4.35,4.35,4.35,4.35,0.0,0.0
1651287600000,2022-04-30 03:00:00,ASH/USD,4.35,4.35,4.35,4.35,0.0,0.0
1651284000000,2022-04-30 02:00:00,ASH/USD,4.5,4.5,4.35,4.35,8.943335,38.90350725
1651280400000,2022-04-30 01:00:00,ASH/USD,4.5,4.5,4.5,4.5,0.0,0.0
1651276800000,2022-04-30 00:00:00,ASH/USD,4.5,4.5,4.5,4.5,0.0,0.0
