unix,date,symbol,open,high,low,close,Volume BOND,Volume USD
1651622400000,2022-05-04 00:00:00,BOND/USD,6.0401,6.0696,6.0401,6.0696,4.910523,29.804910400800004
1651618800000,2022-05-03 23:00:00,BOND/USD,6.0309,6.0438,6.0194,6.0401,3.406068,20.5729913268
1651615200000,2022-05-03 22:00:00,BOND/USD,6.0277,6.0311,6.0277,6.0309,0.84364,5.087908476
1651611600000,2022-05-03 21:00:00,BOND/USD,6.0229,6.0277,6.0186,6.0277,5.842882,35.21913983140001
1651608000000,2022-05-03 20:00:00,BOND/USD,5.9965,6.023,5.9839,6.0229,2.629406,15.8366493974
1651604400000,2022-05-03 19:00:00,BOND/USD,5.9902,6.0192,5.9811,5.9965,4.132757,24.7820773505
1651600800000,2022-05-03 18:00:00,BOND/USD,6.0424,6.0424,5.9863,5.9902,10.125179,60.65184724579999
1651597200000,2022-05-03 17:00:00,BOND/USD,6.0251,6.0563,5.961,6.0424,1186.747838,7170.8051363312
1651593600000,2022-05-03 16:00:00,BOND/USD,6.0062,6.2011,5.9916,6.0251,129.822046,782.1908093546
1651590000000,2022-05-03 15:00:00,BOND/USD,6.0118,6.0222,6.0039,6.0062,4.494952,26.9975807024
1651586400000,2022-05-03 14:00:00,BOND/USD,6.0393,6.1023,5.9929,6.0118,1092.954362,6570.6230334716
1651582800000,2022-05-03 13:00:00,BOND/USD,6.0582,6.067,6.0341,6.0393,2.853634,17.2339518162
1651579200000,2022-05-03 12:00:00,BOND/USD,6.0511,6.0649,6.0309,6.0582,3.147297,19.0669546854
1651575600000,2022-05-03 11:00:00,BOND/USD,5.9929,6.0511,5.9929,6.0511,49.037072,296.7282263792
1651572000000,2022-05-03 10:00:00,BOND/USD,6.0259,6.0427,5.9929,5.9929,7.141449,42.7979897121
1651568400000,2022-05-03 09:00:00,BOND/USD,6.0631,6.0631,6.0251,6.0259,1.859378,11.2044258902
1651564800000,2022-05-03 08:00:00,BOND/USD,6.0364,6.0741,6.0364,6.0631,414.639527,2514.0009161537
1651561200000,2022-05-03 07:00:00,BOND/USD,6.0618,6.0715,6.0363,6.0364,1.901021,11.4753231644
1651557600000,2022-05-03 06:00:00,BOND/USD,6.0756,6.092,6.0513,6.0618,3.009408,18.2424294144
1651554000000,2022-05-03 05:00:00,BOND/USD,6.091,6.094,6.0324,6.0756,24.19945,147.02617841999998
1651550400000,2022-05-03 04:00:00,BOND/USD,6.1022,6.1023,6.0582,6.091,2.714977,16.536924907000003
1651546800000,2022-05-03 03:00:00,BOND/USD,6.056,6.1023,6.0251,6.1022,1.332033,8.1283317726
1651543200000,2022-05-03 02:00:00,BOND/USD,6.0727,6.0793,6.0251,6.056,92.141726,558.010292656
1651539600000,2022-05-03 01:00:00,BOND/USD,6.0322,6.0727,6.0085,6.0727,186.108572,1130.1815251844
1651536000000,2022-05-03 00:00:00,BOND/USD,6.0632,6.067,6.0086,6.0322,62.657154,377.9604843588
1651532400000,2022-05-02 23:00:00,BOND/USD,6.0851,6.1145,6.0397,6.0632,1120.654911,6794.754856375201
1651528800000,2022-05-02 22:00:00,BOND/USD,6.1092,6.1315,6.0771,6.0851,60.275775,366.7841184525
1651525200000,2022-05-02 21:00:00,BOND/USD,6.1105,6.1965,6.0266,6.1092,130.019499,794.3151232908
1651521600000,2022-05-02 20:00:00,BOND/USD,6.0634,6.1672,6.0634,6.1105,23.027202,140.707717821
1651518000000,2022-05-02 19:00:00,BOND/USD,6.0122,6.0637,6.0087,6.0634,1062.001914,6439.342405347599
1651514400000,2022-05-02 18:00:00,BOND/USD,5.9929,6.0126,5.9929,6.0122,4.233237,25.4510674914
1651510800000,2022-05-02 17:00:00,BOND/USD,6.0315,6.0323,5.9929,5.9929,991.028955,5939.137424419499
1651507200000,2022-05-02 16:00:00,BOND/USD,6.0696,6.0735,6.0254,6.0315,54.573857,329.1622184955
1651503600000,2022-05-02 15:00:00,BOND/USD,6.0586,6.0696,6.0436,6.0696,989.596856,6006.457077177601
1651500000000,2022-05-02 14:00:00,BOND/USD,6.0349,6.0696,5.9991,6.0586,993.395121,6018.5836800906
1651496400000,2022-05-02 13:00:00,BOND/USD,6.0122,6.0375,5.9815,6.0349,1007.412381,6079.6329780969
1651492800000,2022-05-02 12:00:00,BOND/USD,5.9929,6.0319,5.98,6.0122,3.387379,20.365600023800003
1651489200000,2022-05-02 11:00:00,BOND/USD,5.993,6.0102,5.9929,5.9929,5.391056,32.3080595024
1651485600000,2022-05-02 10:00:00,BOND/USD,6.0011,6.0103,5.9929,5.993,2.369829,14.202385197000002
1651482000000,2022-05-02 09:00:00,BOND/USD,6.0391,6.0615,5.9929,6.0011,8.588542,51.5406993962
1651478400000,2022-05-02 08:00:00,BOND/USD,6.1318,6.1318,6.0311,6.0391,993.135064,5997.641965002401
1651474800000,2022-05-02 07:00:00,BOND/USD,6.1344,6.1444,6.1129,6.1318,972.871578,5965.4539419804005
1651471200000,2022-05-02 06:00:00,BOND/USD,6.1134,6.1595,6.1134,6.1344,7.195549,44.1403757856
1651467600000,2022-05-02 05:00:00,BOND/USD,6.1228,6.1344,6.1024,6.1134,1.267803,7.7505868602
1651464000000,2022-05-02 04:00:00,BOND/USD,6.0909,6.1229,6.0597,6.1228,16.788191,102.7907358548
1651460400000,2022-05-02 03:00:00,BOND/USD,6.0673,6.0941,6.0673,6.0909,1.155111,7.035665589900001
1651456800000,2022-05-02 02:00:00,BOND/USD,6.1136,6.1136,6.0575,6.0673,1033.916638,6273.0824177374
1651453200000,2022-05-02 01:00:00,BOND/USD,6.1409,6.1515,6.09,6.1136,209.180268,1278.8444864448002
1651449600000,2022-05-02 00:00:00,BOND/USD,6.1406,6.2011,6.1227,6.1409,17.417708,106.9604030572
1651446000000,2022-05-01 23:00:00,BOND/USD,6.0865,6.2171,6.0798,6.1406,162.210711,996.0710919666
1651442400000,2022-05-01 22:00:00,BOND/USD,6.0616,6.1023,6.0616,6.0865,7.668632,46.675128668
1651438800000,2022-05-01 21:00:00,BOND/USD,6.0295,6.0975,6.0295,6.0616,1065.558145,6458.987251732
1651435200000,2022-05-01 20:00:00,BOND/USD,6.0082,6.0392,5.9984,6.0295,65.585391,395.4471150345
1651431600000,2022-05-01 19:00:00,BOND/USD,5.9837,6.0112,5.98,6.0082,103.232361,620.2406713602
1651428000000,2022-05-01 18:00:00,BOND/USD,6.0373,6.0407,5.9525,5.9837,2231.506329,13352.664420837298
1651424400000,2022-05-01 17:00:00,BOND/USD,6.0849,6.1048,6.0366,6.0373,1067.921561,6447.362840225301
1651420800000,2022-05-01 16:00:00,BOND/USD,6.1023,6.1023,6.0759,6.0849,31.801803,193.5107910747
1651417200000,2022-05-01 15:00:00,BOND/USD,6.0293,6.1023,6.0133,6.1023,1011.565795,6172.8779508285
1651413600000,2022-05-01 14:00:00,BOND/USD,6.0335,6.0653,5.9776,6.0293,39.625849,238.9161313757
1651410000000,2022-05-01 13:00:00,BOND/USD,6.017,6.0372,5.992,6.0335,2.23741,13.499413235
1651406400000,2022-05-01 12:00:00,BOND/USD,5.9966,6.017,5.992,6.017,15.049245,90.551307165
1651402800000,2022-05-01 11:00:00,BOND/USD,6.0016,6.0171,5.9895,5.9966,182.456866,1094.1208426556
1651399200000,2022-05-01 10:00:00,BOND/USD,5.9935,6.0107,5.9883,6.0016,2.012431,12.0778058896
1651395600000,2022-05-01 09:00:00,BOND/USD,6.0313,6.0313,5.9868,5.9935,1041.608177,6242.878608849501
1651392000000,2022-05-01 08:00:00,BOND/USD,5.9905,6.0313,5.9801,6.0313,1.440965,8.6908922045
1651388400000,2022-05-01 07:00:00,BOND/USD,5.9917,6.0018,5.9812,5.9905,2.073211,12.4195704955
1651384800000,2022-05-01 06:00:00,BOND/USD,5.991,6.0289,5.9884,5.9917,18.803352,112.6640441784
1651381200000,2022-05-01 05:00:00,BOND/USD,5.7613,6.005,5.7495,5.991,1036.557097,6210.013568127
1651377600000,2022-05-01 04:00:00,BOND/USD,5.784,5.784,5.7536,5.7613,17.124045,98.6567604585
1651374000000,2022-05-01 03:00:00,BOND/USD,5.7549,5.784,5.7526,5.784,43.203244,249.887563296
1651370400000,2022-05-01 02:00:00,BOND/USD,5.784,5.784,5.7549,5.7549,17.786429,102.3591202521
1651366800000,2022-05-01 01:00:00,BOND/USD,5.7609,5.784,5.6501,5.784,77.711095,449.48097348
1651363200000,2022-05-01 00:00:00,BOND/USD,5.8423,5.8983,5.7483,5.7609,100.793838,580.6632213342
