unix,date,symbol,open,high,low,close,Volume CTX,Volume USD
1651622400000,2022-05-04 00:00:00,CTX/USD,5.051,5.0902,5.051,5.0895,13.799382,70.231954689
1651618800000,2022-05-03 23:00:00,CTX/USD,5.0604,5.0855,5.0434,5.051,193.005099,974.868755049
1651615200000,2022-05-03 22:00:00,CTX/USD,5.0416,5.0647,5.0416,5.0604,98.243407,497.1509367828
1651611600000,2022-05-03 21:00:00,CTX/USD,5.0423,5.0491,5.0213,5.0416,3.375011,17.0154554576
1651608000000,2022-05-03 20:00:00,CTX/USD,5.0124,5.0423,5.0124,5.0423,0.18059,0.910588957
1651604400000,2022-05-03 19:00:00,CTX/USD,5.0077,5.0423,5.0077,5.0124,19.324421,96.8617278204
1651600800000,2022-05-03 18:00:00,CTX/USD,5.0423,5.0423,5.0077,5.0077,30.06205,150.54172778499998
1651597200000,2022-05-03 17:00:00,CTX/USD,5.0,5.0444,5.0,5.0423,0.630964,3.1815097772
1651593600000,2022-05-03 16:00:00,CTX/USD,5.1217,5.1217,5.0,5.0,15.735826,78.67913
1651590000000,2022-05-03 15:00:00,CTX/USD,5.1217,5.1217,5.1021,5.1217,3.904425,19.9972935225
1651586400000,2022-05-03 14:00:00,CTX/USD,5.1035,5.1218,5.09,5.1217,246.009181,1259.9852223277
1651582800000,2022-05-03 13:00:00,CTX/USD,5.1213,5.1213,5.1035,5.1035,0.069874,0.3566019590000001
1651579200000,2022-05-03 12:00:00,CTX/USD,5.1046,5.1213,5.1035,5.1213,0.114902,0.5884476126
1651575600000,2022-05-03 11:00:00,CTX/USD,5.0741,5.1046,5.0741,5.1046,0.159632,0.8148575071999999
1651572000000,2022-05-03 10:00:00,CTX/USD,5.1067,5.1067,5.0741,5.0741,0.211847,1.0749328627
1651568400000,2022-05-03 09:00:00,CTX/USD,5.1144,5.1144,5.0741,5.1067,2.354189,12.0221369663
1651564800000,2022-05-03 08:00:00,CTX/USD,5.1144,5.1756,5.0741,5.1144,981.078974,5017.6303046256
