unix,date,symbol,open,high,low,close,Volume RAY,Volume USD
1651622400000,2022-05-04 00:00:00,RAY/USD,2.13,2.13,2.127,2.127,123.331974,262.327108698
1651618800000,2022-05-03 23:00:00,RAY/USD,2.126,2.13,2.113,2.13,1.116448,2.3780342400000003
1651615200000,2022-05-03 22:00:00,RAY/USD,2.133,2.137,2.125,2.126,4.93767,10.49748642
1651611600000,2022-05-03 21:00:00,RAY/USD,2.115,2.138,2.115,2.133,20.550305,43.833800565
1651608000000,2022-05-03 20:00:00,RAY/USD,2.115,2.117,2.104,2.115,5.323752,11.259735480000002
1651604400000,2022-05-03 19:00:00,RAY/USD,2.128,2.129,2.108,2.115,4.67607,9.88988805
1651600800000,2022-05-03 18:00:00,RAY/USD,2.168,2.168,2.128,2.128,2.465506,5.246596768
1651597200000,2022-05-03 17:00:00,RAY/USD,2.169,2.181,2.166,2.168,4.39608,9.53070144
1651593600000,2022-05-03 16:00:00,RAY/USD,2.186,2.19,2.161,2.169,3.692647,8.009351343
1651590000000,2022-05-03 15:00:00,RAY/USD,2.193,2.195,2.179,2.186,11.668034,25.506322324
1651586400000,2022-05-03 14:00:00,RAY/USD,2.196,2.207,2.189,2.193,23.083235,50.621534355
1651582800000,2022-05-03 13:00:00,RAY/USD,2.225,2.225,2.196,2.196,6.300206,13.835252376
1651579200000,2022-05-03 12:00:00,RAY/USD,2.243,2.243,2.222,2.225,4.428986,9.85449385
1651575600000,2022-05-03 11:00:00,RAY/USD,2.206,2.243,2.206,2.243,3.115342,6.987712106
1651572000000,2022-05-03 10:00:00,RAY/USD,2.232,2.232,2.206,2.206,1.823169,4.021910814
1651568400000,2022-05-03 09:00:00,RAY/USD,2.254,2.254,2.229,2.232,1.662016,3.709619712
1651564800000,2022-05-03 08:00:00,RAY/USD,2.244,2.254,2.216,2.254,1.872298,4.220159692
1651561200000,2022-05-03 07:00:00,RAY/USD,2.256,2.256,2.23,2.244,38.661092,86.755490448
1651557600000,2022-05-03 06:00:00,RAY/USD,2.245,2.256,2.226,2.256,124.483127,280.833934512
1651554000000,2022-05-03 05:00:00,RAY/USD,2.212,2.245,2.197,2.245,6.438646,14.45476027
1651550400000,2022-05-03 04:00:00,RAY/USD,2.199,2.212,2.194,2.212,0.859347,1.900875564
1651546800000,2022-05-03 03:00:00,RAY/USD,2.181,2.204,2.181,2.199,0.715518,1.5734240819999998
1651543200000,2022-05-03 02:00:00,RAY/USD,2.191,2.192,2.176,2.181,2.776788,6.056174628
1651539600000,2022-05-03 01:00:00,RAY/USD,2.16,2.191,2.16,2.191,2.820862,6.180508642
1651536000000,2022-05-03 00:00:00,RAY/USD,2.169,2.171,2.159,2.16,14.034054,30.31355664
1651532400000,2022-05-02 23:00:00,RAY/USD,2.166,2.187,2.166,2.169,0.958544,2.079081936
1651528800000,2022-05-02 22:00:00,RAY/USD,2.185,2.193,2.166,2.166,1.31013,2.83774158
1651525200000,2022-05-02 21:00:00,RAY/USD,2.152,2.196,2.149,2.185,11.464759,25.050498415000003
1651521600000,2022-05-02 20:00:00,RAY/USD,2.167,2.167,2.148,2.152,13.708291,29.500242232
1651518000000,2022-05-02 19:00:00,RAY/USD,2.144,2.167,2.142,2.167,48.418199,104.922237233
1651514400000,2022-05-02 18:00:00,RAY/USD,2.139,2.154,2.132,2.144,2.243202,4.809425088
1651510800000,2022-05-02 17:00:00,RAY/USD,2.16,2.16,2.13,2.139,720.92413,1542.0567140699998
1651507200000,2022-05-02 16:00:00,RAY/USD,2.173,2.18,2.157,2.16,23.986569,51.81098904
1651503600000,2022-05-02 15:00:00,RAY/USD,2.193,2.193,2.173,2.173,2.20666,4.79507218
1651500000000,2022-05-02 14:00:00,RAY/USD,2.184,2.193,2.173,2.193,1.355059,2.971644387
1651496400000,2022-05-02 13:00:00,RAY/USD,2.159,2.189,2.154,2.184,54.608699,119.265398616
1651492800000,2022-05-02 12:00:00,RAY/USD,2.151,2.176,2.149,2.159,2.557161,5.520910598999999
1651489200000,2022-05-02 11:00:00,RAY/USD,2.168,2.168,2.151,2.151,2.071345,4.455463095
1651485600000,2022-05-02 10:00:00,RAY/USD,2.185,2.185,2.164,2.168,2.517035,5.45693188
1651482000000,2022-05-02 09:00:00,RAY/USD,2.204,2.21,2.185,2.185,2.889625,6.3138306250000005
1651478400000,2022-05-02 08:00:00,RAY/USD,2.227,2.227,2.185,2.204,1.72816,3.80886464
1651474800000,2022-05-02 07:00:00,RAY/USD,2.221,2.23,2.221,2.227,1.661334,3.699790818
1651471200000,2022-05-02 06:00:00,RAY/USD,2.223,2.237,2.221,2.221,1.354889,3.0092084690000003
1651467600000,2022-05-02 05:00:00,RAY/USD,2.226,2.232,2.212,2.223,0.739026,1.642854798
1651464000000,2022-05-02 04:00:00,RAY/USD,2.212,2.227,2.204,2.226,2.34222,5.21378172
