unix,date,symbol,open,high,low,close,Volume 1INCH,Volume USD,just_date
1651273200000,2022-04-29 23:00:00,1INCH/USD,1.2626,1.2768,1.2575,1.2595,397.6704,500.8658688,2022-04-29
1651269600000,2022-04-29 22:00:00,1INCH/USD,1.2486,1.2659,1.2447,1.2626,628.30737,793.3008853619999,2022-04-29
1651266000000,2022-04-29 21:00:00,1INCH/USD,1.2506,1.2555,1.2485,1.2486,252.730812,315.5596918632,2022-04-29
1651262400000,2022-04-29 20:00:00,1INCH/USD,1.2357,1.2574,1.2351,1.2506,730.721676,913.8405280056,2022-04-29
1651258800000,2022-04-29 19:00:00,1INCH/USD,1.256,1.256,1.2273,1.2357,8693.662734,10742.7590404038,2022-04-29
1651255200000,2022-04-29 18:00:00,1INCH/USD,1.2572,1.2601,1.2409,1.256,5305.792992,6664.075997952,2022-04-29
1651251600000,2022-04-29 17:00:00,1INCH/USD,1.2507,1.2611,1.2486,1.2572,544.481313,684.5219067036,2022-04-29
1651248000000,2022-04-29 16:00:00,1INCH/USD,1.2661,1.2714,1.2444,1.2507,12051.021122,15072.2121172854,2022-04-29
1651244400000,2022-04-29 15:00:00,1INCH/USD,1.2664,1.2718,1.261,1.2661,1546.203813,1957.6486476393,2022-04-29
1651240800000,2022-04-29 14:00:00,1INCH/USD,1.2749,1.2761,1.2604,1.2664,1123.483404,1422.7793828256,2022-04-29
1651237200000,2022-04-29 13:00:00,1INCH/USD,1.2662,1.275,1.2619,1.2749,440.92028,562.129264972,2022-04-29
1651233600000,2022-04-29 12:00:00,1INCH/USD,1.2601,1.2742,1.2598,1.2662,40.629537,51.4451197494,2022-04-29
1651230000000,2022-04-29 11:00:00,1INCH/USD,1.2626,1.2666,1.2514,1.2601,743.516658,936.9053407458,2022-04-29
1651226400000,2022-04-29 10:00:00,1INCH/USD,1.2767,1.2826,1.2536,1.2626,521.682996,658.6769507496,2022-04-29
1651222800000,2022-04-29 09:00:00,1INCH/USD,1.2916,1.2916,1.2767,1.2767,39.332545,50.2158602015,2022-04-29
1651219200000,2022-04-29 08:00:00,1INCH/USD,1.3014,1.3059,1.2897,1.2916,57.29531,74.002622396,2022-04-29
1651215600000,2022-04-29 07:00:00,1INCH/USD,1.296,1.3029,1.2943,1.3014,47.553038,61.8855236532,2022-04-29
1651212000000,2022-04-29 06:00:00,1INCH/USD,1.2927,1.3012,1.2893,1.296,1088.364035,1410.5197893600002,2022-04-29
1651208400000,2022-04-29 05:00:00,1INCH/USD,1.2909,1.298,1.2892,1.2927,850.856271,1099.9019015217,2022-04-29
1651204800000,2022-04-29 04:00:00,1INCH/USD,1.288,1.2909,1.277,1.2909,1303.183461,1682.2795298049,2022-04-29
1651201200000,2022-04-29 03:00:00,1INCH/USD,1.29,1.2937,1.2844,1.288,446.501492,575.093921696,2022-04-29
1651197600000,2022-04-29 02:00:00,1INCH/USD,1.3026,1.3072,1.2863,1.29,1391.508724,1795.04625396,2022-04-29
1651194000000,2022-04-29 01:00:00,1INCH/USD,1.3036,1.3073,1.2994,1.3026,72.633589,94.6125130314,2022-04-29
1651190400000,2022-04-29 00:00:00,1INCH/USD,1.3001,1.3118,1.2956,1.3036,2428.031427,3165.1817682372,2022-04-29
