unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD,just_date
1651359600000,2022-04-30 23:00:00,AAVE/USD,149.6262,150.3912,138.1558,142.389,687.557402,97900.610913378,2022-04-30
1651356000000,2022-04-30 22:00:00,AAVE/USD,153.913,153.913,149.4723,149.6262,432.179904,64665.43675188481,2022-04-30
1651352400000,2022-04-30 21:00:00,AAVE/USD,152.7366,154.2289,152.3526,153.913,6.301002,969.806120826,2022-04-30
1651348800000,2022-04-30 20:00:00,AAVE/USD,153.4758,153.7437,152.3473,152.7366,7.814478,1193.5568004948002,2022-04-30
1651345200000,2022-04-30 19:00:00,AAVE/USD,153.0481,153.944,151.6644,153.4758,29.088826,4464.4308414108,2022-04-30
1651341600000,2022-04-30 18:00:00,AAVE/USD,151.955,153.0481,151.4735,153.0481,12.70406,1944.332245286,2022-04-30
1651338000000,2022-04-30 17:00:00,AAVE/USD,153.9724,153.9724,151.4735,151.955,5.059965,768.886981575,2022-04-30
1651334400000,2022-04-30 16:00:00,AAVE/USD,155.0644,156.4244,153.7781,153.9724,3.291074,506.7345623576,2022-04-30
1651330800000,2022-04-30 15:00:00,AAVE/USD,152.2697,155.4452,151.5,155.0644,45.419435,7042.937436614,2022-04-30
1651327200000,2022-04-30 14:00:00,AAVE/USD,155.9362,157.1662,152.2697,152.2697,46.749223,7118.4901614431,2022-04-30
1651323600000,2022-04-30 13:00:00,AAVE/USD,157.3474,158.5613,155.8393,155.9362,44.83204,6990.9379558480005,2022-04-30
1651320000000,2022-04-30 12:00:00,AAVE/USD,158.0197,159.0056,157.3474,157.3474,1.743006,274.2574622844,2022-04-30
1651316400000,2022-04-30 11:00:00,AAVE/USD,156.9238,159.0673,156.9238,158.0197,4.292019,678.2235547742999,2022-04-30
1651312800000,2022-04-30 10:00:00,AAVE/USD,156.589,157.8249,156.0174,156.9238,37.148048,5829.412854742401,2022-04-30
1651309200000,2022-04-30 09:00:00,AAVE/USD,156.5167,156.93,155.6493,156.589,2.472934,387.234262126,2022-04-30
1651305600000,2022-04-30 08:00:00,AAVE/USD,156.8143,157.4017,154.7346,156.5167,6.477766,1013.8785576922,2022-04-30
1651302000000,2022-04-30 07:00:00,AAVE/USD,157.7905,158.1812,156.4782,156.8143,3.545851,556.0401424693,2022-04-30
1651298400000,2022-04-30 06:00:00,AAVE/USD,159.4306,159.6706,157.7387,157.7905,11.836601,1867.7031900905,2022-04-30
1651294800000,2022-04-30 05:00:00,AAVE/USD,157.5825,159.4681,157.5825,159.4306,23.913459,3812.5371164454,2022-04-30
1651291200000,2022-04-30 04:00:00,AAVE/USD,157.669,158.8971,157.4339,157.5825,4.221867,665.2923565275,2022-04-30
1651287600000,2022-04-30 03:00:00,AAVE/USD,159.3896,159.5902,157.4086,157.669,5.032123,793.4098012870002,2022-04-30
1651284000000,2022-04-30 02:00:00,AAVE/USD,159.5126,160.1999,158.6783,159.3896,14.761289,2352.7959491944,2022-04-30
1651280400000,2022-04-30 01:00:00,AAVE/USD,159.4544,160.3377,158.9935,159.5126,5.35608,854.362246608,2022-04-30
1651276800000,2022-04-30 00:00:00,AAVE/USD,157.2436,162.634,157.1798,159.4544,241.169695,38455.569014408,2022-04-30
