unix,date,symbol,open,high,low,close,Volume AUDIO,Volume USD,just_date
1651273200000,2022-04-29 23:00:00,AUDIO/USD,0.955,0.963,0.952,0.958,6535.540809,6261.048095022,2022-04-29
1651269600000,2022-04-29 22:00:00,AUDIO/USD,0.959,0.96,0.946,0.955,6183.488784,5905.23178872,2022-04-29
1651266000000,2022-04-29 21:00:00,AUDIO/USD,0.962,0.968,0.959,0.959,466.803516,447.664571844,2022-04-29
1651262400000,2022-04-29 20:00:00,AUDIO/USD,0.958,0.968,0.958,0.962,1091.014017,1049.555484354,2022-04-29
1651258800000,2022-04-29 19:00:00,AUDIO/USD,0.977,0.978,0.954,0.958,1437.62091,1377.24083178,2022-04-29
1651255200000,2022-04-29 18:00:00,AUDIO/USD,0.985,0.987,0.967,0.977,4889.190502,4776.739120454,2022-04-29
1651251600000,2022-04-29 17:00:00,AUDIO/USD,0.99,0.996,0.978,0.985,2486.628963,2449.3295285550003,2022-04-29
1651248000000,2022-04-29 16:00:00,AUDIO/USD,1.004,1.012,0.989,0.99,12369.73159,12246.0342741,2022-04-29
1651244400000,2022-04-29 15:00:00,AUDIO/USD,1.003,1.009,0.997,1.004,2330.886066,2340.209610264,2022-04-29
1651240800000,2022-04-29 14:00:00,AUDIO/USD,1.01,1.012,0.998,1.003,36389.185908,36498.353465724,2022-04-29
1651237200000,2022-04-29 13:00:00,AUDIO/USD,1.016,1.016,0.992,1.01,336307.241942,339670.31436142,2022-04-29
1651233600000,2022-04-29 12:00:00,AUDIO/USD,1.007,1.021,1.006,1.016,518.65832,526.95685312,2022-04-29
1651230000000,2022-04-29 11:00:00,AUDIO/USD,1.003,1.013,1.003,1.007,259.991507,261.811447549,2022-04-29
1651226400000,2022-04-29 10:00:00,AUDIO/USD,1.029,1.029,0.99,1.003,14265.909192,14308.706919575998,2022-04-29
1651222800000,2022-04-29 09:00:00,AUDIO/USD,1.037,1.037,1.02,1.029,1425.242833,1466.574875157,2022-04-29
1651219200000,2022-04-29 08:00:00,AUDIO/USD,1.057,1.058,1.037,1.037,380.144592,394.209941904,2022-04-29
1651215600000,2022-04-29 07:00:00,AUDIO/USD,1.053,1.061,1.053,1.057,131.469724,138.963498268,2022-04-29
1651212000000,2022-04-29 06:00:00,AUDIO/USD,1.05,1.058,1.046,1.053,361.818384,380.994758352,2022-04-29
1651208400000,2022-04-29 05:00:00,AUDIO/USD,1.047,1.054,1.043,1.05,296.961961,311.81005905,2022-04-29
1651204800000,2022-04-29 04:00:00,AUDIO/USD,1.037,1.047,1.03,1.047,224.420125,234.967870875,2022-04-29
1651201200000,2022-04-29 03:00:00,AUDIO/USD,1.046,1.059,1.037,1.037,342.771277,355.45381424899995,2022-04-29
1651197600000,2022-04-29 02:00:00,AUDIO/USD,1.073,1.075,1.046,1.046,1432.801353,1498.710215238,2022-04-29
1651194000000,2022-04-29 01:00:00,AUDIO/USD,1.077,1.081,1.07,1.073,1453.467627,1559.570763771,2022-04-29
1651190400000,2022-04-29 00:00:00,AUDIO/USD,1.063,1.077,1.062,1.077,1248.321002,1344.441719154,2022-04-29
