unix,date,symbol,open,high,low,close,Volume BTC,Volume USD,just_date
1651359600000,2022-04-30 23:00:00,BTC/USD,38255.58,38268.99,37588.12,37650.45,93.06631491,3503988.6362032094,2022-04-30
1651356000000,2022-04-30 22:00:00,BTC/USD,38325.73,38377.36,38182.7,38255.58,23.15722077,885892.9117443966,2022-04-30
1651352400000,2022-04-30 21:00:00,BTC/USD,38328.66,38379.32,38273.0,38325.73,7.92974536,303913.27963611286,2022-04-30
1651348800000,2022-04-30 20:00:00,BTC/USD,38478.68,38478.68,38295.3,38328.66,12.23042525,468775.811062665,2022-04-30
1651345200000,2022-04-30 19:00:00,BTC/USD,38359.98,38500.0,38324.85,38478.68,16.67015148,641445.4243504464,2022-04-30
1651341600000,2022-04-30 18:00:00,BTC/USD,38299.88,38364.21,38227.01,38359.98,9.29524774,356565.51740144525,2022-04-30
1651338000000,2022-04-30 17:00:00,BTC/USD,38448.73,38451.19,38223.01,38299.88,13.00428561,498062.5783487268,2022-04-30
1651334400000,2022-04-30 16:00:00,BTC/USD,38486.76,38624.0,38425.03,38448.73,27.03176098,1039336.8793445555,2022-04-30
1651330800000,2022-04-30 15:00:00,BTC/USD,38260.22,38536.32,38163.55,38486.76,14.76711485,568338.4051243861,2022-04-30
1651327200000,2022-04-30 14:00:00,BTC/USD,38520.09,38643.38,38222.0,38260.22,22.09279298,845275.1198292556,2022-04-30
1651323600000,2022-04-30 13:00:00,BTC/USD,38547.1,38659.82,38502.02,38520.09,10.01139494,385639.8341143446,2022-04-30
1651320000000,2022-04-30 12:00:00,BTC/USD,38591.32,38622.2,38532.3,38547.1,5.84296351,225229.29871632095,2022-04-30
1651316400000,2022-04-30 11:00:00,BTC/USD,38576.56,38627.84,38569.58,38591.32,7.29792754,281636.6570329528,2022-04-30
1651312800000,2022-04-30 10:00:00,BTC/USD,38624.35,38666.1,38570.82,38576.56,5.07318831,195706.1532320136,2022-04-30
1651309200000,2022-04-30 09:00:00,BTC/USD,38598.22,38646.63,38557.85,38624.35,2.17809386,84127.459581491,2022-04-30
1651305600000,2022-04-30 08:00:00,BTC/USD,38664.53,38698.09,38560.63,38598.22,9.67267002,373347.8454193644,2022-04-30
1651302000000,2022-04-30 07:00:00,BTC/USD,38700.01,38733.68,38649.82,38664.53,4.76072397,184071.15475978408,2022-04-30
1651298400000,2022-04-30 06:00:00,BTC/USD,38709.25,38730.8,38649.82,38700.01,0.86067793,33308.244497779306,2022-04-30
1651294800000,2022-04-30 05:00:00,BTC/USD,38555.17,38757.48,38542.35,38709.25,6.89810546,267020.488777505,2022-04-30
1651291200000,2022-04-30 04:00:00,BTC/USD,38659.72,38700.0,38514.9,38555.17,6.40460294,246930.5551341998,2022-04-30
1651287600000,2022-04-30 03:00:00,BTC/USD,38701.76,38709.74,38606.09,38659.72,12.85490997,496967.2200654084,2022-04-30
1651284000000,2022-04-30 02:00:00,BTC/USD,38700.78,38773.9,38663.21,38701.76,12.80330734,495510.52787891845,2022-04-30
1651280400000,2022-04-30 01:00:00,BTC/USD,38638.15,38762.85,38614.8,38700.78,11.76898858,455469.0378570924,2022-04-30
1651276800000,2022-04-30 00:00:00,BTC/USD,38582.29,38799.12,38562.3,38638.15,14.5914685,563787.3486232751,2022-04-30
