unix,date,symbol,open,high,low,close,Volume CTX,Volume USD,just_date
1651273200000,2022-04-29 23:00:00,CTX/USD,5.1909,5.2036,5.1725,5.1725,21.129199,109.2907818275,2022-04-29
1651269600000,2022-04-29 22:00:00,CTX/USD,5.2548,5.2548,5.1642,5.1909,329.435188,1710.0651173892,2022-04-29
1651266000000,2022-04-29 21:00:00,CTX/USD,5.7148,5.7148,5.0174,5.2548,3578.941755,18806.623134174,2022-04-29
1651262400000,2022-04-29 20:00:00,CTX/USD,5.4605,5.8781,5.4007,5.7148,729.719978,4170.2037302744,2022-04-29
1651258800000,2022-04-29 19:00:00,CTX/USD,5.2407,5.5184,5.2407,5.4605,5075.180886,27713.025228003,2022-04-29
1651255200000,2022-04-29 18:00:00,CTX/USD,5.243,5.2723,5.2407,5.2407,13.777845,72.2055522915,2022-04-29
1651251600000,2022-04-29 17:00:00,CTX/USD,5.2761,5.2788,5.243,5.243,105.020312,550.6214958160001,2022-04-29
1651248000000,2022-04-29 16:00:00,CTX/USD,5.241,5.2762,5.2406,5.2761,60.027734,316.7123273574,2022-04-29
1651244400000,2022-04-29 15:00:00,CTX/USD,5.2932,5.2932,5.2405,5.241,98.862044,518.1359726039999,2022-04-29
1651240800000,2022-04-29 14:00:00,CTX/USD,5.2618,5.3001,5.2618,5.2932,28.855068,152.7356459376,2022-04-29
1651237200000,2022-04-29 13:00:00,CTX/USD,5.3411,5.3698,5.2618,5.2618,0.97341,5.121888738,2022-04-29
1651233600000,2022-04-29 12:00:00,CTX/USD,5.2243,5.3561,5.2053,5.3411,3585.790035,19152.0631559385,2022-04-29
1651230000000,2022-04-29 11:00:00,CTX/USD,5.2243,5.2243,5.2053,5.2243,0.821982,4.2942805626,2022-04-29
1651226400000,2022-04-29 10:00:00,CTX/USD,5.2117,5.2243,5.2053,5.2243,0.330087,1.7244735141000005,2022-04-29
1651222800000,2022-04-29 09:00:00,CTX/USD,5.2517,5.2517,5.2117,5.2117,110.096325,573.7890170025,2022-04-29
1651219200000,2022-04-29 08:00:00,CTX/USD,5.2504,5.2517,5.2242,5.2517,0.334928,1.7589413775999998,2022-04-29
1651215600000,2022-04-29 07:00:00,CTX/USD,5.2242,5.2504,5.2242,5.2504,0.18633,0.978307032,2022-04-29
1651212000000,2022-04-29 06:00:00,CTX/USD,5.2352,5.2352,5.2242,5.2242,0.042881,0.2240189202,2022-04-29
1651208400000,2022-04-29 05:00:00,CTX/USD,5.2242,5.2352,5.2242,5.2352,0.196704,1.0297847808,2022-04-29
1651204800000,2022-04-29 04:00:00,CTX/USD,5.211,5.2342,5.2041,5.2242,3.588195,18.745448319,2022-04-29
1651201200000,2022-04-29 03:00:00,CTX/USD,5.2084,5.2428,5.2084,5.211,29.107104,151.677118944,2022-04-29
1651197600000,2022-04-29 02:00:00,CTX/USD,5.2545,5.2545,5.2084,5.2084,0.304297,1.5849004948,2022-04-29
1651194000000,2022-04-29 01:00:00,CTX/USD,5.2929,5.2929,5.2498,5.2545,147.114095,773.0110121775,2022-04-29
1651190400000,2022-04-29 00:00:00,CTX/USD,5.3042,5.3042,5.265,5.2929,1.270104,6.7225334616,2022-04-29
